Date,Open,High,Low,Close,Volume
05/16/2025,"0.520","0.540","0.520","0.530","2,673,000"
05/15/2025,"0.550","0.560","0.510","0.510","16,315,000"
05/14/2025,"0.560","0.570","0.550","0.560","3,457,000"
05/13/2025,"0.610","0.610","0.560","0.570","5,797,000"
05/09/2025,"0.600","0.600","0.580","0.590","4,549,000"
05/08/2025,"0.580","0.610","0.560","0.590","13,525,000"
05/07/2025,"0.580","0.620","0.570","0.580","32,176,000"
05/06/2025,"0.510","0.590","0.510","0.580","35,238,000"
05/05/2025,"0.530","0.550","0.500","0.510","22,476,000"
05/02/2025,"0.465","0.520","0.450","0.510","30,530,000"
