Date,Open,High,Low,Close,Volume
12/29/2023,"703.00","703.00","680.00","681.00","196,000"
12/28/2023,"693.50","705.00","687.00","705.00","73,030"
12/27/2023,"710.00","710.00","692.00","693.50","121,670"
12/22/2023,"708.00","717.00","708.00","714.50","128,880"
12/21/2023,"710.00","710.00","682.50","710.00","178,570"
12/20/2023,"715.00","723.50","712.00","722.00","284,630"
12/19/2023,"712.50","718.00","709.00","715.00","256,410"
12/18/2023,"701.00","715.00","701.00","715.00","316,410"
12/15/2023,"681.00","735.00","677.00","735.00","1,256,090"
12/14/2023,"651.00","681.00","649.00","681.00","423,030"
12/13/2023,"649.00","655.00","646.50","651.00","78,800"
12/12/2023,"647.50","660.00","638.50","660.00","109,230"
12/11/2023,"639.50","648.00","631.00","648.00","82,590"
12/07/2023,"659.50","661.00","638.50","640.00","228,340"
12/06/2023,"660.00","660.50","650.00","660.50","113,990"
12/05/2023,"659.00","661.00","646.00","661.00","282,700"
12/04/2023,"645.50","659.00","645.50","659.00","71,400"
12/01/2023,"661.00","661.00","646.50","655.00","90,710"
11/30/2023,"662.00","664.00","657.00","664.00","917,210"
11/29/2023,"657.00","664.00","653.00","662.00","568,700"
11/28/2023,"648.00","657.00","647.00","657.00","249,860"
11/24/2023,"648.00","652.00","644.00","652.00","140,550"
11/23/2023,"647.00","648.00","637.50","647.50","132,430"
11/22/2023,"640.00","650.00","638.50","649.50","77,870"
11/21/2023,"647.00","647.00","637.50","646.00","197,300"
11/20/2023,"645.00","647.00","636.00","647.00","180,280"
11/17/2023,"628.00","647.00","627.00","647.00","421,410"
11/16/2023,"631.00","632.00","625.00","628.50","126,170"
11/15/2023,"622.00","631.00","620.00","631.00","271,980"
11/14/2023,"618.50","624.50","617.50","620.00","150,180"
11/13/2023,"629.00","629.00","616.50","620.00","88,090"
11/10/2023,"629.00","629.50","625.00","627.00","104,580"
11/09/2023,"622.50","630.50","620.00","630.50","213,040"
11/08/2023,"623.00","624.00","615.00","623.50","103,710"
11/07/2023,"623.00","623.00","618.00","623.00","164,270"
11/06/2023,"616.00","624.50","615.00","624.50","127,270"
11/03/2023,"610.00","618.00","607.00","616.00","116,610"
10/31/2023,"602.50","607.00","602.00","605.50","177,370"
10/27/2023,"603.00","606.00","601.50","603.00","206,160"
10/26/2023,"605.00","607.00","603.50","604.00","59,220"
10/25/2023,"603.00","608.00","601.00","604.50","100,850"
10/24/2023,"607.00","608.50","602.00","602.00","126,570"
10/23/2023,"610.00","614.50","605.00","609.00","143,290"
10/20/2023,"616.00","616.00","607.00","615.00","127,960"
10/19/2023,"619.50","619.50","610.50","610.50","90,410"
10/18/2023,"622.00","623.00","615.50","620.00","40,960"
10/17/2023,"617.00","623.50","615.00","620.00","113,340"
10/16/2023,"615.00","618.50","611.00","611.00","123,520"
10/13/2023,"619.00","620.50","615.00","615.00","106,810"
10/12/2023,"614.50","620.00","614.50","616.50","215,810"
10/11/2023,"622.00","624.00","615.00","615.50","173,630"
10/10/2023,"617.00","622.00","615.00","615.50","116,690"
10/09/2023,"616.00","619.50","610.00","616.00","161,380"
10/06/2023,"607.00","624.50","606.00","620.50","222,890"
10/05/2023,"617.00","620.50","605.00","605.00","270,630"
10/04/2023,"620.00","624.50","616.00","617.00","115,280"
10/03/2023,"625.00","626.00","617.50","623.00","115,260"
10/02/2023,"625.00","629.50","625.00","625.00","107,270"
09/29/2023,"630.00","632.00","620.50","624.00","236,800"
09/28/2023,"627.00","632.00","623.50","630.00","410,360"
09/27/2023,"613.00","626.50","608.00","626.00","408,320"
09/26/2023,"604.00","618.50","604.00","613.00","342,540"
09/25/2023,"613.50","615.00","602.00","602.00","133,410"
09/22/2023,"614.00","614.00","601.50","612.00","142,280"
09/21/2023,"611.50","613.00","602.00","613.00","161,330"
09/20/2023,"611.00","611.50","600.00","610.00","157,440"
09/19/2023,"623.00","623.00","606.00","610.00","65,940"
09/18/2023,"620.00","622.50","615.00","622.50","121,710"
09/15/2023,"626.50","631.00","619.50","619.50","382,020"
09/14/2023,"622.00","627.00","619.00","627.00","233,370"
09/13/2023,"622.00","628.00","617.00","621.00","427,900"
09/12/2023,"622.00","629.00","620.00","625.00","220,290"
09/11/2023,"624.00","626.50","617.00","623.00","137,190"
09/08/2023,"620.00","624.00","617.00","624.00","116,070"
09/07/2023,"620.00","621.00","615.00","618.00","183,470"
09/06/2023,"625.00","629.50","616.00","620.00","465,510"
09/05/2023,"625.00","629.00","618.50","628.00","483,950"
09/04/2023,"615.00","626.00","610.50","625.00","234,760"
09/01/2023,"612.00","618.00","607.00","609.00","179,720"
08/31/2023,"616.00","619.50","597.00","616.00","3,659,940"
08/30/2023,"616.00","629.50","616.00","616.00","387,230"
08/29/2023,"600.00","615.00","600.00","615.00","624,750"
08/25/2023,"596.50","605.00","591.00","598.00","276,420"
08/24/2023,"595.00","608.00","594.00","595.00","292,930"
08/23/2023,"590.00","595.00","588.00","593.00","139,190"
08/22/2023,"592.00","595.00","585.00","585.00","466,090"
08/18/2023,"594.00","595.00","588.00","590.00","236,660"
08/17/2023,"598.50","601.00","593.00","593.00","302,700"
08/16/2023,"603.00","603.00","595.00","599.50","255,960"
08/15/2023,"594.00","609.50","592.00","600.00","179,420"
08/14/2023,"607.00","609.50","593.00","593.00","423,700"
08/11/2023,"615.50","615.50","604.00","604.00","537,380"
08/10/2023,"620.00","620.00","613.50","616.50","186,540"
08/09/2023,"620.00","622.50","615.50","622.00","157,280"
08/08/2023,"624.00","624.00","611.50","612.50","313,910"
08/07/2023,"615.00","626.50","612.00","624.00","224,300"
08/04/2023,"623.00","624.00","607.00","607.00","386,750"
08/03/2023,"610.00","623.00","610.00","620.00","198,220"
08/02/2023,"613.00","618.00","609.00","611.50","270,920"
08/01/2023,"620.00","623.00","607.50","613.00","280,100"
07/31/2023,"625.50","629.00","615.00","615.00","488,860"
07/28/2023,"628.00","635.00","621.50","624.50","128,600"
07/27/2023,"639.50","639.50","629.00","630.50","324,120"
07/26/2023,"642.00","644.00","635.00","643.00","176,650"
07/25/2023,"639.00","646.00","633.50","641.00","239,990"
07/24/2023,"635.00","641.00","635.00","639.00","216,050"
07/21/2023,"631.50","638.00","628.00","634.50","250,500"
07/20/2023,"621.00","633.00","621.00","628.00","269,020"
07/19/2023,"619.00","621.00","611.00","620.00","144,990"
07/18/2023,"619.00","628.50","609.00","615.00","246,800"
07/17/2023,"614.00","622.00","611.00","611.00","148,660"
07/14/2023,"621.00","622.50","607.00","614.00","377,600"
07/13/2023,"619.00","624.00","615.50","619.00","265,690"
07/12/2023,"609.00","618.00","605.50","613.50","197,420"
07/11/2023,"603.50","610.00","603.00","603.50","222,690"
07/10/2023,"609.00","609.00","602.00","602.00","208,630"
07/07/2023,"614.50","619.50","605.00","605.00","416,650"
07/06/2023,"629.00","629.00","613.00","614.50","551,060"
07/05/2023,"634.00","635.50","625.00","630.00","442,590"
07/04/2023,"630.00","642.00","628.00","638.00","123,420"
07/03/2023,"630.00","633.00","625.00","628.00","112,550"
06/30/2023,"646.00","646.00","625.00","625.00","260,790"
06/29/2023,"631.00","647.50","631.00","640.00","168,000"
06/27/2023,"634.00","645.00","625.00","630.00","253,980"
06/26/2023,"618.00","639.00","614.00","635.00","320,980"
06/23/2023,"620.00","625.00","613.50","615.00","308,120"
06/22/2023,"616.00","631.50","614.00","624.00","319,240"
06/21/2023,"620.00","625.00","613.00","615.00","330,020"
06/20/2023,"616.00","620.00","612.50","620.00","280,280"
06/19/2023,"624.00","624.00","603.00","615.00","962,350"
06/16/2023,"639.00","649.50","615.00","615.00","1,821,830"
06/15/2023,"652.00","662.00","634.50","635.00","492,760"
06/14/2023,"675.00","683.50","646.00","653.00","324,470"
06/13/2023,"676.00","685.00","667.50","676.00","474,000"
06/09/2023,"676.50","681.50","674.00","679.50","555,890"
06/08/2023,"667.50","682.00","667.00","677.00","629,080"
06/07/2023,"656.00","676.00","655.00","674.00","343,010"
06/06/2023,"671.00","674.50","655.00","655.00","235,520"
06/05/2023,"664.50","674.50","658.00","670.00","274,090"
06/02/2023,"646.50","658.00","636.50","658.00","669,090"
06/01/2023,"659.00","659.00","640.50","645.00","693,000"
05/31/2023,"681.00","691.50","660.00","660.00","4,083,090"
05/30/2023,"692.00","696.50","680.00","680.00","752,790"
05/29/2023,"690.50","697.00","678.00","692.00","632,890"
05/26/2023,"697.00","697.00","675.00","686.00","188,330"
05/25/2023,"698.00","702.00","691.00","691.50","477,830"
05/24/2023,"690.00","699.50","685.00","699.50","643,570"
05/23/2023,"690.00","696.00","680.00","681.50","404,430"
05/22/2023,"694.00","695.00","685.00","692.00","249,940"
05/19/2023,"683.00","694.00","680.00","694.00","430,950"
05/18/2023,"685.00","692.50","675.00","683.00","420,830"
05/17/2023,"673.00","685.00","665.00","684.00","518,720"
05/16/2023,"669.00","682.00","659.00","670.00","481,920"
05/15/2023,"672.00","684.50","656.00","656.00","454,030"
05/12/2023,"691.00","701.00","673.50","673.50","760,620"
05/11/2023,"666.00","679.50","661.50","678.00","414,230"
05/10/2023,"661.50","667.50","653.00","666.50","393,170"
05/09/2023,"659.00","668.50","651.00","661.50","330,880"
05/08/2023,"653.00","669.00","651.00","659.50","484,000"
05/05/2023,"654.00","654.50","642.50","650.00","131,850"
05/04/2023,"634.50","654.50","630.00","654.00","340,100"
05/03/2023,"636.00","636.00","628.50","631.50","115,270"
05/02/2023,"639.00","645.50","628.00","636.00","147,110"
04/28/2023,"633.00","642.00","633.00","639.00","218,560"
04/27/2023,"627.00","637.00","627.00","633.00","83,740"
04/26/2023,"646.00","646.00","625.00","626.00","267,010"
04/25/2023,"644.00","649.00","640.00","648.00","100,350"
04/24/2023,"638.50","645.50","633.00","643.00","63,300"
04/20/2023,"633.00","643.00","633.00","638.50","114,230"
04/19/2023,"631.00","632.50","630.00","632.50","67,980"
04/18/2023,"650.00","650.00","631.00","631.00","106,460"
04/17/2023,"630.00","655.00","626.50","655.00","253,580"
04/14/2023,"641.50","641.50","627.00","630.00","173,460"
04/13/2023,"648.00","648.00","626.00","641.50","189,160"
04/12/2023,"648.00","649.50","642.00","648.00","138,600"
04/11/2023,"650.00","651.00","640.00","647.00","186,160"
04/05/2023,"650.00","652.00","644.50","650.00","56,310"
04/04/2023,"667.50","668.00","650.00","651.00","78,130"
04/03/2023,"651.50","667.50","650.50","667.50","282,710"
03/31/2023,"655.00","655.50","644.00","650.00","180,960"
03/30/2023,"659.00","667.00","650.50","656.00","111,460"
03/29/2023,"665.50","665.50","651.00","659.00","280,710"
03/28/2023,"665.50","670.00","663.50","665.50","314,310"
03/27/2023,"665.00","667.50","651.50","665.00","183,710"
03/24/2023,"630.00","666.00","627.00","666.00","202,990"
03/23/2023,"630.00","634.00","623.00","634.00","109,200"
03/22/2023,"635.00","647.50","634.00","640.00","151,510"
