Date,Open,High,Low,Close,Volume
12/29/2020,"791.41","810.78","791.41","801.10","264,770"
12/28/2020,"803.03","804.00","787.53","787.53","211,040"
12/23/2020,"805.94","810.78","797.22","806.91","180,170"
12/22/2020,"799.16","811.75","795.28","811.75","129,450"
12/21/2020,"813.69","813.69","800.13","808.84","122,110"
12/18/2020,"818.05","818.05","800.13","800.13","990,900"
12/17/2020,"822.41","822.41","804.97","813.69","316,950"
12/16/2020,"820.47","822.41","806.91","822.41","213,580"
12/15/2020,"814.17","818.05","813.69","815.63","189,690"
12/14/2020,"813.69","822.41","813.69","817.56","254,730"
12/11/2020,"808.84","831.12","806.42","818.53","340,920"
12/10/2020,"809.81","813.69","804.49","813.69","177,150"
12/09/2020,"836.94","839.36","794.31","794.31","415,850"
12/07/2020,"836.94","837.42","818.53","833.06","559,280"
12/04/2020,"832.58","837.42","814.66","837.42","454,520"
12/03/2020,"822.41","833.06","814.17","833.06","494,610"
12/02/2020,"804.00","822.41","799.16","822.41","391,140"
12/01/2020,"789.47","804.00","780.75","804.00","386,930"
11/27/2020,"798.67","820.95","786.57","797.71","1,111,390"
11/26/2020,"808.84","809.81","795.28","798.67","240,870"
11/25/2020,"802.06","820.47","802.06","815.63","272,140"
11/24/2020,"819.50","819.50","798.67","805.94","222,660"
11/23/2020,"828.22","829.67","813.69","813.69","409,920"
11/20/2020,"819.50","836.45","813.69","828.22","544,690"
11/19/2020,"835.00","835.00","808.84","823.38","313,520"
11/18/2020,"821.44","838.39","811.75","838.39","595,930"
11/17/2020,"813.69","822.89","805.94","821.44","480,380"
11/16/2020,"817.56","822.89","797.71","807.88","243,780"
11/13/2020,"808.84","827.73","804.97","817.56","388,260"
11/11/2020,"799.16","842.75","795.28","842.75","478,290"
11/10/2020,"783.66","815.63","783.66","813.69","869,400"
11/09/2020,"778.82","778.82","760.41","764.29","355,570"
11/06/2020,"770.10","786.57","755.57","779.78","533,260"
11/05/2020,"744.91","770.10","744.43","770.10","334,990"
11/04/2020,"731.35","744.91","726.51","741.04","220,040"
11/03/2020,"722.63","736.19","722.63","726.51","277,120"
10/30/2020,"719.73","743.94","712.95","739.10","216,900"
10/29/2020,"726.51","731.35","717.79","721.66","276,150"
10/28/2020,"735.71","744.91","728.44","736.19","334,450"
10/27/2020,"740.07","749.27","720.21","736.19","325,170"
10/26/2020,"755.57","763.32","727.48","742.01","442,710"
10/23/2020,"727.48","751.69","727.48","750.72","474,180"
10/22/2020,"711.98","736.19","711.98","720.70","692,440"
10/21/2020,"687.76","716.82","687.76","709.07","339,710"
10/20/2020,"683.89","692.60","680.50","680.50","166,050"
10/19/2020,"669.36","683.89","669.36","683.89","148,780"
10/16/2020,"674.68","675.17","668.39","668.39","146,760"
10/15/2020,"678.07","680.98","673.23","674.68","100,230"
10/14/2020,"678.07","681.46","671.29","677.10","177,940"
10/13/2020,"684.85","685.34","678.07","678.07","165,660"
10/12/2020,"688.24","688.24","683.89","684.85","160,810"
10/09/2020,"695.51","695.51","686.79","688.24","198,740"
10/08/2020,"693.57","696.48","686.79","696.48","153,100"
10/07/2020,"685.82","694.06","685.82","693.57","155,260"
10/06/2020,"697.45","697.45","684.85","695.51","164,550"
10/05/2020,"684.37","697.45","681.95","697.45","155,220"
10/02/2020,"668.39","687.76","666.45","687.76","226,360"
10/01/2020,"667.42","671.29","666.45","671.29","396,580"
09/30/2020,"668.39","671.29","666.45","667.42","335,830"
09/29/2020,"667.42","669.36","663.54","664.51","90,410"
09/28/2020,"677.10","677.10","663.54","663.54","157,040"
09/25/2020,"680.01","680.50","670.81","670.81","132,680"
09/24/2020,"692.12","692.12","678.56","678.56","128,140"
09/23/2020,"697.45","697.45","689.21","692.60","187,330"
09/22/2020,"694.54","697.45","682.92","697.45","99,960"
09/21/2020,"695.51","695.51","683.40","695.51","94,540"
09/18/2020,"692.60","697.45","680.01","697.45","280,770"
09/17/2020,"676.14","692.60","676.14","692.60","140,410"
09/16/2020,"682.92","683.89","674.20","676.14","165,610"
09/15/2020,"678.07","682.92","676.14","682.92","107,030"
09/14/2020,"678.56","686.79","676.14","678.07","243,540"
09/11/2020,"678.07","686.31","678.07","678.07","216,960"
09/10/2020,"691.64","696.48","670.32","678.07","400,550"
09/09/2020,"696.48","701.32","685.82","693.57","277,530"
09/08/2020,"680.50","697.45","680.50","695.51","362,230"
09/07/2020,"668.39","681.46","666.45","680.01","329,100"
09/04/2020,"678.07","678.07","665.00","668.39","307,330"
09/03/2020,"681.95","683.89","673.23","678.07","369,960"
09/02/2020,"697.45","697.45","663.54","670.32","464,970"
09/01/2020,"711.98","718.76","687.76","687.76","311,750"
08/28/2020,"707.13","711.49","697.93","710.52","331,850"
08/27/2020,"697.45","711.98","695.99","711.98","148,800"
08/26/2020,"717.79","717.79","692.60","695.03","254,640"
08/25/2020,"718.76","718.76","707.13","709.07","76,610"
08/24/2020,"707.13","720.70","698.42","719.73","182,320"
08/20/2020,"720.70","720.70","699.38","707.13","109,690"
08/19/2020,"727.96","738.13","711.98","711.98","201,760"
08/18/2020,"731.84","738.13","722.15","738.13","240,530"
08/17/2020,"726.02","736.19","717.30","736.19","66,210"
08/14/2020,"724.57","731.35","713.91","726.02","333,910"
08/13/2020,"715.85","729.41","707.13","729.41","129,990"
08/12/2020,"723.60","723.60","704.23","715.85","147,940"
08/11/2020,"707.13","734.26","697.45","724.57","215,060"
08/10/2020,"678.07","707.13","677.10","707.13","179,340"
08/07/2020,"696.48","696.48","678.07","679.04","108,830"
08/06/2020,"688.73","697.45","675.65","697.45","95,690"
08/05/2020,"687.76","690.67","678.07","678.07","200,870"
08/04/2020,"674.68","685.34","674.20","682.92","256,220"
08/03/2020,"684.85","687.76","672.26","678.07","499,950"
07/30/2020,"700.35","711.49","695.51","703.74","179,660"
07/29/2020,"697.45","700.35","683.40","700.35","176,990"
07/28/2020,"687.76","702.29","678.56","699.38","179,710"
07/27/2020,"710.04","710.04","687.76","687.76","185,060"
07/24/2020,"716.82","725.54","704.23","718.76","74,430"
07/23/2020,"724.57","731.35","708.10","726.51","90,100"
07/22/2020,"737.16","745.88","722.63","722.63","197,550"
07/21/2020,"724.09","744.91","720.21","741.04","200,280"
07/20/2020,"721.66","726.51","707.62","726.51","129,180"
07/17/2020,"709.07","726.51","698.42","726.51","207,870"
07/16/2020,"702.29","724.57","702.29","716.82","189,680"
07/15/2020,"718.76","721.66","698.42","701.32","340,830"
07/14/2020,"709.07","734.26","709.07","726.51","158,790"
07/13/2020,"719.73","720.70","710.04","710.04","344,630"
07/10/2020,"738.13","738.13","716.82","721.66","270,230"
07/09/2020,"731.35","743.46","724.57","738.13","199,480"
07/08/2020,"727.96","745.88","721.66","724.57","316,680"
07/07/2020,"747.82","748.79","727.48","727.48","294,820"
07/06/2020,"743.94","750.72","737.65","737.65","323,850"
07/03/2020,"752.66","764.77","741.04","745.40","198,140"
07/02/2020,"750.72","772.04","739.10","756.05","275,400"
07/01/2020,"755.57","756.54","734.26","750.72","170,120"
06/30/2020,"739.10","760.41","739.10","752.66","477,410"
06/29/2020,"750.24","750.24","731.84","738.13","240,210"
06/26/2020,"750.72","761.86","742.49","760.41","241,160"
06/25/2020,"760.41","769.13","750.72","750.72","290,100"
06/24/2020,"774.94","779.78","761.38","761.38","181,010"
06/23/2020,"774.94","784.63","765.74","784.63","322,970"
06/22/2020,"779.78","779.78","763.32","774.94","187,100"
06/19/2020,"750.72","783.17","747.33","783.17","1,241,900"
06/18/2020,"766.22","769.61","750.72","765.25","310,010"
06/17/2020,"765.25","773.00","756.54","765.74","525,740"
06/16/2020,"735.23","761.86","731.35","750.72","556,590"
06/15/2020,"745.88","745.88","721.66","726.51","328,250"
06/11/2020,"755.57","768.16","741.04","765.25","398,890"
06/10/2020,"768.16","768.16","750.72","756.54","463,470"
06/09/2020,"772.04","778.82","754.60","774.94","485,960"
06/08/2020,"765.25","773.00","763.32","773.00","265,950"
06/05/2020,"765.25","771.07","726.51","768.16","622,110"
06/04/2020,"721.66","773.00","721.66","773.00","998,270"
06/03/2020,"716.82","732.32","709.07","731.84","429,440"
