Date,Open,High,Low,Close,Volume
12/29/2022,"1.320","1.320","1.320","1.320","1,000"
12/20/2022,"1.400","1.400","1.400","1.400","70,000"
12/19/2022,"1.400","1.400","1.400","1.400","39,000"
12/12/2022,"1.410","1.410","1.410","1.410","1,000"
12/07/2022,"1.580","1.580","1.580","1.580","1,000"
12/06/2022,"1.410","1.410","1.400","1.400","25,000"
12/05/2022,"1.410","1.410","1.410","1.410","23,000"
12/02/2022,"1.600","1.600","1.600","1.600","52,000"
12/01/2022,"1.400","1.400","1.400","1.400","3,000"
11/29/2022,"1.350","1.350","1.350","1.350","1,000"
11/28/2022,"1.400","1.400","1.400","1.400","10,000"
11/24/2022,"1.410","1.410","1.400","1.400","11,000"
11/22/2022,"1.400","1.400","1.350","1.350","20,000"
11/17/2022,"1.400","1.400","1.400","1.400","11,000"
11/16/2022,"1.410","1.410","1.410","1.410","10,000"
11/14/2022,"1.420","1.420","1.420","1.420","12,000"
11/11/2022,"1.600","1.600","1.600","1.600","2,000"
11/10/2022,"1.400","1.400","1.400","1.400","6,000"
11/09/2022,"1.610","1.610","1.610","1.610","1,000"
11/08/2022,"1.610","1.610","1.610","1.610","1,000"
11/07/2022,"1.620","1.620","1.620","1.620","3,000"
11/03/2022,"1.500","1.500","1.500","1.500","9,000"
11/02/2022,"1.500","1.640","1.500","1.640","2,000"
10/27/2022,"1.650","1.650","1.650","1.650","5,000"
10/26/2022,"1.650","1.650","1.400","1.400","9,000"
10/25/2022,"1.650","1.650","1.650","1.650","1,000"
10/10/2022,"1.670","1.670","1.670","1.670","1,000"
10/07/2022,"1.400","1.400","1.400","1.400","1,000"
10/06/2022,"1.400","1.400","1.400","1.400","5,000"
10/04/2022,"1.400","1.400","1.400","1.400","9,000"
09/30/2022,"1.430","1.430","1.430","1.430","14,000"
09/29/2022,"1.450","1.450","1.450","1.450","10,000"
09/28/2022,"1.450","1.450","1.450","1.450","1,000"
09/27/2022,"1.600","1.600","1.600","1.600","3,000"
09/20/2022,"1.630","1.630","1.630","1.630","1,000"
09/19/2022,"1.630","1.630","1.630","1.630","10,000"
09/12/2022,"1.680","1.680","1.680","1.680","2,000"
09/09/2022,"1.680","1.680","1.680","1.680","1,000"
09/08/2022,"1.710","1.710","1.680","1.680","4,000"
09/06/2022,"1.720","1.720","1.720","1.720","20,000"
08/22/2022,"1.680","1.680","1.400","1.400","28,000"
08/17/2022,"1.360","1.360","1.360","1.360","1,000"
08/11/2022,"1.650","1.650","1.360","1.360","2,000"
08/02/2022,"1.360","1.360","1.360","1.360","2,000"
08/01/2022,"1.360","1.360","1.360","1.360","5,000"
07/29/2022,"1.360","1.360","1.360","1.360","2,000"
07/25/2022,"1.370","1.370","1.370","1.370","10,000"
07/22/2022,"1.370","1.370","1.370","1.370","22,000"
07/13/2022,"1.360","1.360","1.360","1.360","20,000"
07/12/2022,"1.360","1.360","1.360","1.360","2,000"
07/07/2022,"1.360","1.360","1.360","1.360","50,000"
07/06/2022,"1.360","1.360","1.360","1.360","3,000"
07/05/2022,"1.370","1.370","1.370","1.370","7,000"
06/23/2022,"1.370","1.470","1.370","1.470","55,000"
06/20/2022,"1.400","1.400","1.400","1.400","3,000"
06/03/2022,"1.420","1.420","1.420","1.420","1,000"
05/23/2022,"1.410","1.410","1.410","1.410","2,000"
05/20/2022,"1.410","1.410","1.410","1.410","2,000"
05/11/2022,"1.420","1.420","1.420","1.420","7,000"
05/10/2022,"1.500","1.500","1.390","1.420","61,000"
05/05/2022,"1.550","1.550","1.520","1.520","23,000"
04/28/2022,"1.550","1.550","1.550","1.550","10,000"
04/18/2022,"1.530","1.530","1.530","1.530","21,000"
04/13/2022,"1.530","1.530","1.520","1.520","11,000"
04/12/2022,"1.540","1.680","1.520","1.680","35,000"
04/11/2022,"1.550","1.550","1.550","1.550","15,000"
04/08/2022,"1.550","1.550","1.550","1.550","10,000"
04/07/2022,"1.680","1.680","1.680","1.680","5,000"
04/06/2022,"1.520","1.750","1.520","1.680","33,000"
04/05/2022,"1.800","1.800","1.650","1.750","51,000"
04/04/2022,"1.750","1.820","1.750","1.750","111,000"
04/01/2022,"1.690","1.780","1.690","1.750","280,000"
03/31/2022,"1.660","1.670","1.650","1.650","38,000"
03/30/2022,"1.630","1.660","1.630","1.630","23,000"
03/29/2022,"1.640","1.640","1.640","1.640","6,000"
03/23/2022,"1.630","1.640","1.630","1.640","73,000"
03/22/2022,"1.630","1.630","1.630","1.630","24,000"
03/17/2022,"1.650","1.650","1.510","1.650","87,000"
03/16/2022,"1.650","1.660","1.650","1.650","35,000"
03/15/2022,"1.430","1.650","1.430","1.650","232,000"
03/14/2022,"1.450","1.450","1.450","1.450","15,000"
03/11/2022,"1.500","1.500","1.500","1.500","15,000"
03/10/2022,"1.520","1.520","1.450","1.450","21,000"
03/09/2022,"1.370","1.450","1.370","1.450","26,000"
03/04/2022,"1.400","1.400","1.390","1.390","10,000"
03/03/2022,"1.460","1.500","1.380","1.380","237,000"
03/02/2022,"1.460","1.580","1.460","1.500","23,000"
03/01/2022,"1.500","1.500","1.500","1.500","2,000"
02/28/2022,"1.460","1.500","1.460","1.500","15,000"
02/24/2022,"1.500","1.500","1.500","1.500","12,000"
02/23/2022,"1.450","1.590","1.450","1.590","7,000"
02/17/2022,"1.450","1.450","1.450","1.450","1,000"
02/15/2022,"1.450","1.450","1.450","1.450","6,000"
02/09/2022,"1.590","1.610","1.500","1.500","151,000"
02/08/2022,"1.500","1.500","1.500","1.500","4,000"
02/07/2022,"1.590","1.590","1.590","1.590","65,000"
02/04/2022,"1.580","1.590","1.580","1.590","27,000"
02/03/2022,"1.570","1.580","1.570","1.580","20,000"
02/02/2022,"1.500","1.500","1.500","1.500","14,000"
01/31/2022,"1.520","1.520","1.500","1.500","8,000"
01/27/2022,"1.580","1.580","1.580","1.580","8,000"
01/26/2022,"1.400","1.600","1.400","1.580","18,000"
01/25/2022,"1.490","1.490","1.400","1.400","144,000"
01/17/2022,"1.510","1.550","1.510","1.510","61,000"
01/14/2022,"1.450","1.510","1.430","1.510","210,000"
01/13/2022,"1.450","1.630","1.430","1.630","128,000"
01/10/2022,"1.560","1.650","1.560","1.650","8,000"
01/05/2022,"1.660","1.670","1.660","1.660","28,000"
01/03/2022,"1.660","1.660","1.560","1.650","28,000"
