Date,Open,High,Low,Close,Volume
12/29/2023,"1,080.00","1,080.00","1,080.00","1,080.00","15"
12/28/2023,"1,080.00","1,080.00","1,080.00","1,080.00","430"
12/27/2023,"1,080.00","1,080.00","1,080.00","1,080.00","35"
12/22/2023,"1,052.00","1,070.00","1,052.00","1,070.00","1,100"
12/21/2023,"1,052.00","1,054.00","1,052.00","1,054.00","120"
12/20/2023,"1,065.00","1,065.00","1,051.00","1,051.00","3,400"
12/19/2023,"1,070.00","1,070.00","1,065.00","1,065.00","3,055"
12/18/2023,"1,076.00","1,076.00","1,076.00","1,076.00","2,545"
12/14/2023,"1,077.00","1,078.00","1,076.00","1,076.00","430"
12/13/2023,"1,070.00","1,070.00","1,070.00","1,070.00","350"
12/12/2023,"1,074.00","1,076.00","1,074.00","1,076.00","450"
12/11/2023,"1,070.00","1,074.00","1,070.00","1,074.00","705"
12/07/2023,"1,070.00","1,070.00","1,070.00","1,070.00","40"
12/06/2023,"1,074.00","1,074.00","1,040.00","1,050.00","10,925"
12/05/2023,"1,060.00","1,073.00","1,060.00","1,073.00","1,525"
12/04/2023,"1,065.00","1,072.00","1,060.00","1,060.00","2,215"
12/01/2023,"1,070.00","1,070.00","1,065.00","1,065.00","3,620"
11/30/2023,"1,065.00","1,070.00","1,065.00","1,066.00","1,045"
11/29/2023,"1,067.00","1,071.00","1,067.00","1,071.00","1,050"
11/28/2023,"1,055.00","1,067.00","1,055.00","1,067.00","1,800"
11/24/2023,"1,061.00","1,065.00","1,061.00","1,065.00","6,315"
11/23/2023,"1,057.00","1,060.00","1,055.00","1,060.00","5,720"
11/22/2023,"1,035.00","1,056.00","1,035.00","1,056.00","3,285"
11/21/2023,"1,038.00","1,039.00","1,038.00","1,039.00","2,510"
11/20/2023,"1,030.00","1,039.00","1,030.00","1,039.00","66,000"
11/17/2023,"1,035.00","1,038.00","1,030.00","1,038.00","7,110"
11/16/2023,"1,030.00","1,035.00","1,025.00","1,030.00","840"
11/15/2023,"1,040.00","1,040.00","1,038.00","1,040.00","1,750"
11/14/2023,"1,040.00","1,040.00","1,040.00","1,040.00","3,070"
11/13/2023,"1,040.00","1,040.00","1,039.00","1,039.00","60"
11/10/2023,"1,046.00","1,046.00","1,046.00","1,046.00","35"
11/09/2023,"1,046.00","1,046.00","1,039.00","1,045.00","245"
11/08/2023,"1,044.00","1,046.00","1,044.00","1,046.00","220"
11/07/2023,"1,041.00","1,046.00","1,040.00","1,046.00","60"
11/06/2023,"1,047.00","1,047.00","1,041.00","1,041.00","470"
11/03/2023,"1,040.00","1,047.00","1,040.00","1,047.00","1,570"
