Date,Open,High,Low,Close,Volume
12/27/2024,"2,590.00","2,600.00","2,550.00","2,550.00","35"
12/23/2024,"2,550.00","2,568.00","2,550.00","2,568.00","305"
12/20/2024,"2,550.00","2,550.00","2,550.00","2,550.00","530"
12/19/2024,"2,540.00","2,550.00","2,540.00","2,550.00","5,080"
12/18/2024,"2,532.00","2,550.00","2,532.00","2,540.00","4,210"
12/17/2024,"2,532.00","2,532.00","2,530.00","2,532.00","1,640"
12/16/2024,"2,552.00","2,552.00","2,532.00","2,532.00","150"
12/12/2024,"2,532.00","2,552.00","2,532.00","2,552.00","2,075"
12/10/2024,"2,560.00","2,560.00","2,532.00","2,550.00","5,050"
12/05/2024,"2,550.00","2,550.00","2,550.00","2,550.00","45"
12/04/2024,"2,560.00","2,560.00","2,560.00","2,560.00","70"
12/03/2024,"2,550.00","2,550.00","2,550.00","2,550.00","50"
12/02/2024,"2,550.00","2,560.00","2,532.00","2,560.00","110"
11/29/2024,"2,550.00","2,550.00","2,544.00","2,550.00","270"
11/28/2024,"2,550.00","2,550.00","2,550.00","2,550.00","20"
11/27/2024,"2,520.00","2,520.00","2,520.00","2,520.00","45"
11/26/2024,"2,510.00","2,510.00","2,502.00","2,510.00","170"
11/25/2024,"2,520.00","2,520.00","2,520.00","2,520.00","10"
11/22/2024,"2,510.00","2,520.00","2,510.00","2,520.00","55"
11/20/2024,"2,520.00","2,520.00","2,520.00","2,520.00","30"
11/19/2024,"2,510.00","2,540.00","2,510.00","2,540.00","795"
11/18/2024,"2,540.00","2,540.00","2,502.00","2,502.00","4,625"
11/15/2024,"2,540.00","2,540.00","2,540.00","2,540.00","205"
11/14/2024,"2,588.00","2,588.00","2,540.00","2,540.00","185"
11/13/2024,"2,578.00","2,578.00","2,578.00","2,578.00","25"
11/12/2024,"2,522.00","2,522.00","2,520.00","2,520.00","1,240"
11/11/2024,"2,520.00","2,520.00","2,520.00","2,520.00","120"
11/08/2024,"2,520.00","2,520.00","2,520.00","2,520.00","290"
11/07/2024,"2,534.00","2,534.00","2,522.00","2,524.00","230"
11/06/2024,"2,526.00","2,534.00","2,526.00","2,534.00","560"
11/04/2024,"2,520.00","2,520.00","2,520.00","2,520.00","15"
10/31/2024,"2,510.00","2,520.00","2,510.00","2,520.00","50"
10/29/2024,"2,534.00","2,534.00","2,510.00","2,510.00","290"
10/28/2024,"2,534.00","2,534.00","2,534.00","2,534.00","40"
10/25/2024,"2,510.00","2,524.00","2,510.00","2,524.00","205"
10/24/2024,"2,524.00","2,524.00","2,524.00","2,524.00","35"
10/23/2024,"2,520.00","2,524.00","2,520.00","2,524.00","125"
10/22/2024,"2,516.00","2,526.00","2,516.00","2,516.00","2,045"
10/21/2024,"2,516.00","2,516.00","2,516.00","2,516.00","1,000"
10/18/2024,"2,510.00","2,510.00","2,510.00","2,510.00","20"
10/16/2024,"2,508.00","2,510.00","2,508.00","2,510.00","470"
10/15/2024,"2,506.00","2,524.00","2,506.00","2,524.00","1,455"
10/14/2024,"2,506.00","2,506.00","2,506.00","2,506.00","255"
10/11/2024,"2,502.00","2,520.00","2,502.00","2,520.00","1,270"
10/09/2024,"2,522.00","2,522.00","2,500.00","2,500.00","840"
10/08/2024,"2,500.00","2,500.00","2,500.00","2,500.00","260"
10/07/2024,"2,504.00","2,504.00","2,500.00","2,500.00","120"
10/03/2024,"2,500.00","2,500.00","2,500.00","2,500.00","20"
10/02/2024,"2,508.00","2,508.00","2,500.00","2,500.00","290"
10/01/2024,"2,500.00","2,500.00","2,500.00","2,500.00","105"
09/30/2024,"2,494.00","2,494.00","2,494.00","2,494.00","140"
09/27/2024,"2,508.00","2,508.00","2,494.00","2,508.00","35"
09/26/2024,"2,492.00","2,492.00","2,492.00","2,492.00","230"
09/25/2024,"2,500.00","2,500.00","2,500.00","2,500.00","100"
09/24/2024,"2,510.00","2,510.00","2,500.00","2,500.00","70"
09/23/2024,"2,492.00","2,500.00","2,492.00","2,500.00","130"
09/20/2024,"2,500.00","2,500.00","2,500.00","2,500.00","95"
09/19/2024,"2,498.00","2,500.00","2,490.00","2,490.00","1,240"
09/18/2024,"2,498.00","2,498.00","2,498.00","2,498.00","1,720"
09/17/2024,"2,492.00","2,498.00","2,492.00","2,492.00","1,050"
09/16/2024,"2,498.00","2,498.00","2,490.00","2,490.00","55"
09/13/2024,"2,498.00","2,498.00","2,498.00","2,498.00","60"
09/12/2024,"2,498.00","2,498.00","2,498.00","2,498.00","60"
09/11/2024,"2,498.00","2,498.00","2,498.00","2,498.00","145"
09/10/2024,"2,492.00","2,500.00","2,490.00","2,490.00","205"
09/09/2024,"2,518.00","2,518.00","2,518.00","2,518.00","5"
09/05/2024,"2,500.00","2,500.00","2,494.00","2,494.00","430"
09/03/2024,"2,492.00","2,492.00","2,492.00","2,492.00","75"
09/02/2024,"2,500.00","2,500.00","2,500.00","2,500.00","15"
08/29/2024,"2,492.00","2,500.00","2,490.00","2,492.00","320"
08/28/2024,"2,520.00","2,520.00","2,520.00","2,520.00","5"
08/27/2024,"2,500.00","2,500.00","2,490.00","2,490.00","85"
08/22/2024,"2,500.00","2,500.00","2,490.00","2,500.00","105"
08/21/2024,"2,490.00","2,490.00","2,490.00","2,490.00","20"
08/20/2024,"2,490.00","2,494.00","2,490.00","2,494.00","50"
08/19/2024,"2,500.00","2,500.00","2,500.00","2,500.00","440"
08/16/2024,"2,500.00","2,500.00","2,500.00","2,500.00","480"
08/15/2024,"2,486.00","2,486.00","2,486.00","2,486.00","80"
08/14/2024,"2,500.00","2,500.00","2,500.00","2,500.00","125"
08/12/2024,"2,500.00","2,500.00","2,500.00","2,500.00","95"
08/09/2024,"2,500.00","2,520.00","2,500.00","2,520.00","115"
08/08/2024,"2,516.00","2,520.00","2,516.00","2,520.00","85"
08/06/2024,"2,500.00","2,500.00","2,500.00","2,500.00","170"
08/05/2024,"2,494.00","2,494.00","2,494.00","2,494.00","40"
07/31/2024,"2,492.00","2,492.00","2,490.00","2,490.00","110"
07/26/2024,"2,500.00","2,500.00","2,488.00","2,488.00","60"
07/25/2024,"2,500.00","2,500.00","2,500.00","2,500.00","2,000"
07/23/2024,"2,498.00","2,498.00","2,498.00","2,498.00","145"
07/22/2024,"2,498.00","2,510.00","2,498.00","2,510.00","15"
07/19/2024,"2,500.00","2,500.00","2,500.00","2,500.00","50"
