Date,Open,High,Low,Close,Volume
04/30/2025,"6.16","6.23","6.12","6.12","1,869,900"
04/29/2025,"6.21","6.23","6.12","6.13","390,700"
04/28/2025,"6.31","6.31","6.15","6.20","1,311,300"
04/25/2025,"6.28","6.30","6.20","6.29","687,200"
04/24/2025,"6.13","6.37","6.13","6.28","568,800"
04/23/2025,"6.17","6.34","6.17","6.27","927,100"
04/22/2025,"6.12","6.18","6.10","6.16","495,800"
04/21/2025,"6.20","6.21","6.12","6.12","1,665,300"
04/16/2025,"6.20","6.20","6.07","6.08","1,798,100"
04/15/2025,"6.16","6.19","6.12","6.17","9,294,000"
04/14/2025,"6.23","6.23","6.09","6.16","1,806,400"
04/11/2025,"6.17","6.22","6.04","6.22","619,800"
04/10/2025,"6.20","6.21","6.00","6.19","1,420,200"
04/08/2025,"5.90","6.10","5.89","6.09","2,132,500"
04/07/2025,"5.99","6.00","5.76","6.00","3,815,200"
04/04/2025,"6.05","6.11","6.00","6.08","3,497,700"
04/03/2025,"6.10","6.16","6.05","6.11","2,594,200"
04/02/2025,"6.10","6.18","5.98","6.18","3,189,800"
03/31/2025,"6.00","6.08","5.94","6.08","3,420,300"
03/28/2025,"6.01","6.07","5.95","6.00","3,177,900"
03/27/2025,"6.05","6.05","5.97","6.01","1,712,500"
03/26/2025,"6.08","6.08","5.95","6.00","2,567,800"
03/25/2025,"6.00","6.12","5.95","6.01","3,200,200"
03/24/2025,"6.00","6.03","5.97","6.01","2,203,900"
03/21/2025,"6.07","6.07","5.97","6.01","4,514,700"
03/20/2025,"6.00","6.05","5.94","6.01","12,067,300"
03/19/2025,"6.13","6.13","5.90","5.93","12,076,000"
03/18/2025,"6.20","6.24","6.05","6.11","7,758,100"
03/17/2025,"6.20","6.27","6.15","6.18","1,392,800"
03/14/2025,"6.20","6.20","6.09","6.20","3,933,300"
03/13/2025,"6.50","6.50","6.18","6.30","3,483,600"
03/12/2025,"6.39","6.53","6.28","6.51","1,982,300"
03/11/2025,"6.65","6.69","6.33","6.36","2,143,800"
03/10/2025,"6.50","6.53","6.45","6.50","3,762,800"
03/07/2025,"6.50","6.51","6.44","6.50","2,312,800"
03/06/2025,"6.51","6.56","6.38","6.50","4,157,200"
03/05/2025,"6.72","6.72","6.51","6.54","8,659,800"
03/04/2025,"6.67","6.72","6.64","6.71","812,300"
03/03/2025,"6.57","6.70","6.55","6.66","2,903,100"
02/28/2025,"7.08","7.08","6.50","6.50","7,121,400"
02/27/2025,"6.90","7.00","6.80","7.00","9,750,700"
02/26/2025,"6.90","6.97","6.75","6.90","1,679,300"
02/25/2025,"6.80","6.92","6.74","6.77","1,780,500"
02/24/2025,"7.12","7.12","6.61","6.80","1,880,600"
02/21/2025,"7.17","7.20","6.98","6.98","1,272,500"
02/20/2025,"7.25","7.26","6.91","6.91","1,627,200"
02/19/2025,"7.50","7.50","7.10","7.25","2,040,000"
02/18/2025,"7.72","7.72","7.47","7.50","719,300"
02/17/2025,"7.60","7.72","7.47","7.72","403,900"
02/14/2025,"7.73","7.73","7.47","7.47","815,800"
02/13/2025,"7.60","7.72","7.46","7.61","1,419,000"
02/12/2025,"7.69","7.78","7.54","7.60","679,100"
02/11/2025,"7.50","7.69","7.40","7.69","924,200"
02/10/2025,"7.38","7.60","7.31","7.50","2,588,500"
02/07/2025,"7.39","7.48","7.30","7.37","1,583,100"
02/06/2025,"7.48","7.48","7.27","7.39","1,923,600"
02/05/2025,"7.12","7.45","7.10","7.39","1,278,500"
02/04/2025,"7.08","7.30","7.04","7.12","3,153,400"
02/03/2025,"6.50","7.20","6.50","6.90","15,917,000"
01/31/2025,"7.50","7.60","6.00","6.00","16,725,900"
01/30/2025,"7.82","7.98","7.40","7.50","7,240,000"
01/28/2025,"8.30","8.31","7.89","7.90","1,965,300"
01/27/2025,"8.64","8.64","7.80","8.29","1,780,300"
01/24/2025,"8.62","8.66","8.60","8.64","945,500"
01/23/2025,"8.60","8.64","8.58","8.62","1,206,900"
01/22/2025,"8.70","8.75","8.60","8.63","1,324,900"
01/21/2025,"8.66","8.70","8.64","8.70","927,200"
01/20/2025,"8.64","8.70","8.63","8.66","1,571,800"
01/17/2025,"8.64","8.69","8.63","8.66","667,700"
01/16/2025,"8.70","8.70","8.60","8.64","1,079,000"
01/15/2025,"8.62","8.69","8.62","8.68","526,000"
01/14/2025,"8.73","8.73","8.61","8.68","1,012,100"
01/13/2025,"8.80","8.80","8.68","8.74","1,385,800"
01/10/2025,"8.83","8.83","8.69","8.80","813,500"
01/09/2025,"8.65","8.81","8.65","8.81","1,306,000"
01/08/2025,"8.60","8.83","8.56","8.65","1,121,900"
01/07/2025,"8.86","8.86","8.38","8.60","1,721,300"
01/06/2025,"8.83","8.88","8.80","8.82","1,278,400"
01/03/2025,"8.99","8.99","8.73","8.83","835,800"
01/02/2025,"8.99","9.00","8.93","8.99","653,700"
