Date,Open,High,Low,Close,Volume
12/29/2020,"0.620","0.650","0.620","0.650","962,000"
12/28/2020,"0.660","0.660","0.630","0.630","1,971,000"
12/23/2020,"0.650","0.680","0.620","0.650","3,775,000"
12/22/2020,"0.710","0.710","0.650","0.660","6,197,000"
12/21/2020,"0.730","0.730","0.690","0.700","2,071,000"
12/18/2020,"0.730","0.740","0.710","0.730","938,000"
12/17/2020,"0.730","0.740","0.700","0.730","1,138,000"
12/16/2020,"0.740","0.740","0.700","0.720","1,533,000"
12/15/2020,"0.730","0.750","0.720","0.740","3,256,000"
12/14/2020,"0.700","0.730","0.690","0.710","2,503,000"
12/11/2020,"0.710","0.720","0.700","0.700","974,000"
12/10/2020,"0.720","0.720","0.690","0.710","2,703,000"
12/09/2020,"0.700","0.710","0.690","0.710","1,877,000"
12/07/2020,"0.710","0.720","0.680","0.700","2,685,000"
12/04/2020,"0.670","0.730","0.670","0.710","12,353,000"
12/03/2020,"0.650","0.660","0.650","0.660","953,000"
12/02/2020,"0.650","0.670","0.640","0.650","1,583,000"
12/01/2020,"0.650","0.670","0.640","0.660","1,129,000"
11/27/2020,"0.660","0.660","0.640","0.650","1,240,000"
11/26/2020,"0.670","0.670","0.640","0.650","3,461,000"
11/25/2020,"0.670","0.680","0.650","0.670","1,240,000"
11/24/2020,"0.680","0.680","0.650","0.660","2,412,000"
11/23/2020,"0.660","0.670","0.640","0.670","2,622,000"
11/20/2020,"0.690","0.690","0.660","0.660","1,803,000"
11/19/2020,"0.650","0.680","0.650","0.680","3,426,000"
11/18/2020,"0.640","0.650","0.630","0.640","3,109,000"
11/17/2020,"0.640","0.640","0.610","0.640","2,371,000"
11/16/2020,"0.640","0.650","0.620","0.630","2,565,000"
11/13/2020,"0.620","0.660","0.620","0.630","7,687,000"
11/11/2020,"0.580","0.610","0.560","0.610","6,245,000"
11/10/2020,"0.580","0.580","0.560","0.580","6,176,000"
11/09/2020,"0.590","0.590","0.570","0.580","2,493,000"
11/06/2020,"0.590","0.590","0.570","0.590","2,445,000"
11/05/2020,"0.600","0.600","0.580","0.590","1,242,000"
11/04/2020,"0.600","0.600","0.580","0.600","1,416,000"
11/03/2020,"0.600","0.610","0.590","0.600","1,085,000"
10/30/2020,"0.590","0.600","0.590","0.600","2,046,000"
10/29/2020,"0.590","0.600","0.570","0.600","2,764,000"
10/28/2020,"0.580","0.600","0.580","0.600","431,000"
10/27/2020,"0.580","0.580","0.560","0.580","447,000"
10/26/2020,"0.590","0.590","0.580","0.580","345,000"
10/23/2020,"0.580","0.600","0.560","0.590","560,000"
10/22/2020,"0.600","0.600","0.560","0.580","833,000"
10/21/2020,"0.610","0.610","0.580","0.590","1,861,000"
10/20/2020,"0.610","0.610","0.580","0.610","1,853,000"
10/19/2020,"0.610","0.620","0.600","0.610","2,703,000"
10/16/2020,"0.600","0.610","0.580","0.600","3,816,000"
10/15/2020,"0.590","0.600","0.590","0.590","511,000"
10/14/2020,"0.590","0.590","0.570","0.580","311,000"
10/13/2020,"0.560","0.600","0.560","0.570","1,549,000"
10/12/2020,"0.550","0.570","0.550","0.560","413,000"
10/09/2020,"0.570","0.570","0.550","0.550","1,181,000"
10/08/2020,"0.570","0.580","0.560","0.570","2,737,000"
10/07/2020,"0.550","0.570","0.530","0.560","1,458,000"
10/06/2020,"0.530","0.560","0.530","0.540","1,667,000"
10/05/2020,"0.530","0.540","0.520","0.530","603,000"
10/02/2020,"0.520","0.520","0.520","0.520","1,984,000"
10/01/2020,"0.530","0.530","0.520","0.530","897,000"
09/30/2020,"0.520","0.540","0.520","0.530","289,000"
09/29/2020,"0.540","0.540","0.520","0.540","364,000"
09/28/2020,"0.530","0.530","0.520","0.530","195,000"
09/25/2020,"0.530","0.530","0.520","0.520","1,229,000"
09/24/2020,"0.520","0.530","0.510","0.520","498,000"
09/23/2020,"0.520","0.530","0.520","0.530","69,000"
09/22/2020,"0.530","0.530","0.520","0.530","1,060,000"
09/21/2020,"0.550","0.550","0.520","0.530","342,000"
09/18/2020,"0.530","0.540","0.530","0.540","505,000"
09/17/2020,"0.530","0.540","0.530","0.540","273,000"
09/16/2020,"0.530","0.540","0.530","0.540","580,000"
09/15/2020,"0.540","0.540","0.530","0.540","342,000"
09/14/2020,"0.550","0.560","0.540","0.540","864,000"
09/11/2020,"0.560","0.560","0.550","0.550","981,000"
09/10/2020,"0.560","0.580","0.540","0.560","2,324,000"
09/09/2020,"0.520","0.560","0.520","0.550","3,496,000"
09/08/2020,"0.520","0.520","0.510","0.520","368,000"
09/07/2020,"0.500","0.530","0.500","0.510","1,262,000"
09/04/2020,"0.510","0.520","0.500","0.500","586,000"
09/03/2020,"0.510","0.530","0.510","0.520","937,000"
09/02/2020,"0.520","0.530","0.520","0.520","647,000"
09/01/2020,"0.520","0.530","0.520","0.530","244,000"
08/28/2020,"0.530","0.530","0.520","0.520","276,000"
