Date,Open,High,Low,Close,Volume
12/31/2021,"35.30","36.70","34.60","36.70","9,961,600"
12/29/2021,"35.00","35.65","34.80","35.65","1,965,600"
12/28/2021,"35.50","35.80","35.05","35.05","3,250,000"
12/27/2021,"35.35","35.80","35.25","35.50","2,451,900"
12/24/2021,"35.30","35.40","35.00","35.25","951,800"
12/23/2021,"34.60","35.30","34.20","35.30","4,808,100"
12/22/2021,"34.65","35.05","33.95","34.00","9,664,700"
12/21/2021,"35.25","35.50","34.50","34.50","7,115,200"
12/20/2021,"35.00","35.90","34.80","34.90","7,096,400"
12/17/2021,"35.30","35.45","34.85","34.85","17,623,900"
12/16/2021,"35.35","35.85","34.85","35.30","10,427,100"
12/15/2021,"35.95","36.15","35.20","35.85","12,758,400"
12/14/2021,"37.00","37.00","35.55","36.00","7,300,000"
12/13/2021,"35.55","36.25","35.55","36.00","11,333,000"
12/10/2021,"35.60","35.70","35.35","35.55","3,836,600"
12/09/2021,"35.35","35.75","35.30","35.50","5,435,000"
12/07/2021,"35.55","35.80","35.00","35.80","5,915,800"
12/06/2021,"34.55","35.55","34.50","35.50","5,227,600"
12/03/2021,"34.30","35.00","34.30","34.50","6,380,500"
12/02/2021,"33.30","34.35","33.25","34.00","13,734,800"
12/01/2021,"34.65","35.10","33.20","33.20","21,744,600"
11/29/2021,"35.70","35.70","34.50","34.50","30,791,801"
11/26/2021,"36.60","37.00","36.00","36.20","14,954,700"
11/25/2021,"37.00","37.10","36.65","37.10","2,375,300"
11/24/2021,"36.75","37.30","36.55","36.90","3,789,000"
11/23/2021,"36.65","37.15","36.40","36.65","4,904,000"
11/22/2021,"37.15","37.15","36.65","37.10","4,135,900"
11/19/2021,"36.50","37.15","36.20","37.15","3,220,900"
11/18/2021,"36.20","36.90","36.00","36.50","4,821,200"
11/17/2021,"36.35","36.70","36.00","36.00","6,818,300"
11/16/2021,"37.00","37.00","36.10","36.30","10,307,600"
11/15/2021,"37.95","37.95","36.75","36.75","3,944,600"
11/12/2021,"36.95","37.95","36.90","37.95","5,741,400"
11/11/2021,"37.50","37.90","37.00","37.00","4,576,900"
11/10/2021,"38.05","38.10","37.25","38.00","5,095,200"
11/09/2021,"37.85","38.00","37.10","38.00","7,758,000"
11/08/2021,"37.50","38.05","37.50","37.80","4,966,900"
11/05/2021,"36.80","37.50","36.50","37.50","8,784,500"
