Date,Open,High,Low,Close,Volume
05/16/2025,"1.030","1.030","1.000","1.020","2,289,000"
05/15/2025,"1.010","1.020","1.000","1.020","346,000"
05/14/2025,"1.020","1.020","1.010","1.010","914,000"
05/13/2025,"1.000","1.030","1.000","1.030","724,000"
05/09/2025,"1.010","1.020","1.000","1.020","345,000"
05/08/2025,"1.010","1.020","1.010","1.020","1,091,000"
05/07/2025,"1.030","1.050","1.010","1.030","1,549,000"
05/06/2025,"1.030","1.040","1.030","1.040","1,128,000"
05/05/2025,"1.040","1.050","1.030","1.030","1,912,000"
05/02/2025,"1.050","1.050","1.040","1.040","46,000"
