Date,Open,High,Low,Close,Volume
2020-01-02,6.59,6.59,6.59,6.59,1300
2020-01-03,6.58,6.58,6.58,6.58,300
2020-01-06,6.58,6.58,6.3,6.3,35200
2020-01-07,6.5,6.5,6.2,6.25,21900
2020-01-08,6.39,6.39,6.39,6.39,1200
2020-01-09,6.4,6.4,6.4,6.4,1000
2020-01-14,6.4,6.4,6.21,6.4,57500
2020-01-15,6.4,6.4,6.3,6.35,32500
2020-01-16,6.39,6.39,6.39,6.39,300
2020-01-17,6.4,6.4,6.4,6.4,500
2020-01-21,6.22,6.38,6.21,6.38,3200
2020-01-23,6.39,6.39,6.39,6.39,1000
2020-01-27,6.22,6.22,6.22,6.22,1500
2020-01-28,6.25,6.25,6.25,6.25,70700
2020-01-29,6.38,6.38,6.18,6.18,16200
2020-01-30,6.2,6.2,6.0,6.0,57000
2020-01-31,6.37,6.37,6.24,6.24,3300
2020-02-03,6.01,6.01,6.0,6.0,40000
2020-02-04,6.0,6.0,6.0,6.0,42200
2020-02-05,6.0,6.0,6.0,6.0,202000
2020-02-06,6.2,6.2,6.01,6.2,333600
2020-02-07,6.2,6.2,6.1,6.1,21300
2020-02-11,6.04,6.35,6.03,6.05,130500
2020-02-12,6.05,6.1,6.05,6.1,51100
2020-02-13,6.2,6.2,6.2,6.2,3000
2020-02-18,6.1,6.19,6.1,6.19,18200
2020-02-20,6.1,6.1,6.1,6.1,2400
2020-02-21,6.1,6.1,6.1,6.1,14000
2020-02-24,6.11,6.35,6.11,6.35,200
2020-02-26,6.1,6.36,6.1,6.1,68300
2020-02-27,6.36,6.56,6.1,6.1,24600
2020-02-28,6.1,6.1,5.97,6.1,9000
2020-03-02,6.1,6.1,6.1,6.1,25000
2020-03-04,6.1,6.1,6.1,6.1,37200
2020-03-05,6.38,6.38,6.38,6.38,500
2020-03-06,6.12,6.12,6.1,6.1,32400
2020-03-09,6.1,6.1,6.1,6.1,31300
2020-03-10,6.1,6.71,6.1,6.4,40100
2020-03-11,6.7,6.7,6.7,6.7,100
2020-03-12,6.1,6.1,5.7,5.98,48400
2020-03-13,5.8,6.0,5.7,6.0,19400
2020-03-16,6.6,6.69,6.0,6.0,12300
2020-03-19,6.6,6.6,6.0,6.0,54100
2020-03-20,6.6,6.68,6.0,6.54,14100
2020-03-23,6.3,6.3,6.0,6.0,12200
2020-03-24,6.18,6.26,6.1,6.25,11800
2020-03-25,6.22,6.65,6.2,6.55,132600
2020-03-26,6.29,6.3,5.8,5.98,40700
2020-03-27,6.24,6.24,5.92,6.0,49100
2020-03-30,6.0,6.0,6.0,6.0,1800
2020-03-31,6.35,6.36,6.35,6.36,2000
2020-04-01,6.0,6.0,6.0,6.0,30500
2020-04-02,6.0,6.0,6.0,6.0,24800
2020-04-03,6.0,6.26,6.0,6.0,11000
2020-04-06,6.24,6.24,6.22,6.22,1500
2020-04-07,6.0,6.02,6.0,6.0,42100
2020-04-08,6.04,6.04,5.9,5.9,300
2020-04-13,5.93,5.93,5.93,5.93,1100
2020-04-14,6.1,6.1,6.0,6.1,15000
2020-04-16,6.17,6.17,5.96,5.96,3200
2020-04-20,6.1,6.1,6.0,6.0,39000
2020-04-22,6.0,6.0,5.93,6.0,17100
2020-04-23,6.0,6.0,6.0,6.0,33700
2020-04-24,6.0,6.0,5.97,5.97,23000
2020-04-27,6.04,6.05,5.97,6.0,45400
2020-04-28,6.0,6.0,5.97,6.0,11300
2020-04-29,6.0,6.08,6.0,6.0,6700
2020-04-30,6.09,6.1,5.97,6.1,2100
2020-05-04,6.0,6.0,6.0,6.0,3900
2020-05-06,6.08,6.08,6.08,6.08,200
2020-05-07,6.0,6.0,5.97,6.0,6300
2020-05-08,6.07,6.08,6.0,6.08,14200
2020-05-11,6.08,6.08,5.98,5.98,9100
2020-05-12,6.08,6.1,6.02,6.1,11700
2020-05-13,6.1,6.1,6.1,6.1,26700
2020-05-14,6.21,6.21,6.21,6.21,100
2020-05-18,6.0,6.0,5.98,6.0,4500
2020-05-19,6.0,6.0,5.98,5.98,10400
2020-05-20,6.0,6.05,6.0,6.05,29000
2020-05-21,6.05,6.05,5.98,6.0,64900
2020-05-22,6.2,6.2,6.0,6.0,12600
2020-05-26,6.19,6.19,6.19,6.19,1500
2020-05-27,6.0,6.0,6.0,6.0,12000
2020-05-29,6.2,6.2,6.0,6.0,16500
2020-06-01,6.2,6.2,6.2,6.2,1300
2020-06-02,6.2,6.2,6.2,6.2,2000
2020-06-04,6.01,6.2,6.01,6.2,3600
2020-06-05,6.2,6.2,6.2,6.2,12300
2020-06-08,6.03,6.2,6.03,6.03,10200
2020-06-09,6.21,6.21,6.21,6.21,8500
2020-06-10,6.21,6.23,6.2,6.21,12300
2020-06-11,6.22,6.23,6.2,6.23,5800
2020-06-15,6.21,6.23,6.2,6.2,7600
2020-06-16,6.2,6.2,6.2,6.2,3500
2020-06-17,6.2,6.23,6.2,6.23,3300
2020-06-18,6.2,6.22,6.2,6.22,2400
2020-06-19,6.22,6.22,6.2,6.2,116600
2020-06-23,6.2,6.2,6.2,6.2,17500
2020-06-24,6.2,6.2,6.2,6.2,3800
2020-06-25,6.22,6.22,6.13,6.21,3300
2020-06-29,6.14,6.22,6.14,6.15,9000
2020-06-30,6.22,6.22,6.22,6.22,100
2020-07-01,6.15,6.15,6.15,6.15,300
2020-07-02,6.15,6.15,6.15,6.15,9000
2020-07-03,6.15,6.15,6.15,6.15,2700
2020-07-06,6.1,6.15,6.1,6.15,4900
2020-07-07,6.22,6.22,6.22,6.22,1300
2020-07-08,6.16,6.22,6.0,6.22,45500
2020-07-10,6.2,6.2,6.2,6.2,7100
2020-07-13,6.03,6.03,6.03,6.03,3200
2020-07-14,6.23,6.23,6.23,6.23,200
2020-07-15,6.23,6.23,6.23,6.23,200
2020-07-17,6.23,6.25,6.23,6.25,1200
2020-07-21,6.25,6.25,6.25,6.25,1200
2020-07-22,6.1,6.24,6.06,6.06,1900
2020-07-23,6.24,6.24,6.24,6.24,200
2020-07-27,6.23,6.24,6.23,6.24,1500
2020-07-29,6.24,6.24,6.24,6.24,26900
2020-07-30,6.25,6.25,6.25,6.25,1500
2020-08-03,6.2,6.2,6.2,6.2,1800
2020-08-04,6.3,6.3,6.25,6.25,2400
2020-08-06,6.05,6.05,6.05,6.05,10000
2020-08-07,6.05,6.1,6.03,6.1,28700
2020-08-11,6.1,6.12,6.1,6.12,10800
2020-08-12,6.2,7.0,6.16,6.16,102100
2020-08-13,6.45,7.95,6.45,6.81,580400
2020-08-14,6.5,6.8,6.5,6.5,47700
2020-08-17,7.0,7.0,6.41,6.41,28000
2020-08-18,6.41,6.41,6.3,6.4,79100
2020-08-19,6.33,6.33,6.3,6.3,2900
2020-08-20,6.31,6.48,6.31,6.48,1100
2020-08-24,6.47,6.5,6.3,6.3,24900
2020-08-25,6.45,6.45,6.45,6.45,3100
2020-08-26,6.45,6.45,6.3,6.3,50700
2020-08-27,6.28,6.28,6.0,6.12,27800
2020-08-28,6.28,6.28,6.24,6.28,5000
2020-09-01,6.28,6.28,6.28,6.28,10000
2020-09-02,6.46,6.46,6.46,6.46,500
2020-09-03,6.44,6.44,6.21,6.21,12600
2020-09-04,6.18,6.47,6.18,6.47,2400
2020-09-07,6.47,6.48,6.47,6.48,12200
2020-09-08,6.47,6.47,6.47,6.47,800
2020-09-09,6.45,6.45,6.45,6.45,1600
2020-09-10,6.47,6.47,6.36,6.36,3400
2020-09-11,6.36,6.5,6.35,6.5,19200
2020-09-14,6.35,6.36,6.2,6.36,7100
2020-09-15,6.5,6.5,6.3,6.3,3400
2020-09-16,6.32,6.5,6.32,6.5,1300
2020-09-18,6.36,6.36,6.36,6.36,5000
2020-09-25,6.38,6.42,6.38,6.42,300
2020-09-29,6.45,6.45,6.38,6.38,8100
2020-10-01,6.6,6.79,6.6,6.79,3200
2020-10-05,6.4,6.4,6.35,6.35,78000
2020-10-06,6.36,6.36,6.36,6.36,700
2020-10-09,6.36,6.65,6.31,6.32,185200
2020-10-12,6.33,6.56,6.32,6.55,4500
2020-10-13,6.55,6.55,6.55,6.55,5100
2020-10-15,6.55,6.55,6.43,6.43,6500
2020-10-16,6.42,6.56,6.42,6.42,2100
2020-10-20,6.45,6.45,6.45,6.45,100
2020-10-21,6.56,6.56,6.56,6.56,2700
2020-10-22,6.56,6.56,6.36,6.36,14600
2020-10-23,6.3,6.3,6.3,6.3,900
2020-10-26,6.56,6.56,6.56,6.56,47800
2020-10-27,6.56,6.56,6.56,6.56,6600
2020-10-28,6.3,6.56,6.26,6.56,2300
2020-10-29,6.56,6.56,6.54,6.54,31000
2020-10-30,6.56,6.56,6.56,6.56,6600
2020-11-03,6.25,6.28,6.25,6.28,498700
2020-11-05,6.4,6.4,6.26,6.38,64700
2020-11-09,6.79,6.79,6.3,6.3,73000
2020-11-10,6.6,6.6,6.4,6.4,4800
2020-11-11,6.32,6.35,6.32,6.35,233800
2020-11-13,6.4,6.4,6.3,6.4,6300
2020-11-16,6.3,6.3,6.3,6.3,14800
2020-11-17,6.3,6.5,6.2,6.45,85000
2020-11-18,6.35,6.35,6.35,6.35,200
2020-11-19,6.41,6.41,6.37,6.37,16100
2020-11-20,6.49,6.55,6.38,6.39,18300
2020-11-23,6.6,6.6,6.6,6.6,16400
2020-11-24,6.4,8.5,6.4,6.6,911800
2020-11-25,6.61,6.61,6.24,6.25,75400
2020-11-26,6.27,6.5,6.27,6.38,32900
2020-11-27,6.38,6.38,6.3,6.3,30700
2020-12-01,6.3,6.4,6.3,6.39,20400
2020-12-02,6.39,6.39,6.35,6.39,52300
2020-12-03,6.5,6.5,6.5,6.5,35000
2020-12-04,6.4,6.84,6.4,6.4,1793500
2020-12-07,6.41,6.46,6.35,6.39,30100
2020-12-09,6.4,6.4,6.4,6.4,14100
2020-12-10,6.4,6.4,6.4,6.4,7000
2020-12-11,6.6,6.6,6.5,6.5,3300
2020-12-14,6.8,6.8,6.5,6.52,42300
2020-12-15,6.79,6.79,6.5,6.5,26400
2020-12-16,6.5,6.5,6.5,6.5,2300
2020-12-17,6.5,6.79,6.5,6.79,8000
2020-12-18,6.79,6.79,6.51,6.79,9100
2020-12-21,6.56,6.56,6.56,6.56,7000
2020-12-22,6.52,6.56,6.52,6.55,30600
2020-12-23,6.65,6.65,6.65,6.65,5200
2020-12-28,6.65,6.7,6.65,6.7,4000
2020-12-29,6.55,6.6,6.55,6.6,38600
2021-01-04,6.6,6.6,6.6,6.6,3800
2021-01-05,6.6,6.77,6.58,6.58,9900
2021-01-06,6.6,6.6,6.6,6.6,8200
2021-01-07,6.6,6.6,6.55,6.58,15800
2021-01-08,6.5,6.78,6.5,6.78,3700
2021-01-11,6.78,6.78,6.77,6.77,3700
2021-01-12,6.77,6.77,6.52,6.77,4900
2021-01-13,6.76,6.78,6.76,6.78,14100
2021-01-14,6.76,6.78,6.6,6.78,13400
2021-01-18,6.78,6.78,6.55,6.55,7600
2021-01-19,6.78,6.8,6.78,6.8,28000
2021-01-20,6.85,6.85,6.84,6.84,500
2021-01-21,6.65,6.85,6.65,6.85,13200
2021-01-22,6.85,6.85,6.85,6.85,1100
2021-01-25,6.85,6.95,6.85,6.95,14900
2021-01-26,6.88,6.94,6.62,6.94,3400
2021-01-28,6.92,6.95,6.58,6.58,25000
2021-01-29,6.58,6.6,6.58,6.6,2300
2021-02-01,6.6,6.95,6.6,6.95,77600
2021-02-02,6.9,6.9,6.9,6.9,17000
2021-02-03,6.7,6.7,6.7,6.7,18100
2021-02-04,6.71,6.71,6.71,6.71,3400
2021-02-05,6.94,6.94,6.93,6.93,3600
2021-02-08,6.93,6.93,6.7,6.7,23800
2021-02-09,6.71,6.73,6.71,6.73,2600
2021-02-11,6.9,6.9,6.73,6.73,19400
2021-02-15,7.0,7.1,7.0,7.1,68300
2021-02-16,7.1,7.1,7.1,7.1,100
2021-02-17,7.09,7.1,7.01,7.01,20600
2021-02-18,7.29,7.8,7.18,7.44,232800
2021-02-19,7.43,7.44,7.1,7.41,22100
2021-02-22,7.41,7.42,7.38,7.39,36100
2021-02-23,7.39,7.39,7.21,7.37,33400
2021-02-24,7.35,7.37,7.35,7.35,69300
2021-02-26,7.35,7.4,7.35,7.35,36900
2021-03-01,7.35,7.4,7.2,7.4,668400
2021-03-02,7.42,7.5,7.36,7.4,41000
2021-03-03,7.37,7.4,7.37,7.37,72300
2021-03-04,7.37,7.4,7.37,7.4,28000
2021-03-05,7.2,7.6,7.2,7.4,88700
2021-03-08,7.3,7.45,7.3,7.35,148900
2021-03-09,7.4,7.4,7.2,7.31,81500
2021-03-10,7.4,7.45,7.32,7.45,72700
2021-03-11,7.45,7.76,7.45,7.45,195900
2021-03-12,7.18,7.18,6.0,6.6,336900
2021-03-15,6.65,6.65,6.5,6.6,31800
2021-03-16,6.6,6.6,6.52,6.52,23700
2021-03-17,6.5,6.62,6.49,6.62,6000
2021-03-18,6.61,6.61,6.48,6.48,7200
2021-03-19,6.65,6.65,6.47,6.48,10300
2021-03-22,6.42,6.5,6.4,6.5,30300
2021-03-23,6.65,6.99,6.5,6.99,17400
2021-03-24,6.76,6.76,6.51,6.51,6200
2021-03-25,6.43,6.86,6.42,6.7,13200
2021-03-26,6.7,6.7,6.6,6.6,3600
2021-03-29,6.5,6.6,6.4,6.54,23000
2021-03-30,6.4,6.53,6.4,6.53,40900
2021-03-31,6.42,6.54,6.41,6.54,5100
2021-04-05,6.5,6.6,6.37,6.6,8900
2021-04-06,6.6,6.7,6.42,6.69,13800
2021-04-12,6.67,6.67,6.6,6.6,7000
2021-04-13,6.77,6.77,6.6,6.68,11800
