Date,Open,High,Low,Close,Volume
2020-01-02,33.5,34.8,33.5,33.9,730500
2020-01-03,34.0,35.9,34.0,34.95,1961100
2020-01-06,34.9,35.0,34.0,35.0,315500
2020-01-07,34.9,34.9,34.4,34.65,608100
2020-01-08,34.7,35.35,34.0,34.5,749900
2020-01-09,34.15,34.5,34.0,34.3,1783200
2020-01-10,34.4,34.4,34.0,34.25,1265600
2020-01-14,34.25,34.35,33.5,33.8,1659500
2020-01-15,33.8,33.8,32.4,32.5,2341200
2020-01-16,33.45,33.45,32.3,33.2,1078400
2020-01-17,33.0,33.1,32.5,32.55,1190500
2020-01-20,33.0,33.0,32.55,32.75,511700
2020-01-21,32.85,32.85,32.5,32.65,646400
2020-01-22,32.5,32.65,32.5,32.55,1132600
2020-01-23,32.75,33.2,32.45,33.2,2464600
2020-01-24,33.2,33.3,32.55,33.3,916300
2020-01-27,33.0,33.3,32.95,33.2,278700
2020-01-28,33.15,33.15,32.5,32.65,1430900
2020-01-29,32.65,32.85,32.05,32.75,641000
2020-01-30,32.75,33.3,32.6,33.25,610100
2020-01-31,33.25,33.25,32.1,32.35,1491800
2020-02-03,32.3,32.85,32.0,32.0,1310900
2020-02-04,32.4,32.9,31.95,31.95,877500
2020-02-05,32.05,32.7,32.05,32.3,740200
2020-02-06,32.3,33.2,32.3,33.0,853100
2020-02-07,32.75,33.15,32.7,33.0,514200
2020-02-10,33.3,33.3,31.7,31.7,1371600
2020-02-11,31.75,32.7,31.65,32.7,476200
2020-02-12,32.3,32.4,32.05,32.2,690400
2020-02-13,32.2,32.55,31.8,32.4,665300
2020-02-14,32.4,32.7,32.0,32.0,931900
2020-02-17,32.0,32.55,31.7,31.7,121100
2020-02-18,32.15,32.2,31.6,31.6,2338500
2020-02-19,31.9,32.2,31.6,32.2,1317600
2020-02-20,32.2,32.3,31.95,32.15,340100
2020-02-21,32.15,32.4,31.7,31.7,475600
2020-02-24,31.7,31.75,31.0,31.7,844100
2020-02-26,30.6,30.6,28.15,29.1,3452000
2020-02-27,29.1,30.35,28.4,28.4,2104700
2020-02-28,28.3,28.3,27.2,27.5,4128100
2020-03-02,27.5,28.4,26.2,26.2,2562500
2020-03-03,27.0,27.9,26.85,27.0,2303200
2020-03-04,27.3,27.95,27.0,27.5,2257300
2020-03-05,28.3,28.3,27.3,27.4,2480700
2020-03-06,27.5,27.8,27.1,27.5,480300
2020-03-09,26.8,27.0,25.5,26.1,1233000
2020-03-10,26.1,26.6,25.9,26.3,1978900
2020-03-11,26.6,26.85,26.0,26.5,1902100
2020-03-12,26.05,26.05,24.9,25.2,3060800
2020-03-13,24.95,27.0,22.25,25.2,5300400
2020-03-16,25.2,27.05,24.0,25.5,3282700
2020-03-19,23.0,26.0,20.15,24.0,3398800
2020-03-20,24.2,24.8,22.9,24.0,2030700
2020-03-23,23.9,25.1,20.5,25.1,2651200
2020-03-24,24.95,25.0,23.45,23.45,1342200
2020-03-25,24.9,26.5,24.5,26.5,3905700
2020-03-26,26.5,30.0,25.95,30.0,2772300
2020-03-27,30.0,30.0,26.0,26.0,4575800
2020-03-30,26.45,26.5,24.0,24.05,2284200
2020-03-31,25.05,27.05,25.0,26.3,2883100
2020-04-01,26.0,29.0,25.3,28.0,2314000
2020-04-02,27.9,27.95,26.6,27.0,2089300
2020-04-03,27.45,28.3,27.0,28.2,681400
2020-04-06,28.2,28.85,28.05,28.5,1724600
2020-04-07,28.95,29.3,28.05,28.9,3048800
2020-04-08,28.0,28.2,27.0,27.25,2476700
2020-04-13,27.5,27.95,27.25,27.55,1091700
2020-04-14,28.0,28.05,27.5,27.7,1923300
2020-04-15,27.75,28.0,27.7,28.0,2042800
2020-04-16,27.8,27.85,25.9,25.9,1939200
2020-04-17,26.2,27.25,26.15,26.8,2980600
2020-04-20,27.15,27.15,26.2,26.6,1017800
2020-04-21,26.8,26.8,26.0,26.0,816600
2020-04-22,26.45,27.35,25.7,27.35,1684500
2020-04-23,27.35,27.4,26.7,27.0,1063200
2020-04-24,27.4,27.4,26.35,26.55,883500
2020-04-27,26.55,27.2,26.05,27.2,512200
2020-04-28,27.15,27.45,27.0,27.05,353000
2020-04-29,27.05,27.5,27.0,27.5,628500
2020-04-30,27.4,27.85,27.2,27.4,1605400
2020-05-04,27.4,27.4,26.05,26.2,953800
2020-05-05,26.2,26.65,26.05,26.05,944100
2020-05-06,26.15,26.25,25.5,25.5,2495600
2020-05-07,25.5,26.35,25.5,26.3,1432100
2020-05-08,26.2,26.7,26.0,26.5,1641100
2020-05-11,26.7,27.0,26.6,26.7,706400
2020-05-12,26.95,27.0,26.1,26.25,1192500
2020-05-13,26.8,26.8,26.2,26.2,890300
2020-05-14,26.25,26.5,26.05,26.5,640900
2020-05-15,26.5,26.5,25.65,25.65,1663500
2020-05-18,25.7,25.8,25.55,25.8,775800
2020-05-19,26.0,26.25,24.6,26.0,2135500
2020-05-20,26.1,26.1,25.5,26.0,1080400
2020-05-21,26.05,26.35,25.55,26.2,983700
2020-05-22,26.0,26.7,25.8,26.5,864900
2020-05-26,26.5,26.8,25.6,26.8,760500
2020-05-27,26.8,26.8,26.0,26.6,332600
2020-05-28,26.3,26.6,26.1,26.3,413900
2020-05-29,26.6,27.8,26.15,27.8,3151400
2020-06-01,27.8,28.45,27.2,28.0,1656600
2020-06-02,28.45,29.3,28.4,29.3,3744400
2020-06-03,29.45,30.0,28.6,30.0,2171500
2020-06-04,30.0,30.35,29.35,29.8,1211500
2020-06-05,30.0,30.0,28.0,29.0,1764800
2020-06-08,29.0,29.5,28.55,28.75,1544000
2020-06-09,28.7,29.0,28.5,28.8,1523200
2020-06-10,28.9,29.0,27.9,28.25,936900
2020-06-11,28.85,28.9,28.0,28.9,882200
2020-06-15,28.5,28.5,27.2,27.2,868400
2020-06-16,27.2,28.1,27.2,28.0,523200
2020-06-17,28.1,28.1,27.5,27.5,814500
2020-06-18,27.8,28.0,27.5,28.0,485300
2020-06-19,28.0,28.3,27.45,27.8,1864900
2020-06-22,27.8,28.4,27.5,28.4,592600
2020-06-23,28.4,28.4,27.6,28.0,332100
2020-06-24,28.25,28.25,26.7,26.7,1785500
2020-06-25,27.0,27.0,26.55,26.95,686800
2020-06-26,27.5,27.7,26.5,27.3,430300
2020-06-29,27.25,27.45,26.3,27.4,779800
2020-06-30,27.05,27.4,26.65,27.0,710900
2020-07-01,27.1,27.2,26.5,27.2,318800
2020-07-02,27.3,28.0,26.65,28.0,1415400
2020-07-03,28.0,28.0,27.7,27.7,295400
2020-07-06,27.85,28.0,27.3,28.0,345000
2020-07-07,28.0,28.75,27.95,28.25,2222400
2020-07-08,28.65,28.65,26.85,28.1,751900
2020-07-09,28.0,28.0,26.75,27.0,1077200
2020-07-10,27.0,27.25,26.7,26.85,493200
2020-07-13,26.85,27.0,26.55,26.55,532800
2020-07-14,26.55,26.55,26.25,26.35,2053500
2020-07-15,26.5,26.9,25.6,25.8,828700
2020-07-16,25.8,26.5,25.8,26.5,724400
2020-07-17,26.45,27.0,26.0,27.0,793600
2020-07-20,27.0,27.0,26.0,26.9,630900
2020-07-21,26.9,26.9,26.5,26.9,597600
2020-07-22,26.75,27.0,26.6,26.6,974200
2020-07-23,26.8,26.8,25.85,26.5,330700
2020-07-24,26.6,26.6,25.55,25.9,701800
2020-07-27,25.55,25.9,25.1,25.9,781200
2020-07-28,25.9,26.1,25.5,25.95,811700
2020-07-29,25.9,26.0,25.4,25.7,671800
