Date,Open,High,Low,Close,Volume
2020-01-02,0.39,0.39,0.385,0.385,530000
2020-01-03,0.385,0.415,0.385,0.415,1580000
2020-01-06,0.41,0.41,0.4,0.41,740000
2020-01-07,0.41,0.41,0.4,0.4,600000
2020-01-08,0.41,0.42,0.41,0.41,340000
2020-01-09,0.4,0.4,0.395,0.4,1290000
2020-01-10,0.405,0.405,0.4,0.405,800000
2020-01-14,0.405,0.41,0.4,0.4,960000
2020-01-15,0.41,0.41,0.4,0.405,390000
2020-01-16,0.41,0.43,0.405,0.41,2070000
2020-01-17,0.425,0.43,0.42,0.42,1020000
2020-01-20,0.42,0.42,0.405,0.405,750000
2020-01-21,0.405,0.435,0.4,0.425,5530000
2020-01-22,0.425,0.445,0.42,0.445,2770000
2020-01-23,0.46,0.465,0.445,0.45,5500000
2020-01-24,0.46,0.465,0.425,0.44,2560000
2020-01-27,0.435,0.435,0.41,0.42,1760000
2020-01-28,0.415,0.425,0.41,0.42,1980000
2020-01-29,0.42,0.42,0.42,0.42,490000
2020-01-30,0.42,0.425,0.415,0.425,1330000
2020-01-31,0.415,0.43,0.395,0.4,2400000
2020-02-03,0.395,0.405,0.39,0.39,2100000
2020-02-04,0.39,0.39,0.39,0.39,1600000
2020-02-05,0.39,0.39,0.38,0.38,2820000
2020-02-06,0.375,0.405,0.375,0.39,1970000
2020-02-07,0.39,0.39,0.385,0.39,1720000
2020-02-10,0.39,0.4,0.39,0.395,340000
2020-02-11,0.4,0.41,0.395,0.4,420000
2020-02-12,0.39,0.405,0.39,0.4,460000
2020-02-13,0.4,0.4,0.375,0.38,2190000
2020-02-14,0.38,0.395,0.38,0.39,730000
2020-02-17,0.39,0.405,0.39,0.395,1450000
2020-02-18,0.395,0.395,0.39,0.39,810000
2020-02-19,0.39,0.39,0.39,0.39,130000
2020-02-20,0.395,0.4,0.39,0.395,460000
2020-02-21,0.39,0.405,0.39,0.405,840000
2020-02-24,0.405,0.405,0.39,0.4,1120000
2020-02-26,0.385,0.39,0.375,0.39,1340000
2020-02-27,0.4,0.43,0.39,0.42,18060000
2020-02-28,0.42,0.435,0.4,0.4,11460000
2020-03-02,0.4,0.4,0.37,0.395,4990000
2020-03-03,0.395,0.43,0.39,0.405,16780000
2020-03-04,0.41,0.43,0.4,0.4,11020000
2020-03-05,0.4,0.42,0.4,0.42,4000000
2020-03-06,0.42,0.425,0.4,0.41,1440000
2020-03-09,0.4,0.405,0.37,0.375,4680000
2020-03-10,0.375,0.385,0.37,0.385,3050000
2020-03-11,0.38,0.38,0.37,0.375,990000
2020-03-12,0.38,0.38,0.32,0.33,6010000
2020-03-13,0.32,0.33,0.3,0.31,1030000
2020-03-16,0.31,0.35,0.31,0.35,60000
2020-03-19,0.31,0.34,0.27,0.27,1090000
2020-03-20,0.29,0.34,0.29,0.31,480000
2020-03-23,0.31,0.31,0.28,0.28,250000
2020-03-24,0.28,0.28,0.27,0.27,5640000
2020-03-25,0.29,0.29,0.25,0.26,5260000
2020-03-26,0.26,0.27,0.25,0.255,7110000
2020-03-27,0.265,0.27,0.245,0.245,3910000
2020-03-30,0.255,0.255,0.24,0.245,610000
2020-03-31,0.245,0.245,0.245,0.245,210000
2020-04-01,0.246,0.255,0.246,0.255,830000
2020-04-02,0.25,0.265,0.25,0.265,1620000
2020-04-03,0.265,0.275,0.265,0.275,500000
2020-04-06,0.275,0.275,0.27,0.275,600000
2020-04-07,0.27,0.295,0.27,0.275,1360000
2020-04-08,0.28,0.29,0.28,0.285,440000
2020-04-13,0.3,0.3,0.29,0.29,830000
2020-04-14,0.29,0.35,0.29,0.3,1440000
