Date,Open,High,Low,Close,Volume
2020-01-02,0.042,0.042,0.042,0.042,6800000
2020-01-03,0.042,0.042,0.042,0.042,2000000
2020-01-06,0.042,0.043,0.042,0.043,4900000
2020-01-07,0.043,0.043,0.043,0.043,1400000
2020-01-08,0.043,0.044,0.043,0.043,6500000
2020-01-09,0.042,0.046,0.042,0.046,29300000
2020-01-10,0.046,0.046,0.046,0.046,4200000
2020-01-14,0.045,0.047,0.045,0.045,8000000
2020-01-15,0.045,0.047,0.045,0.047,8700000
2020-01-16,0.046,0.047,0.045,0.045,16000000
2020-01-17,0.045,0.047,0.045,0.046,16500000
2020-01-20,0.045,0.047,0.044,0.046,6500000
2020-01-21,0.046,0.046,0.045,0.046,6600000
2020-01-22,0.046,0.049,0.046,0.048,48700000
2020-01-23,0.048,0.048,0.045,0.047,9000000
2020-01-24,0.044,0.047,0.044,0.047,10100000
2020-01-27,0.046,0.047,0.045,0.047,15900000
2020-01-28,0.047,0.05,0.047,0.049,89600000
2020-01-29,0.05,0.05,0.048,0.05,23600000
2020-01-30,0.05,0.05,0.048,0.049,47620000
2020-01-31,0.048,0.05,0.047,0.049,99900000
2020-02-03,0.045,0.049,0.045,0.049,1000000
2020-02-04,0.05,0.05,0.047,0.049,8100000
2020-02-05,0.049,0.049,0.047,0.048,5400000
2020-02-06,0.049,0.049,0.047,0.049,11500000
2020-02-10,0.047,0.048,0.045,0.048,7500000
2020-02-11,0.048,0.048,0.046,0.048,5300000
2020-02-12,0.048,0.049,0.047,0.049,6100000
2020-02-13,0.048,0.048,0.047,0.048,1800000
2020-02-14,0.049,0.049,0.047,0.048,4300000
2020-02-17,0.048,0.049,0.047,0.048,5900000
2020-02-18,0.048,0.049,0.047,0.048,5000000
2020-02-19,0.047,0.047,0.047,0.047,4700000
2020-02-20,0.047,0.047,0.047,0.047,1600000
2020-02-21,0.047,0.047,0.047,0.047,3200000
2020-02-24,0.047,0.048,0.043,0.046,5900000
2020-02-26,0.047,0.047,0.047,0.047,1000000
2020-02-27,0.044,0.046,0.043,0.046,2500000
2020-03-02,0.043,0.045,0.042,0.045,6500000
2020-03-03,0.044,0.045,0.044,0.045,700000
2020-03-04,0.045,0.046,0.044,0.046,3200000
2020-03-05,0.046,0.046,0.045,0.046,700000
2020-03-06,0.046,0.046,0.045,0.045,5800000
2020-03-09,0.046,0.046,0.043,0.044,11300000
2020-03-10,0.042,0.042,0.041,0.042,11600000
2020-03-11,0.044,0.046,0.044,0.046,3800000
2020-03-12,0.039,0.039,0.037,0.039,33900000
2020-03-13,0.037,0.043,0.037,0.04,4100000
2020-03-16,0.034,0.041,0.034,0.041,200000
2020-03-19,0.04,0.041,0.04,0.04,1700000
2020-03-20,0.034,0.04,0.034,0.04,3000000
2020-03-23,0.04,0.04,0.039,0.039,4300000
2020-03-24,0.032,0.039,0.032,0.039,500000
2020-03-25,0.035,0.039,0.035,0.039,3000000
2020-03-26,0.034,0.039,0.034,0.039,1700000
2020-03-27,0.039,0.039,0.037,0.039,7600000
2020-03-30,0.036,0.038,0.034,0.038,3600000
2020-03-31,0.039,0.04,0.038,0.039,10200000
2020-04-01,0.04,0.04,0.038,0.039,2900000
2020-04-02,0.038,0.039,0.038,0.039,1500000
2020-04-06,0.038,0.039,0.038,0.038,22600000
2020-04-07,0.038,0.039,0.037,0.039,4300000
2020-04-08,0.038,0.039,0.038,0.038,3300000
2020-04-13,0.04,0.04,0.038,0.038,5400000
2020-04-14,0.038,0.041,0.038,0.041,11100000
2020-04-15,0.04,0.04,0.04,0.04,4700000
2020-04-16,0.04,0.04,0.04,0.04,100000
2020-04-17,0.04,0.04,0.039,0.039,4500000
2020-04-20,0.04,0.04,0.04,0.04,600000
2020-04-21,0.038,0.039,0.037,0.039,8400000
2020-04-22,0.037,0.039,0.037,0.038,8800000
2020-04-23,0.039,0.039,0.039,0.039,500000
2020-04-24,0.039,0.039,0.038,0.039,1500000
2020-04-27,0.037,0.039,0.036,0.036,10900000
2020-04-28,0.039,0.041,0.039,0.041,31500000
2020-04-29,0.042,0.042,0.04,0.042,17700000
2020-04-30,0.043,0.044,0.041,0.043,31200000
2020-05-04,0.042,0.042,0.038,0.04,32800000
2020-05-05,0.039,0.041,0.039,0.041,19900000
2020-05-06,0.04,0.04,0.04,0.04,6600000
2020-05-07,0.04,0.04,0.04,0.04,1700000
2020-05-08,0.04,0.04,0.039,0.04,2800000
2020-05-11,0.04,0.042,0.04,0.042,7200000
2020-05-13,0.04,0.041,0.04,0.041,13700000
2020-05-15,0.04,0.042,0.04,0.042,1200000
2020-05-26,0.04,0.04,0.039,0.04,5400000
2020-05-27,0.038,0.04,0.038,0.04,7600000
2020-05-29,0.04,0.041,0.04,0.041,8100000
2020-06-01,0.042,0.049,0.042,0.049,54900000
2020-06-02,0.049,0.049,0.045,0.049,20600000
2020-06-03,0.049,0.051,0.047,0.049,42500000
2020-06-04,0.05,0.054,0.05,0.052,85400000
2020-06-05,0.052,0.06,0.047,0.055,142610000
2020-06-08,0.057,0.057,0.054,0.056,44890000
2020-06-09,0.057,0.059,0.055,0.055,43930000
2020-06-10,0.056,0.056,0.054,0.055,4740000
2020-06-11,0.055,0.057,0.053,0.055,30960000
2020-06-15,0.055,0.055,0.05,0.054,34740000
2020-06-16,0.05,0.055,0.05,0.054,29920000
2020-06-17,0.054,0.055,0.052,0.055,22570000
2020-06-18,0.053,0.054,0.052,0.054,13380000
2020-06-19,0.054,0.054,0.052,0.052,11240000
2020-06-22,0.052,0.052,0.05,0.051,17530000
2020-06-23,0.051,0.053,0.049,0.049,24310000
2020-06-24,0.05,0.05,0.049,0.05,10000000
2020-06-25,0.054,0.054,0.05,0.05,2630000
2020-06-26,0.049,0.05,0.048,0.05,4150000
2020-06-29,0.052,0.053,0.052,0.052,22020000
2020-06-30,0.053,0.053,0.05,0.052,10420000
2020-07-01,0.05,0.052,0.048,0.052,7610000
2020-07-02,0.051,0.051,0.051,0.051,2000000
2020-07-03,0.05,0.052,0.05,0.052,2960000
2020-07-06,0.051,0.051,0.05,0.051,9430000
2020-07-07,0.049,0.051,0.049,0.051,7470000
2020-07-08,0.052,0.052,0.05,0.052,7610000
2020-07-09,0.051,0.052,0.05,0.052,13340000
2020-07-10,0.052,0.052,0.052,0.052,1170000
2020-07-13,0.052,0.052,0.05,0.052,7700000
2020-07-14,0.05,0.052,0.05,0.052,2120000
2020-07-15,0.05,0.052,0.049,0.051,19270000
2020-07-16,0.051,0.052,0.05,0.05,6940000
2020-07-17,0.051,0.052,0.05,0.052,3250000
2020-07-20,0.051,0.052,0.05,0.051,4180000
2020-07-21,0.052,0.052,0.049,0.051,4350000
2020-07-22,0.052,0.052,0.049,0.05,9960000
2020-07-23,0.051,0.051,0.049,0.05,6260000
2020-07-24,0.049,0.05,0.049,0.05,30000
2020-07-27,0.049,0.05,0.049,0.05,4920000
2020-07-28,0.049,0.05,0.046,0.048,4620000
2020-07-29,0.048,0.049,0.048,0.049,600000
2020-07-30,0.049,0.049,0.047,0.049,12800000
2020-08-03,0.046,0.05,0.046,0.05,1100000
2020-08-04,0.049,0.049,0.046,0.049,3140000
2020-08-05,0.049,0.052,0.047,0.052,9400000
2020-08-06,0.051,0.052,0.05,0.052,8390000
2020-08-07,0.051,0.051,0.05,0.051,14900000
2020-08-10,0.05,0.051,0.049,0.051,7310000
2020-08-11,0.049,0.052,0.047,0.052,25880000
2020-08-12,0.05,0.052,0.05,0.052,2020000
2020-08-13,0.05,0.051,0.05,0.051,390000
2020-08-14,0.051,0.051,0.05,0.051,450000
2020-08-17,0.051,0.051,0.05,0.051,1030000
2020-08-18,0.051,0.055,0.05,0.053,159180000
2020-08-19,0.053,0.054,0.051,0.054,68010000
2020-08-20,0.054,0.054,0.052,0.054,7930000
2020-08-24,0.054,0.054,0.052,0.053,2440000
2020-08-25,0.052,0.053,0.052,0.053,24910000
2020-08-26,0.052,0.053,0.052,0.053,3990000
2020-08-27,0.052,0.053,0.052,0.053,4530000
2020-08-28,0.052,0.053,0.051,0.053,9070000
2020-09-01,0.052,0.053,0.051,0.053,6840000
2020-09-02,0.053,0.053,0.051,0.053,6720000
2020-09-03,0.052,0.053,0.051,0.053,4530000
2020-09-04,0.052,0.053,0.052,0.053,13170000
2020-09-07,0.051,0.058,0.051,0.058,916019938
2020-09-08,0.058,0.06,0.056,0.056,254650000
2020-09-09,0.056,0.058,0.055,0.057,61410000
2020-09-10,0.057,0.058,0.055,0.058,20360000
2020-09-11,0.057,0.058,0.056,0.058,6780000
2020-09-14,0.058,0.058,0.056,0.056,45480000
2020-09-15,0.057,0.058,0.055,0.055,21930000
2020-09-16,0.055,0.058,0.055,0.056,14910000
2020-09-17,0.055,0.06,0.055,0.058,218300000
2020-09-18,0.058,0.058,0.056,0.058,40330000
2020-09-21,0.059,0.059,0.055,0.058,22330000
2020-09-22,0.057,0.058,0.055,0.057,32520000
2020-09-23,0.057,0.057,0.055,0.057,22050000
2020-09-24,0.056,0.057,0.056,0.056,21820000
2020-09-25,0.056,0.057,0.055,0.057,14280000
2020-09-28,0.057,0.057,0.056,0.057,22650000
2020-09-29,0.056,0.057,0.055,0.057,33850000
2020-09-30,0.057,0.058,0.057,0.057,64650000
2020-10-01,0.058,0.062,0.058,0.061,335860000
2020-10-02,0.061,0.063,0.06,0.063,196580000
2020-10-05,0.063,0.065,0.061,0.061,465300000
2020-10-06,0.062,0.063,0.061,0.062,100400000
2020-10-07,0.061,0.063,0.06,0.061,92890000
2020-10-08,0.061,0.063,0.06,0.062,54240000
2020-10-09,0.062,0.062,0.055,0.055,247420000
2020-10-12,0.056,0.058,0.055,0.055,103480000
2020-10-13,0.056,0.058,0.055,0.057,76900000
2020-10-14,0.056,0.057,0.054,0.056,70800000
2020-10-15,0.056,0.057,0.054,0.056,44160000
2020-10-16,0.056,0.056,0.052,0.054,74700000
2020-10-19,0.054,0.054,0.052,0.053,52260000
2020-10-20,0.053,0.053,0.051,0.053,64490000
2020-10-21,0.053,0.055,0.051,0.055,89870000
2020-10-22,0.055,0.056,0.053,0.054,39070000
2020-10-23,0.054,0.055,0.053,0.054,21990000
2020-10-26,0.053,0.055,0.053,0.054,13470000
2020-10-27,0.054,0.055,0.052,0.054,6110000
2020-10-28,0.054,0.055,0.053,0.054,6350000
2020-10-29,0.054,0.054,0.051,0.053,64410000
2020-10-30,0.052,0.053,0.05,0.052,80050000
2020-11-03,0.052,0.053,0.051,0.052,17710000
2020-11-04,0.051,0.053,0.05,0.053,26920000
2020-11-05,0.053,0.053,0.051,0.052,21590000
2020-11-06,0.051,0.053,0.051,0.053,34570000
2020-11-09,0.053,0.053,0.051,0.052,23560000
2020-11-10,0.052,0.053,0.051,0.052,9580000
2020-11-11,0.052,0.052,0.051,0.052,21490000
2020-11-13,0.051,0.052,0.051,0.052,12850000
2020-11-16,0.052,0.052,0.051,0.051,14850000
2020-11-17,0.05,0.052,0.05,0.052,50300000
2020-11-18,0.052,0.055,0.051,0.054,118070000
2020-11-19,0.053,0.054,0.052,0.053,42420000
2020-11-20,0.053,0.053,0.051,0.053,45450000
2020-11-23,0.053,0.053,0.051,0.052,38540000
2020-11-24,0.051,0.053,0.05,0.051,40420000
2020-11-25,0.052,0.055,0.052,0.053,84900000
2020-11-26,0.054,0.054,0.052,0.053,31810000
2020-11-27,0.053,0.053,0.051,0.052,56490000
2020-12-01,0.052,0.053,0.05,0.052,32500000
2020-12-02,0.052,0.053,0.05,0.052,95540000
2020-12-03,0.051,0.053,0.051,0.053,72390000
2020-12-04,0.053,0.055,0.052,0.055,136370000
2020-12-07,0.055,0.059,0.054,0.058,389420000
2020-12-09,0.06,0.069,0.06,0.067,1289280000
2020-12-10,0.069,0.078,0.069,0.076,1525729900
2020-12-11,0.08,0.081,0.073,0.075,1140710000
2020-12-14,0.074,0.078,0.072,0.073,486470031
2020-12-15,0.073,0.091,0.073,0.091,2012860000
2020-12-16,0.092,0.097,0.087,0.091,2223520000
2020-12-17,0.09,0.096,0.087,0.09,1137360000
2020-12-18,0.091,0.095,0.089,0.09,608659938
2020-12-21,0.091,0.102,0.091,0.097,1534580000
2020-12-22,0.099,0.102,0.092,0.097,955930000
2020-12-23,0.097,0.102,0.095,0.102,683670000
2020-12-28,0.104,0.138,0.103,0.125,4080690000
2020-12-29,0.129,0.144,0.124,0.128,3239380000
2021-01-04,0.138,0.163,0.133,0.163,2648830000
2021-01-05,0.18,0.204,0.163,0.167,4952760000
2021-01-06,0.18,0.184,0.15,0.179,2760910000
2021-01-07,0.183,0.193,0.177,0.192,1858529900
2021-01-08,0.195,0.202,0.188,0.201,2368210000
2021-01-11,0.21,0.26,0.207,0.26,2877580200
2021-01-12,0.28,0.285,0.246,0.249,3940899800
2021-01-13,0.24,0.265,0.225,0.235,4156460000
2021-01-14,0.23,0.28,0.216,0.28,3083150000
2021-01-15,0.3,0.33,0.29,0.3,3841170000
2021-01-18,0.32,0.32,0.29,0.305,1958890000
2021-01-19,0.32,0.38,0.3,0.365,3925610000
2021-01-20,0.39,0.475,0.375,0.43,3500030000
2021-01-21,0.44,0.455,0.305,0.345,6229980000
2021-01-22,0.3,0.355,0.246,0.32,5168930000
2021-01-25,0.33,0.345,0.28,0.28,3596370000
2021-01-26,0.25,0.255,0.196,0.197,7521110500
2021-01-27,0.17,0.249,0.169,0.248,7010079500
2021-01-28,0.24,0.255,0.199,0.199,4835810000
2021-01-29,0.196,0.208,0.18,0.194,2953790000
2021-02-01,0.229,0.238,0.206,0.217,4531010000
2021-02-02,0.228,0.233,0.2,0.2,3444850000
2021-02-03,0.2,0.214,0.19,0.212,2811640000
2021-02-04,0.217,0.22,0.202,0.209,1037610000
2021-02-05,0.205,0.207,0.197,0.203,1228760100
2021-02-08,0.201,0.215,0.197,0.213,1391340000
2021-02-09,0.213,0.25,0.204,0.25,3931070000
2021-02-10,0.255,0.265,0.236,0.236,3080060200
2021-02-11,0.238,0.246,0.228,0.239,1656280100
2021-02-15,0.241,0.245,0.234,0.237,990620062
2021-02-16,0.238,0.244,0.233,0.243,849720000
2021-02-17,0.243,0.27,0.242,0.265,2679570000
2021-02-18,0.265,0.29,0.26,0.285,2928970000
2021-02-19,0.29,0.295,0.27,0.275,1551270100
2021-02-22,0.28,0.285,0.27,0.27,733480000
2021-02-23,0.265,0.28,0.25,0.275,1633479900
2021-02-24,0.27,0.275,0.235,0.255,2042929900
2021-02-26,0.245,0.26,0.24,0.255,647090000
2021-03-01,0.255,0.26,0.25,0.255,465020000
2021-03-02,0.255,0.255,0.246,0.249,518470031
2021-03-03,0.249,0.27,0.241,0.265,1471950100
2021-03-04,0.265,0.27,0.25,0.255,642220062
2021-03-05,0.255,0.265,0.25,0.255,508100000
2021-03-08,0.25,0.25,0.211,0.223,2530590200
2021-03-09,0.21,0.23,0.196,0.21,2070230000
2021-03-10,0.206,0.213,0.163,0.165,2291809800
2021-03-11,0.166,0.208,0.166,0.208,2675590200
2021-03-12,0.208,0.218,0.2,0.203,1353569900
2021-03-15,0.19,0.197,0.175,0.188,1281350000
2021-03-16,0.177,0.196,0.177,0.189,772659938
2021-03-17,0.193,0.198,0.19,0.191,513940000
2021-03-18,0.195,0.197,0.185,0.192,376129969
2021-03-19,0.191,0.191,0.186,0.186,312729969
2021-03-22,0.176,0.185,0.168,0.178,642400000
2021-03-23,0.184,0.197,0.183,0.197,1303650000
2021-03-24,0.2,0.202,0.19,0.199,906790000
2021-03-25,0.2,0.204,0.196,0.201,471160000
2021-03-26,0.201,0.204,0.196,0.199,459620000
2021-03-29,0.186,0.198,0.182,0.194,556880000
2021-03-30,0.193,0.201,0.193,0.195,354160000
2021-03-31,0.195,0.2,0.194,0.197,232120000
2021-04-05,0.197,0.21,0.196,0.203,425289969
2021-04-06,0.205,0.217,0.205,0.213,569890000
2021-04-07,0.218,0.223,0.217,0.219,450460000
2021-04-08,0.22,0.221,0.21,0.21,420860000
2021-04-12,0.215,0.215,0.206,0.209,476289969
2021-04-13,0.209,0.209,0.2,0.201,419969969
2021-04-14,0.204,0.207,0.2,0.202,269440000
2021-04-15,0.203,0.236,0.203,0.235,2416600000
2021-04-16,0.239,0.247,0.221,0.224,2863830000
2021-04-19,0.23,0.231,0.22,0.222,507030031
2021-04-20,0.221,0.228,0.216,0.223,517830031
2021-04-21,0.226,0.229,0.22,0.224,286720000
2021-04-22,0.223,0.234,0.222,0.223,514249969
2021-04-23,0.224,0.227,0.221,0.222,286780000
2021-04-26,0.223,0.224,0.203,0.211,654310000
2021-04-27,0.21,0.214,0.207,0.211,171220000
2021-04-28,0.21,0.214,0.208,0.211,197160000
2021-04-29,0.214,0.214,0.203,0.205,319580000
2021-04-30,0.205,0.208,0.2,0.203,308550031
2021-05-03,0.203,0.204,0.198,0.199,300849969
2021-05-04,0.197,0.199,0.187,0.191,510110031
2021-05-05,0.191,0.194,0.184,0.193,321169969
2021-05-06,0.194,0.197,0.19,0.191,102190000
2021-05-07,0.191,0.192,0.188,0.189,78750000
2021-05-10,0.199,0.206,0.192,0.193,423440000
2021-05-11,0.194,0.198,0.194,0.195,132540000
2021-05-12,0.195,0.195,0.188,0.189,224910000
2021-05-14,0.189,0.189,0.177,0.182,395510031
2021-05-17,0.182,0.185,0.178,0.178,152210000
2021-05-18,0.176,0.177,0.16,0.173,409649969
2021-05-19,0.172,0.179,0.169,0.178,332150031
2021-05-20,0.181,0.191,0.181,0.187,313190031
2021-05-21,0.187,0.188,0.18,0.182,97310000
2021-05-24,0.183,0.183,0.177,0.178,126820000
2021-05-25,0.185,0.186,0.18,0.181,139190000
2021-05-26,0.182,0.185,0.18,0.184,111200000
2021-05-27,0.185,0.187,0.182,0.186,108630000
2021-05-28,0.185,0.189,0.184,0.185,73970000
2021-05-31,0.187,0.188,0.183,0.183,111360000
2021-06-01,0.183,0.184,0.176,0.181,179910000
2021-06-02,0.181,0.184,0.179,0.183,81090000
2021-06-03,0.183,0.193,0.181,0.19,253530000
2021-06-04,0.191,0.192,0.186,0.187,85160000
2021-06-07,0.188,0.188,0.184,0.184,111110000
2021-06-08,0.185,0.186,0.179,0.183,141940000
2021-06-09,0.184,0.186,0.18,0.184,83440000
2021-06-10,0.186,0.187,0.182,0.183,91090000
2021-06-11,0.184,0.184,0.178,0.18,206100000
2021-06-14,0.18,0.181,0.175,0.178,259770000
2021-06-15,0.178,0.193,0.178,0.192,457480000
