Date,Open,High,Low,Close,Volume
12/29/2020,"0.770","0.770","0.750","0.770","1,060,000"
12/28/2020,"0.770","0.810","0.760","0.810","338,000"
12/23/2020,"0.750","0.810","0.750","0.770","325,000"
12/22/2020,"0.810","0.830","0.750","0.790","4,029,000"
12/21/2020,"0.850","0.860","0.810","0.830","652,000"
12/18/2020,"0.860","0.860","0.810","0.830","1,176,000"
12/17/2020,"0.830","0.870","0.800","0.830","5,524,000"
12/16/2020,"0.790","0.820","0.780","0.790","2,177,000"
12/15/2020,"0.770","0.840","0.760","0.800","4,924,000"
12/14/2020,"0.770","0.770","0.760","0.770","556,000"
12/11/2020,"0.780","0.780","0.750","0.760","843,000"
12/10/2020,"0.750","0.780","0.740","0.770","2,336,000"
12/09/2020,"0.710","0.740","0.690","0.740","927,000"
12/07/2020,"0.690","0.720","0.690","0.720","7,000"
12/04/2020,"0.730","0.730","0.690","0.720","267,000"
12/03/2020,"0.720","0.730","0.680","0.730","1,234,000"
12/02/2020,"0.720","0.720","0.690","0.710","67,000"
12/01/2020,"0.700","0.730","0.700","0.710","345,000"
11/27/2020,"0.680","0.720","0.680","0.700","1,213,000"
11/26/2020,"0.720","0.720","0.680","0.710","421,000"
11/25/2020,"0.720","0.730","0.700","0.710","829,000"
11/24/2020,"0.710","0.710","0.690","0.710","381,000"
11/23/2020,"0.710","0.720","0.680","0.710","673,000"
11/20/2020,"0.690","0.720","0.670","0.710","1,216,000"
11/19/2020,"0.670","0.690","0.660","0.680","289,000"
11/18/2020,"0.680","0.680","0.660","0.680","17,000"
11/17/2020,"0.690","0.690","0.680","0.680","40,000"
11/16/2020,"0.660","0.690","0.660","0.680","536,000"
11/13/2020,"0.680","0.680","0.650","0.670","41,000"
11/11/2020,"0.660","0.680","0.660","0.670","283,000"
11/10/2020,"0.650","0.660","0.650","0.660","220,000"
11/09/2020,"0.650","0.660","0.640","0.660","126,000"
11/06/2020,"0.640","0.650","0.640","0.650","96,000"
11/05/2020,"0.630","0.640","0.630","0.640","157,000"
11/04/2020,"0.620","0.640","0.620","0.640","224,000"
11/03/2020,"0.620","0.620","0.610","0.620","126,000"
10/29/2020,"0.630","0.630","0.620","0.630","91,000"
10/28/2020,"0.610","0.630","0.610","0.630","605,000"
10/27/2020,"0.650","0.650","0.620","0.620","424,000"
10/26/2020,"0.640","0.650","0.640","0.650","17,000"
10/23/2020,"0.640","0.640","0.620","0.640","643,000"
10/22/2020,"0.650","0.660","0.640","0.650","110,000"
10/21/2020,"0.650","0.650","0.630","0.650","1,270,000"
10/20/2020,"0.620","0.630","0.600","0.630","2,090,000"
10/19/2020,"0.620","0.620","0.600","0.600","309,000"
10/16/2020,"0.560","0.620","0.560","0.600","2,157,000"
10/15/2020,"0.560","0.570","0.550","0.550","39,000"
10/14/2020,"0.540","0.560","0.540","0.560","205,000"
10/13/2020,"0.540","0.540","0.540","0.540","11,000"
10/12/2020,"0.540","0.550","0.540","0.550","23,000"
10/08/2020,"0.530","0.550","0.530","0.550","101,000"
10/07/2020,"0.550","0.550","0.530","0.540","77,000"
10/06/2020,"0.530","0.530","0.530","0.530","88,000"
10/05/2020,"0.550","0.550","0.520","0.530","892,000"
10/02/2020,"0.550","0.560","0.550","0.550","99,000"
10/01/2020,"0.550","0.550","0.550","0.550","107,000"
09/30/2020,"0.550","0.570","0.550","0.570","16,000"
09/29/2020,"0.540","0.560","0.540","0.550","109,000"
09/28/2020,"0.570","0.570","0.540","0.540","27,000"
09/25/2020,"0.580","0.580","0.540","0.570","194,000"
09/24/2020,"0.580","0.590","0.570","0.580","134,000"
09/23/2020,"0.580","0.580","0.570","0.580","130,000"
09/22/2020,"0.560","0.580","0.560","0.580","96,000"
09/21/2020,"0.550","0.590","0.550","0.560","885,000"
09/18/2020,"0.540","0.560","0.540","0.560","68,000"
09/17/2020,"0.550","0.560","0.540","0.540","646,000"
09/16/2020,"0.550","0.560","0.550","0.560","20,000"
09/15/2020,"0.570","0.570","0.550","0.550","217,000"
09/14/2020,"0.550","0.570","0.550","0.550","80,000"
09/11/2020,"0.550","0.550","0.550","0.550","2,000"
09/10/2020,"0.540","0.550","0.540","0.550","44,000"
09/09/2020,"0.530","0.540","0.530","0.540","152,000"
09/07/2020,"0.530","0.560","0.530","0.550","718,000"
09/04/2020,"0.520","0.520","0.520","0.520","40,000"
09/03/2020,"0.520","0.530","0.520","0.520","284,000"
09/02/2020,"0.520","0.530","0.520","0.520","349,000"
09/01/2020,"0.510","0.520","0.510","0.520","37,000"
08/28/2020,"0.520","0.520","0.520","0.520","120,000"
08/27/2020,"0.520","0.520","0.520","0.520","178,000"
08/26/2020,"0.510","0.520","0.510","0.520","36,000"
08/25/2020,"0.510","0.510","0.500","0.500","256,000"
08/24/2020,"0.510","0.510","0.510","0.510","44,000"
08/20/2020,"0.510","0.520","0.510","0.520","198,000"
08/19/2020,"0.500","0.520","0.500","0.510","263,000"
08/18/2020,"0.500","0.510","0.490","0.500","153,000"
08/17/2020,"0.500","0.500","0.500","0.500","60,000"
08/14/2020,"0.495","0.495","0.495","0.495","87,000"
08/13/2020,"0.510","0.510","0.495","0.510","124,000"
08/12/2020,"0.500","0.510","0.490","0.500","267,000"
08/11/2020,"0.550","0.550","0.495","0.510","2,023,000"
08/10/2020,"0.480","0.660","0.480","0.540","101,480,000"
08/04/2020,"0.480","0.480","0.480","0.480","20,000"
07/30/2020,"0.470","0.470","0.465","0.470","50,000"
07/28/2020,"0.475","0.475","0.470","0.470","120,000"
07/27/2020,"0.490","0.490","0.465","0.490","50,000"
07/24/2020,"0.490","0.495","0.475","0.490","350,000"
07/23/2020,"0.510","0.510","0.460","0.465","140,000"
07/22/2020,"0.500","0.540","0.500","0.510","310,000"
07/21/2020,"0.480","0.480","0.470","0.470","110,000"
07/20/2020,"0.480","0.480","0.470","0.470","9,000"
07/17/2020,"0.510","0.510","0.510","0.510","10,000"
