Date,Open,High,Low,Close,Volume
05/16/2025,"0.520","0.520","0.420","0.460","3,621,000"
05/15/2025,"0.550","0.550","0.500","0.500","180,000"
05/14/2025,"0.540","0.540","0.530","0.540","337,000"
05/13/2025,"0.530","0.550","0.530","0.550","212,000"
05/09/2025,"0.540","0.550","0.520","0.520","237,000"
05/08/2025,"0.530","0.540","0.530","0.540","85,000"
05/07/2025,"0.550","0.560","0.520","0.520","194,000"
05/06/2025,"0.540","0.540","0.530","0.530","69,000"
05/05/2025,"0.550","0.550","0.540","0.540","230,000"
05/02/2025,"0.560","0.590","0.560","0.570","1,270,000"
