Date,Open,High,Low,Close,Volume
12/29/2022,"1.84","1.90","1.83","1.85","5,265,000"
12/28/2022,"1.80","1.85","1.80","1.84","2,251,000"
12/27/2022,"1.80","1.83","1.79","1.79","1,669,000"
12/23/2022,"1.80","1.83","1.79","1.80","2,594,000"
12/22/2022,"1.85","1.90","1.82","1.83","5,013,000"
12/21/2022,"1.89","1.91","1.82","1.85","6,718,000"
12/20/2022,"1.78","1.89","1.77","1.84","7,423,000"
12/19/2022,"1.79","1.80","1.76","1.79","1,831,000"
12/16/2022,"1.78","1.80","1.76","1.79","4,061,000"
12/15/2022,"1.85","1.86","1.80","1.81","2,411,000"
12/14/2022,"1.81","1.88","1.81","1.86","6,006,000"
12/13/2022,"1.85","1.88","1.78","1.81","5,286,000"
12/12/2022,"1.91","1.95","1.85","1.85","5,527,000"
12/09/2022,"1.87","1.94","1.85","1.92","12,760,000"
12/07/2022,"1.78","1.95","1.78","1.87","21,110,000"
12/06/2022,"1.83","1.83","1.73","1.83","9,307,000"
12/05/2022,"1.77","1.85","1.72","1.83","9,184,000"
12/02/2022,"1.76","1.81","1.76","1.77","9,106,000"
12/01/2022,"1.63","1.73","1.63","1.73","10,431,000"
11/29/2022,"1.60","1.61","1.58","1.60","738,000"
11/28/2022,"1.60","1.63","1.60","1.61","1,194,000"
11/25/2022,"1.61","1.64","1.60","1.63","501,000"
11/24/2022,"1.62","1.62","1.57","1.59","857,000"
11/23/2022,"1.61","1.62","1.55","1.59","1,564,000"
11/22/2022,"1.62","1.66","1.57","1.57","3,259,000"
11/21/2022,"1.67","1.67","1.60","1.65","1,357,000"
11/18/2022,"1.59","1.70","1.58","1.69","2,308,000"
11/17/2022,"1.61","1.62","1.57","1.61","843,000"
11/16/2022,"1.57","1.61","1.55","1.61","1,320,000"
11/15/2022,"1.57","1.58","1.53","1.58","1,256,000"
11/14/2022,"1.56","1.59","1.55","1.55","2,704,000"
11/11/2022,"1.54","1.54","1.53","1.53","799,000"
11/10/2022,"1.50","1.50","1.49","1.50","330,000"
11/09/2022,"1.52","1.54","1.49","1.50","3,077,000"
11/08/2022,"1.56","1.57","1.50","1.50","2,216,000"
11/07/2022,"1.51","1.56","1.51","1.54","1,557,000"
11/04/2022,"1.45","1.51","1.45","1.50","1,270,000"
11/03/2022,"1.45","1.47","1.45","1.47","404,000"
11/02/2022,"1.43","1.47","1.42","1.47","70,000"
