Date,Open,High,Low,Close,Volume
12/29/2020,"1.74","1.75","1.71","1.73","3,877,000"
12/28/2020,"1.74","1.78","1.71","1.74","5,236,000"
12/23/2020,"1.70","1.77","1.70","1.73","2,844,000"
12/22/2020,"1.79","1.79","1.70","1.72","15,025,000"
12/21/2020,"1.85","1.85","1.77","1.79","9,150,000"
12/18/2020,"1.84","1.86","1.80","1.82","5,233,000"
12/17/2020,"1.82","1.88","1.80","1.81","18,065,000"
12/16/2020,"1.76","1.82","1.76","1.79","4,742,000"
12/15/2020,"1.75","1.77","1.74","1.76","5,844,000"
12/14/2020,"1.79","1.80","1.72","1.75","13,507,000"
12/11/2020,"1.79","1.80","1.76","1.80","4,127,000"
12/10/2020,"1.77","1.81","1.74","1.79","10,494,000"
12/09/2020,"1.82","1.85","1.80","1.81","6,461,000"
12/07/2020,"1.85","1.86","1.80","1.80","10,540,000"
12/04/2020,"1.90","1.93","1.85","1.85","11,083,000"
12/03/2020,"1.86","1.92","1.85","1.90","16,099,000"
12/02/2020,"1.79","1.87","1.78","1.84","14,018,000"
12/01/2020,"1.79","1.79","1.71","1.77","6,605,000"
11/27/2020,"1.76","1.80","1.73","1.79","15,005,000"
11/26/2020,"1.69","1.73","1.69","1.73","8,851,000"
11/25/2020,"1.71","1.73","1.67","1.69","13,385,000"
11/24/2020,"1.80","1.80","1.70","1.73","34,992,000"
11/23/2020,"1.88","1.90","1.82","1.84","10,183,000"
11/20/2020,"1.84","1.87","1.82","1.86","11,144,000"
11/19/2020,"1.92","1.93","1.84","1.85","29,504,000"
11/18/2020,"1.97","1.99","1.93","1.93","11,295,000"
11/17/2020,"2.01","2.01","1.94","1.95","9,576,000"
11/16/2020,"2.00","2.02","1.93","1.94","11,860,000"
11/13/2020,"2.03","2.05","1.98","2.02","6,372,000"
11/11/2020,"1.93","2.04","1.92","2.02","10,806,000"
11/10/2020,"1.91","1.95","1.88","1.93","13,567,000"
11/09/2020,"1.91","2.02","1.91","2.02","21,553,000"
11/06/2020,"1.93","1.95","1.89","1.90","7,510,000"
11/05/2020,"1.87","1.91","1.87","1.88","8,187,000"
11/04/2020,"1.86","1.93","1.85","1.88","14,156,000"
11/03/2020,"1.87","1.89","1.82","1.86","5,363,000"
10/30/2020,"1.84","1.92","1.82","1.86","12,235,000"
10/29/2020,"1.80","1.86","1.79","1.84","8,438,000"
10/28/2020,"1.89","1.93","1.86","1.88","6,570,000"
10/27/2020,"1.80","1.91","1.78","1.89","12,739,000"
10/26/2020,"1.86","1.86","1.80","1.81","16,002,000"
10/23/2020,"1.90","1.92","1.86","1.86","14,399,000"
10/22/2020,"1.94","1.95","1.87","1.88","17,085,000"
