Date,Open,High,Low,Close,Volume
12/31/2021,"0.970","0.970","0.970","0.970","1,000"
12/29/2021,"0.960","1.010","0.960","1.010","10,000"
12/28/2021,"1.000","1.000","0.960","0.960","124,000"
12/27/2021,"1.030","1.030","1.030","1.030","1,000"
12/24/2021,"1.000","1.000","1.000","1.000","6,000"
12/17/2021,"1.020","1.020","1.020","1.020","18,000"
12/15/2021,"1.000","1.030","1.000","1.020","7,000"
12/14/2021,"1.000","1.010","1.000","1.010","3,000"
12/13/2021,"1.030","1.040","1.010","1.010","72,000"
12/10/2021,"1.030","1.030","1.030","1.030","1,000"
12/09/2021,"1.020","1.020","1.010","1.010","9,000"
12/07/2021,"0.980","1.030","0.980","0.980","74,000"
12/06/2021,"0.980","0.980","0.980","0.980","1,000"
12/03/2021,"1.020","1.030","1.020","1.030","15,000"
12/02/2021,"1.000","1.000","1.000","1.000","3,000"
12/01/2021,"0.980","1.020","0.980","1.020","3,000"
11/29/2021,"1.000","1.020","1.000","1.020","39,000"
11/26/2021,"1.020","1.030","1.020","1.030","14,000"
11/25/2021,"1.020","1.030","1.020","1.030","23,000"
11/24/2021,"1.040","1.040","1.040","1.040","2,000"
11/22/2021,"1.040","1.040","1.040","1.040","2,000"
11/19/2021,"1.010","1.040","1.000","1.040","253,000"
11/18/2021,"1.050","1.050","1.050","1.050","3,000"
11/17/2021,"1.010","1.030","1.010","1.010","59,000"
11/16/2021,"1.030","1.030","1.030","1.030","103,000"
11/12/2021,"1.060","1.060","1.060","1.060","4,000"
11/10/2021,"1.030","1.050","1.030","1.050","26,000"
11/09/2021,"1.060","1.060","1.030","1.060","29,000"
11/08/2021,"1.030","1.040","1.030","1.040","4,000"
11/05/2021,"1.100","1.100","1.080","1.080","39,000"
11/04/2021,"1.030","1.050","1.000","1.050","32,000"
11/03/2021,"1.040","1.070","1.040","1.070","4,000"
11/02/2021,"1.020","1.020","1.020","1.020","59,000"
10/28/2021,"1.050","1.090","1.020","1.090","51,000"
10/27/2021,"1.050","1.090","1.050","1.090","10,000"
10/22/2021,"1.100","1.100","1.100","1.100","1,000"
10/21/2021,"1.060","1.060","1.060","1.060","100,000"
10/20/2021,"1.050","1.060","1.050","1.060","3,000"
10/19/2021,"1.020","1.020","1.020","1.020","125,000"
10/18/2021,"1.070","1.070","1.020","1.020","30,000"
10/15/2021,"1.060","1.060","1.050","1.050","434,000"
10/12/2021,"1.050","1.060","1.050","1.050","60,000"
10/11/2021,"1.080","1.080","1.050","1.050","113,000"
10/08/2021,"1.090","1.110","1.080","1.080","54,000"
10/07/2021,"1.100","1.100","1.100","1.100","5,000"
10/06/2021,"1.040","1.050","1.020","1.050","33,000"
10/05/2021,"1.030","1.040","1.020","1.040","72,000"
10/04/2021,"1.050","1.080","1.040","1.040","29,000"
09/30/2021,"1.030","1.030","1.030","1.030","30,000"
09/29/2021,"1.070","1.070","1.070","1.070","3,000"
09/28/2021,"1.080","1.080","1.080","1.080","3,000"
09/27/2021,"1.030","1.080","1.030","1.080","15,000"
09/23/2021,"1.050","1.090","1.050","1.090","206,000"
09/22/2021,"1.060","1.090","1.060","1.090","7,000"
09/21/2021,"1.050","1.050","1.050","1.050","252,000"
09/20/2021,"1.060","1.090","1.060","1.090","87,000"
09/16/2021,"1.120","1.120","1.120","1.120","3,000"
09/15/2021,"1.150","1.150","1.060","1.060","130,000"
09/14/2021,"1.110","1.110","1.100","1.100","162,000"
09/13/2021,"1.160","1.160","1.160","1.160","2,000"
09/10/2021,"1.170","1.170","1.160","1.160","11,000"
09/09/2021,"1.100","1.180","1.100","1.160","169,000"
09/08/2021,"1.100","1.100","1.060","1.100","151,000"
09/07/2021,"1.100","1.100","1.100","1.100","1,000"
09/06/2021,"1.100","1.140","1.060","1.080","146,000"
09/03/2021,"1.110","1.140","1.090","1.140","67,000"
09/02/2021,"1.110","1.110","1.100","1.110","25,000"
08/31/2021,"1.100","1.100","1.100","1.100","28,000"
08/27/2021,"1.100","1.110","1.100","1.110","19,000"
08/26/2021,"1.110","1.110","1.100","1.100","36,000"
08/25/2021,"1.120","1.120","1.100","1.100","21,000"
08/24/2021,"1.110","1.110","1.110","1.110","63,000"
08/17/2021,"1.180","1.180","1.120","1.120","13,000"
08/16/2021,"1.130","1.130","1.120","1.120","98,000"
08/13/2021,"1.130","1.130","1.130","1.130","2,000"
08/12/2021,"1.180","1.180","1.180","1.180","3,000"
08/09/2021,"1.130","1.180","1.120","1.180","34,000"
08/05/2021,"1.130","1.130","1.130","1.130","1,000"
08/03/2021,"1.140","1.140","1.140","1.140","65,000"
08/02/2021,"1.140","1.140","1.130","1.130","84,000"
07/30/2021,"1.140","1.140","1.130","1.130","150,000"
07/23/2021,"1.160","1.160","1.150","1.150","114,000"
07/22/2021,"1.160","1.160","1.160","1.160","60,000"
07/21/2021,"1.160","1.160","1.160","1.160","73,000"
07/19/2021,"1.160","1.170","1.160","1.160","192,000"
07/16/2021,"1.200","1.200","1.160","1.160","182,000"
07/14/2021,"1.170","1.210","1.150","1.210","466,000"
07/13/2021,"1.220","1.220","1.220","1.220","1,000"
07/12/2021,"1.170","1.220","1.170","1.220","160,000"
07/09/2021,"1.180","1.230","1.170","1.170","209,000"
07/08/2021,"1.170","1.240","1.170","1.240","22,000"
07/07/2021,"1.170","1.170","1.170","1.170","66,000"
07/06/2021,"1.190","1.190","1.190","1.190","25,000"
07/05/2021,"1.240","1.240","1.180","1.180","39,000"
07/01/2021,"1.190","1.190","1.190","1.190","88,000"
06/30/2021,"1.240","1.240","1.180","1.180","2,000"
06/29/2021,"1.250","1.250","1.180","1.210","11,000"
06/24/2021,"1.170","1.250","1.170","1.250","6,000"
06/23/2021,"1.170","1.170","1.170","1.170","13,000"
06/22/2021,"1.200","1.200","1.200","1.200","2,000"
06/21/2021,"1.180","1.200","1.160","1.200","301,000"
06/18/2021,"1.160","1.230","1.160","1.200","559,000"
06/17/2021,"1.220","1.220","1.200","1.200","2,000"
06/16/2021,"1.250","1.250","1.230","1.230","7,000"
06/15/2021,"1.190","1.190","1.160","1.160","46,000"
06/14/2021,"1.220","1.220","1.170","1.170","75,000"
06/11/2021,"1.190","1.220","1.150","1.160","255,000"
06/10/2021,"1.220","1.220","1.190","1.190","12,000"
06/08/2021,"1.220","1.220","1.180","1.180","45,000"
06/07/2021,"1.160","1.160","1.150","1.160","347,000"
06/04/2021,"1.170","1.190","1.160","1.190","124,000"
06/03/2021,"1.220","1.220","1.200","1.200","26,000"
06/02/2021,"1.140","1.230","1.140","1.160","43,000"
06/01/2021,"1.150","1.240","1.150","1.150","35,000"
