Date,Open,High,Low,Close,Volume
2020-08-13,27.0,27.25,24.9,24.9,31704900
2020-08-14,25.0,25.7,23.85,24.1,10001500
2020-08-17,24.65,26.45,24.65,25.95,14178700
2020-08-18,25.95,25.95,25.5,25.8,10494600
2020-08-19,25.8,26.0,25.65,25.95,4667200
2020-08-20,25.95,26.1,25.75,25.9,5656800
2020-08-24,26.0,26.0,25.65,25.7,2616100
2020-08-25,25.7,25.95,25.55,25.8,5669800
2020-08-26,25.85,26.45,25.75,26.05,4829400
2020-08-27,25.5,25.85,25.05,25.75,1529600
2020-08-28,25.75,25.75,25.6,25.6,1329900
2020-09-01,25.6,25.7,25.5,25.5,1402500
2020-09-02,25.5,25.5,25.3,25.4,1349800
2020-09-03,25.4,25.45,25.4,25.45,943200
2020-09-04,25.4,25.45,25.25,25.25,1813400
2020-09-07,25.3,25.6,25.3,25.55,1173300
2020-09-08,25.55,25.85,25.5,25.8,1355600
2020-09-09,25.8,25.8,25.75,25.8,332900
2020-09-10,25.8,25.85,25.75,25.75,413900
2020-09-11,25.7,25.75,25.65,25.7,706400
2020-09-14,25.7,25.75,25.6,25.65,363000
2020-09-15,25.65,25.7,25.6,25.65,615200
2020-09-16,25.65,25.75,25.55,25.7,472700
2020-09-17,25.7,26.0,25.7,25.8,4088400
2020-09-18,25.85,26.0,25.85,25.95,607100
2020-09-21,25.9,25.95,25.6,25.65,1403700
2020-09-22,25.65,25.75,25.45,25.6,1118000
2020-09-23,25.75,25.8,25.5,25.65,1440500
2020-09-24,25.65,26.0,25.55,25.6,1094500
2020-09-25,25.6,25.65,25.5,25.55,1698700
2020-09-28,25.55,25.65,25.45,25.6,1570300
2020-09-29,25.6,25.8,25.55,25.7,7622200
2020-09-30,25.8,25.8,25.6,25.8,370200
2020-10-01,25.8,25.95,25.6,25.95,908600
2020-10-02,25.9,25.9,25.6,25.9,1845400
2020-10-05,25.9,25.9,25.6,25.75,1118400
2020-10-06,25.75,25.75,25.55,25.6,1811800
2020-10-07,25.6,25.7,25.5,25.65,950600
2020-10-08,25.6,25.75,25.5,25.65,539600
2020-10-09,25.65,25.65,25.5,25.6,319700
2020-10-12,25.6,25.7,25.5,25.65,1058600
2020-10-13,25.55,25.75,25.55,25.7,1375700
2020-10-14,25.7,25.75,25.55,25.7,657700
2020-10-15,25.75,25.75,25.6,25.7,698000
2020-10-16,25.65,25.85,25.6,25.8,498000
2020-10-19,25.8,25.85,25.7,25.7,667800
2020-10-20,25.7,25.85,25.6,25.65,525000
2020-10-21,25.75,25.8,25.65,25.75,414800
2020-10-22,25.75,25.8,25.65,25.7,497400
2020-10-23,25.75,25.75,25.5,25.65,2425400
2020-10-26,25.7,25.8,25.65,25.7,1253000
2020-10-27,25.7,25.7,25.55,25.7,714200
2020-10-28,25.7,25.75,25.65,25.75,387200
2020-10-29,25.7,25.7,25.6,25.65,302200
2020-10-30,25.65,25.7,25.55,25.55,631700
2020-11-03,25.65,25.7,25.5,25.6,1180600
2020-11-04,25.65,25.65,25.55,25.65,1661200
2020-11-05,25.65,25.65,25.5,25.6,2057200
2020-11-06,25.65,25.65,25.55,25.6,1138800
2020-11-09,25.6,25.8,25.6,25.75,383500
2020-11-10,25.85,25.9,25.5,25.9,2350900
2020-11-11,25.9,25.95,25.85,25.95,647200
2020-11-13,25.95,26.0,25.85,26.0,757500
2020-11-16,26.0,26.25,25.95,26.2,876400
2020-11-17,26.2,26.5,26.1,26.1,2114600
2020-11-18,26.3,26.5,26.3,26.5,1164100
2020-11-19,26.5,26.65,26.45,26.55,1253800
2020-11-20,26.6,27.0,26.55,27.0,1561100
2020-11-23,27.1,27.6,27.05,27.5,1658800
2020-11-24,27.5,27.55,27.15,27.25,918500
2020-11-25,27.5,27.5,27.25,27.35,1659300
2020-11-26,27.45,27.45,27.0,27.3,887600
2020-11-27,27.25,27.5,27.15,27.35,844500
2020-12-01,27.4,27.95,27.4,27.75,1118900
2020-12-02,27.45,27.7,27.3,27.55,869300
2020-12-03,27.55,27.6,27.5,27.5,1244600
2020-12-04,27.55,27.6,27.5,27.55,688800
2020-12-07,27.55,27.7,27.5,27.55,531400
2020-12-09,27.75,27.75,27.6,27.7,584700
2020-12-10,27.75,28.15,27.7,28.1,2547100
2020-12-11,28.1,29.0,28.1,29.0,1303000
2020-12-14,29.0,29.2,28.95,29.0,966500
2020-12-15,29.0,29.8,29.0,29.8,3462300
2020-12-16,29.8,30.0,29.6,29.9,2434100
2020-12-17,30.0,30.0,29.75,29.9,1184100
2020-12-18,29.95,30.0,29.75,29.75,3466200
2020-12-21,29.75,29.75,29.5,29.55,1088900
2020-12-22,29.4,29.45,28.8,29.3,2943300
2020-12-23,29.3,29.3,28.7,29.2,3045000
2020-12-28,29.1,29.25,28.45,29.25,2755700
2020-12-29,29.3,29.35,28.9,29.35,655900
2021-01-04,29.35,29.4,29.2,29.25,586700
2021-01-05,29.25,29.3,28.95,29.0,2695600
2021-01-06,29.0,29.15,28.9,28.95,1449800
2021-01-07,29.0,29.3,28.95,29.25,1319700
2021-01-08,29.25,29.5,29.2,29.5,885100
2021-01-11,29.5,30.15,29.5,30.0,1555100
2021-01-12,30.0,30.0,29.9,29.95,319300
2021-01-13,30.0,30.05,29.9,30.05,1338900
2021-01-14,30.0,30.05,29.9,29.9,1483900
2021-01-15,30.0,30.15,29.9,30.15,576200
2021-01-18,30.1,30.9,30.1,30.85,510700
2021-01-19,30.9,31.6,30.9,31.6,1111800
2021-01-20,31.6,33.1,31.6,32.05,2047100
2021-01-21,32.15,32.75,31.5,31.9,1046800
2021-01-22,31.95,32.25,31.6,31.6,996700
2021-01-25,31.6,32.15,31.5,32.0,522100
2021-01-26,32.0,32.0,31.6,31.75,1191000
2021-01-27,31.65,31.85,31.35,31.5,3494500
2021-01-28,31.5,31.9,31.3,31.8,303200
2021-01-29,31.8,32.1,31.8,32.0,1166700
2021-02-01,32.0,32.05,31.95,32.0,1778200
2021-02-02,32.1,32.95,32.05,32.9,1418000
2021-02-03,32.95,33.0,32.4,32.5,1697700
2021-02-04,32.5,32.5,32.2,32.3,574600
2021-02-05,32.45,32.75,32.45,32.6,766300
2021-02-08,32.8,32.95,32.7,32.9,1080300
2021-02-09,32.9,33.0,32.6,32.75,725700
2021-02-10,32.8,33.0,32.8,33.0,612400
2021-02-11,33.0,33.15,32.95,33.1,604500
2021-02-15,33.15,33.9,33.15,33.9,867400
2021-02-16,33.9,35.0,33.85,34.0,2012300
2021-02-17,34.0,34.45,33.95,34.0,540900
2021-02-18,34.05,34.9,34.05,34.2,162200
2021-02-19,34.5,34.9,34.1,34.45,679900
2021-02-22,34.5,34.9,34.5,34.7,230200
2021-02-23,34.5,34.5,34.0,34.2,671200
2021-02-24,34.3,34.45,33.5,33.9,1079800
2021-02-26,34.0,34.0,33.7,33.7,1378100
2021-03-01,33.95,34.4,33.9,33.9,1176100
2021-03-02,33.9,34.7,33.8,34.4,434400
2021-03-03,34.5,34.5,34.2,34.25,321000
2021-03-04,34.4,34.6,33.9,33.95,788100
2021-03-05,34.1,34.4,33.95,33.95,1030800
2021-03-08,33.95,34.0,33.45,33.55,779000
2021-03-09,33.55,34.0,32.8,33.05,1730100
2021-03-10,33.0,33.0,32.4,33.0,542600
2021-03-11,33.0,33.0,32.0,32.2,2131600
2021-03-12,32.05,32.4,31.7,32.1,1043900
2021-03-15,32.1,32.5,31.0,31.75,1802000
2021-03-16,31.75,32.8,31.75,32.5,611000
2021-03-17,32.8,32.8,32.0,32.8,343500
2021-03-18,32.85,33.5,32.8,33.05,1325200
2021-03-19,33.2,33.5,32.55,32.65,922300
2021-03-22,32.65,32.65,31.9,32.5,410700
2021-03-23,32.5,33.0,32.4,32.8,418900
2021-03-24,32.8,33.05,32.8,33.0,898000
2021-03-25,33.0,33.55,33.0,33.15,848900
2021-03-26,33.15,34.25,33.0,33.2,1089800
2021-03-29,33.1,33.5,33.0,33.45,364400
2021-03-30,33.4,33.7,33.3,33.7,625800
2021-03-31,33.8,34.3,33.8,34.0,690700
2021-04-05,34.0,34.7,33.95,34.65,779500
2021-04-06,34.7,35.0,34.7,34.85,702300
2021-04-07,34.95,35.0,34.45,34.9,1110400
2021-04-08,34.9,34.95,34.3,34.5,457100
2021-04-12,34.5,34.5,33.75,34.0,1160900
2021-04-13,34.0,34.1,33.7,33.9,547700
2021-04-14,33.9,34.3,33.85,34.0,680700
2021-04-15,34.0,34.0,33.9,33.9,716500
2021-04-16,33.9,34.0,33.6,33.9,337800
2021-04-19,33.9,33.9,33.5,33.5,1055700
2021-04-20,33.5,34.1,33.5,33.7,636300
2021-04-21,33.7,34.55,33.7,34.0,142400
2021-04-22,34.3,34.3,34.0,34.0,393400
2021-04-23,34.0,34.2,33.95,34.05,250500
2021-04-26,34.05,34.45,33.95,34.0,649000
2021-04-27,34.0,34.65,34.0,34.4,813200
2021-04-28,34.4,35.0,34.4,34.5,1070900
2021-04-29,34.5,34.6,34.4,34.55,816200
2021-04-30,34.0,34.65,34.0,34.3,2252700
