Date,Open,High,Low,Close,Volume
12/29/2023,"33.00","33.05","32.50","32.70","9,300"
12/28/2023,"33.10","33.15","33.00","33.10","20,000"
12/27/2023,"33.50","33.65","33.05","33.10","14,800"
12/22/2023,"34.00","34.90","34.00","34.00","38,200"
12/21/2023,"35.80","35.80","34.00","34.00","5,400"
12/20/2023,"34.95","35.00","34.00","34.50","49,000"
12/19/2023,"36.30","36.30","33.15","34.10","8,200"
12/18/2023,"37.20","37.20","35.90","36.00","13,300"
12/15/2023,"40.00","40.00","35.85","37.45","22,500"
12/14/2023,"33.67","34.67","33.67","34.33","61,050"
12/13/2023,"35.93","35.93","32.67","32.70","122,340"
12/12/2023,"33.00","34.07","33.00","34.00","80,700"
12/11/2023,"32.67","33.00","32.33","32.67","39,150"
12/07/2023,"31.60","33.13","31.60","32.00","40,200"
12/06/2023,"31.30","31.47","31.20","31.47","51,600"
12/05/2023,"30.60","31.30","30.33","31.13","21,750"
12/01/2023,"30.63","30.63","30.63","30.63","150"
11/30/2023,"29.93","29.93","29.93","29.93","4,950"
11/29/2023,"30.63","30.63","30.00","30.07","4,350"
11/28/2023,"30.60","30.63","29.87","30.00","1,500"
11/23/2023,"29.87","29.87","29.80","29.80","1,800"
11/22/2023,"29.87","29.87","29.87","29.87","450"
11/21/2023,"30.00","30.00","30.00","30.00","2,100"
11/20/2023,"30.00","30.00","30.00","30.00","750"
11/17/2023,"30.00","30.00","30.00","30.00","900"
11/16/2023,"29.87","30.33","29.87","29.90","3,150"
11/15/2023,"29.80","29.80","29.80","29.80","4,650"
11/13/2023,"29.87","29.87","29.80","29.87","6,300"
11/08/2023,"29.67","29.67","29.67","29.67","300"
11/07/2023,"29.67","29.70","29.67","29.70","8,700"
11/06/2023,"29.67","29.73","29.67","29.73","10,050"
11/03/2023,"29.67","29.67","29.67","29.67","900"
10/31/2023,"29.67","29.67","29.67","29.67","10,050"
10/27/2023,"29.67","29.93","29.67","29.67","30,450"
10/25/2023,"29.67","30.33","29.67","30.33","5,250"
