Date,Open,High,Low,Close,Volume
2020-01-02,2.61,2.65,2.52,2.63,1916000
2020-01-03,2.66,2.9,2.66,2.9,4253000
2020-01-06,2.93,3.09,2.79,3.09,5992000
2020-01-07,3.14,3.18,3.03,3.14,5348000
2020-01-08,3.03,3.03,2.88,2.96,4105000
2020-01-09,2.97,3.13,2.95,3.12,3872000
2020-01-10,3.12,3.23,3.06,3.06,3788000
2020-01-14,3.06,3.07,2.91,2.95,3738000
2020-01-15,2.98,3.05,2.96,3.0,1064000
2020-01-16,3.04,3.05,2.73,2.74,6837000
2020-01-17,2.75,2.84,2.75,2.82,3090000
2020-01-20,2.83,2.95,2.74,2.89,3671000
2020-01-21,2.9,2.91,2.81,2.89,2271000
2020-01-22,2.94,3.5,2.9,3.5,21305000
2020-01-23,3.52,3.53,3.31,3.36,13450000
2020-01-24,3.36,3.71,3.23,3.6,16769000
2020-01-27,3.63,3.65,3.31,3.4,6995000
2020-01-28,3.39,3.45,3.17,3.23,6030000
2020-01-29,3.23,3.33,3.12,3.12,3794000
2020-01-30,3.15,3.36,3.15,3.31,4196000
2020-01-31,3.32,3.46,2.98,3.05,7429000
2020-02-03,2.95,2.95,2.71,2.78,6269000
2020-02-04,2.76,2.91,2.65,2.84,7038000
2020-02-05,2.88,3.13,2.85,3.08,8275000
2020-02-06,3.16,3.23,3.01,3.14,6629000
2020-02-07,3.14,3.16,2.99,3.04,3687000
2020-02-10,3.02,3.08,2.89,2.89,2935000
2020-02-11,2.87,2.93,2.78,2.9,2806000
2020-02-12,2.86,2.93,2.8,2.81,1925000
2020-02-13,2.84,2.86,2.71,2.76,2098000
2020-02-14,2.82,2.86,2.78,2.82,926000
2020-02-17,2.86,2.91,2.83,2.89,1353000
2020-02-18,2.9,3.08,2.9,3.01,2847000
2020-02-19,3.09,3.09,2.85,2.94,2769000
2020-02-20,2.95,3.09,2.93,3.09,3362000
2020-02-21,3.11,3.25,3.05,3.16,5191000
2020-02-24,3.16,3.16,2.9,2.91,2933000
2020-02-26,2.85,2.85,2.66,2.78,2386000
2020-02-27,2.75,2.88,2.75,2.83,1676000
2020-02-28,2.77,2.77,2.65,2.65,4841000
2020-03-02,2.65,2.65,2.34,2.42,8220000
2020-03-03,2.48,2.54,2.44,2.44,2490000
2020-03-04,2.44,2.48,2.31,2.32,3582000
2020-03-05,2.38,2.41,2.3,2.4,2749000
2020-03-06,2.39,2.42,2.32,2.34,1393000
2020-03-09,2.27,2.27,1.92,1.94,5040000
2020-03-10,1.94,2.13,1.8,2.13,3742000
2020-03-11,2.15,2.26,2.14,2.25,3053000
2020-03-12,2.26,2.3,2.0,2.05,4362000
2020-03-13,1.97,2.04,1.85,2.02,2882000
2020-03-16,2.0,2.0,1.81,1.9,1326000
2020-03-19,1.91,1.95,1.75,1.9,1341000
2020-03-20,1.9,1.98,1.9,1.95,440000
2020-03-23,1.94,1.94,1.88,1.89,647000
2020-03-24,1.93,1.98,1.89,1.93,586000
2020-03-25,1.95,2.04,1.95,2.04,864000
2020-03-26,2.05,2.15,2.05,2.11,831000
2020-03-27,2.13,2.24,2.0,2.03,1328000
2020-03-30,2.0,2.08,1.94,2.08,919000
2020-03-31,2.11,2.19,2.11,2.19,1212000
2020-04-01,2.19,2.4,2.13,2.29,1797000
2020-04-02,2.29,2.4,2.23,2.4,1337000
2020-04-03,2.45,2.5,2.4,2.5,2270000
2020-04-06,2.55,2.64,2.51,2.51,3752000
2020-04-07,2.55,2.64,2.51,2.53,2608000
2020-04-08,2.53,2.63,2.49,2.58,1591000
2020-04-13,2.56,2.62,2.5,2.51,923000
2020-04-14,2.51,2.57,2.5,2.5,1189000
2020-04-15,2.51,2.58,2.49,2.5,1854000
2020-04-16,2.5,2.5,2.45,2.47,1943000
2020-04-17,2.46,2.52,2.45,2.52,1695000
2020-04-20,2.55,2.76,2.54,2.64,5037000
2020-04-21,2.66,2.74,2.59,2.6,31435000
2020-04-22,2.63,2.88,2.61,2.65,7495000
2020-04-23,2.67,2.75,2.61,2.61,3976000
2020-04-24,2.61,2.72,2.6,2.67,1955000
2020-04-27,2.9,3.04,2.82,2.92,10113000
2020-04-28,2.92,3.05,2.89,3.0,5049000
2020-04-29,3.04,3.08,2.95,3.0,3567000
2020-04-30,3.02,3.06,2.93,2.96,1706000
2020-05-04,2.94,3.04,2.83,3.02,3282000
2020-05-05,3.04,3.12,2.99,3.05,5041000
2020-05-06,3.03,3.03,2.89,2.95,2183000
2020-05-07,2.95,3.0,2.82,2.82,1937000
2020-05-08,2.84,2.89,2.79,2.87,1557000
2020-05-11,2.88,2.97,2.86,2.95,899000
2020-05-12,2.94,2.94,2.87,2.87,743000
2020-05-13,2.9,2.93,2.9,2.91,1172000
2020-05-14,2.9,2.93,2.84,2.91,819000
2020-05-15,2.92,2.93,2.9,2.9,289000
2020-05-18,2.94,2.94,2.68,2.7,1560000
2020-05-19,2.7,2.75,2.66,2.72,922000
2020-05-20,2.72,2.78,2.71,2.75,284000
2020-05-21,2.77,2.77,2.69,2.7,247000
2020-05-22,2.69,2.75,2.69,2.75,941000
2020-05-26,2.75,2.76,2.54,2.57,894000
2020-05-27,2.57,2.62,2.57,2.59,198000
2020-05-28,2.58,2.58,2.56,2.58,216000
2020-05-29,2.58,2.58,2.54,2.54,662000
2020-06-01,2.54,2.58,2.5,2.56,1124000
2020-06-02,2.55,2.7,2.55,2.65,1062000
2020-06-03,2.7,2.74,2.66,2.74,853000
2020-06-04,2.8,2.9,2.76,2.8,1216000
2020-06-05,2.82,2.87,2.8,2.83,748000
2020-06-08,2.83,2.9,2.83,2.9,1859000
2020-06-09,2.9,2.9,2.77,2.86,1325000
2020-06-10,2.84,2.86,2.73,2.73,1242000
2020-06-11,2.73,2.79,2.65,2.77,1309000
2020-06-15,2.76,2.76,2.56,2.63,880000
2020-06-16,2.63,2.7,2.57,2.68,977000
2020-06-17,2.68,2.68,2.63,2.67,922000
2020-06-18,2.64,2.65,2.55,2.61,29092000
2020-06-19,2.6,2.77,2.58,2.75,1564000
2020-06-22,2.78,2.85,2.67,2.7,1764000
2020-06-23,2.73,2.73,2.59,2.63,1213000
2020-06-24,2.63,2.65,2.59,2.6,854000
2020-06-25,2.6,2.64,2.59,2.59,750000
2020-06-26,2.6,2.66,2.58,2.65,787000
2020-06-29,2.59,2.59,2.5,2.54,1310000
2020-06-30,2.58,2.63,2.57,2.58,483000
2020-07-01,2.58,2.59,2.53,2.53,269000
2020-07-02,2.53,2.58,2.53,2.55,276000
2020-07-03,2.55,2.59,2.55,2.57,245000
2020-07-06,2.59,2.59,2.54,2.54,634000
2020-07-07,2.58,2.58,2.55,2.56,569000
2020-07-08,2.56,2.56,2.5,2.51,977000
2020-07-09,2.51,2.55,2.4,2.4,2041000
2020-07-10,2.36,2.45,2.36,2.4,568000
2020-07-13,2.37,2.48,2.35,2.48,475000
2020-07-14,2.52,2.54,2.46,2.46,641000
2020-07-15,2.44,2.44,2.3,2.35,1094000
2020-07-16,2.35,2.35,2.2,2.29,1004000
2020-07-17,2.33,2.33,2.28,2.28,225000
