Date,Open,High,Low,Close,Volume
05/16/2025,"4.030","4.080","4.000","4.020","12,735,000"
05/15/2025,"4.030","4.100","3.890","4.020","79,626,000"
05/14/2025,"3.970","4.180","3.930","4.000","98,956,000"
05/13/2025,"4.170","4.250","4.050","4.120","34,931,000"
05/09/2025,"4.100","4.300","4.090","4.120","77,308,000"
05/08/2025,"4.030","4.200","3.930","4.090","55,632,000"
05/07/2025,"4.210","4.260","3.970","4.000","88,292,000"
05/06/2025,"3.890","4.290","3.880","4.190","173,611,016"
05/05/2025,"3.530","3.890","3.470","3.810","127,786,000"
05/02/2025,"3.470","3.560","3.440","3.470","76,961,000"
