Date,Open,High,Low,Close,Volume
12/29/2020,"0.910","0.920","0.880","0.900","6,367,000"
12/28/2020,"0.920","0.930","0.900","0.910","5,015,000"
12/23/2020,"0.920","0.940","0.890","0.940","8,531,000"
12/22/2020,"0.980","0.980","0.910","0.930","14,416,000"
12/21/2020,"0.990","0.990","0.950","0.980","12,321,000"
12/18/2020,"1.070","1.070","0.970","1.000","15,251,000"
12/17/2020,"0.940","1.130","0.930","1.030","122,553,000"
12/16/2020,"0.970","0.980","0.910","0.940","9,779,000"
12/15/2020,"0.900","0.990","0.900","0.940","44,335,000"
12/14/2020,"0.890","0.900","0.870","0.890","3,470,000"
12/11/2020,"0.850","0.880","0.830","0.880","4,336,000"
12/10/2020,"0.870","0.870","0.830","0.850","6,390,000"
12/09/2020,"0.870","0.880","0.850","0.870","5,215,000"
12/07/2020,"0.900","0.900","0.870","0.880","2,151,000"
12/04/2020,"0.900","0.910","0.890","0.900","1,497,000"
12/03/2020,"0.880","0.900","0.870","0.900","1,314,000"
12/02/2020,"0.900","0.910","0.880","0.880","1,380,000"
12/01/2020,"0.860","0.890","0.860","0.890","1,928,000"
11/27/2020,"0.870","0.880","0.860","0.860","1,581,000"
11/26/2020,"0.900","0.900","0.850","0.860","3,079,000"
11/25/2020,"0.920","0.920","0.880","0.880","2,738,000"
11/24/2020,"0.910","0.940","0.880","0.900","13,750,000"
11/23/2020,"0.860","0.890","0.850","0.890","4,491,000"
11/20/2020,"0.840","0.870","0.840","0.860","3,767,000"
11/19/2020,"0.840","0.850","0.830","0.850","1,781,000"
11/18/2020,"0.850","0.850","0.830","0.850","1,203,000"
11/17/2020,"0.860","0.870","0.830","0.850","3,485,000"
11/16/2020,"0.880","0.890","0.860","0.860","6,425,000"
11/13/2020,"0.820","0.870","0.810","0.850","5,371,000"
11/11/2020,"0.830","0.830","0.810","0.830","1,030,000"
11/10/2020,"0.820","0.840","0.820","0.830","1,437,000"
11/09/2020,"0.820","0.830","0.800","0.830","1,961,000"
11/06/2020,"0.820","0.820","0.800","0.820","1,909,000"
11/05/2020,"0.810","0.820","0.800","0.820","2,145,000"
11/04/2020,"0.830","0.830","0.810","0.820","981,000"
11/03/2020,"0.830","0.840","0.810","0.830","1,483,000"
10/30/2020,"0.800","0.820","0.800","0.820","2,800,000"
10/29/2020,"0.800","0.810","0.790","0.800","2,542,000"
10/28/2020,"0.790","0.800","0.790","0.800","2,309,000"
10/27/2020,"0.810","0.810","0.770","0.790","4,508,000"
10/26/2020,"0.810","0.820","0.800","0.810","1,454,000"
10/23/2020,"0.810","0.810","0.790","0.810","5,411,000"
10/22/2020,"0.820","0.820","0.800","0.810","2,294,000"
10/21/2020,"0.820","0.830","0.800","0.810","3,359,000"
10/20/2020,"0.820","0.840","0.800","0.810","6,470,000"
10/19/2020,"0.850","0.850","0.800","0.810","11,349,000"
10/16/2020,"0.830","1.000","0.820","0.830","69,548,000"
10/15/2020,"0.790","0.800","0.780","0.790","548,000"
10/14/2020,"0.790","0.790","0.780","0.790","1,736,000"
10/13/2020,"0.800","0.800","0.780","0.790","1,063,000"
10/12/2020,"0.800","0.800","0.780","0.790","2,422,000"
10/09/2020,"0.770","0.800","0.770","0.790","2,147,000"
10/08/2020,"0.740","0.770","0.740","0.770","1,854,000"
10/07/2020,"0.740","0.760","0.730","0.740","2,617,000"
10/06/2020,"0.750","0.750","0.740","0.740","3,109,000"
10/05/2020,"0.760","0.770","0.750","0.760","2,065,000"
10/02/2020,"0.750","0.760","0.740","0.760","1,311,000"
10/01/2020,"0.780","0.790","0.740","0.750","3,200,000"
09/30/2020,"0.790","0.790","0.770","0.790","775,000"
09/29/2020,"0.780","0.790","0.770","0.790","969,000"
09/28/2020,"0.770","0.780","0.760","0.780","1,046,000"
09/25/2020,"0.760","0.780","0.760","0.770","401,000"
09/24/2020,"0.770","0.780","0.760","0.770","579,000"
09/23/2020,"0.770","0.780","0.760","0.780","1,250,000"
09/22/2020,"0.780","0.780","0.750","0.760","2,867,000"
09/21/2020,"0.790","0.800","0.770","0.780","2,887,000"
09/18/2020,"0.790","0.800","0.770","0.770","2,383,000"
09/17/2020,"0.810","0.810","0.790","0.800","3,883,000"
09/16/2020,"0.810","0.810","0.800","0.810","1,202,000"
09/15/2020,"0.810","0.820","0.800","0.810","3,285,000"
09/14/2020,"0.800","0.810","0.770","0.800","2,490,000"
09/11/2020,"0.810","0.810","0.790","0.800","2,676,000"
09/10/2020,"0.780","0.820","0.780","0.810","6,719,000"
09/09/2020,"0.750","0.780","0.750","0.770","5,075,000"
09/08/2020,"0.750","0.760","0.730","0.760","2,324,000"
09/07/2020,"0.730","0.760","0.720","0.750","3,998,000"
09/04/2020,"0.760","0.760","0.720","0.740","6,200,000"
09/03/2020,"0.800","0.800","0.760","0.760","7,766,000"
09/02/2020,"0.830","0.830","0.800","0.800","3,835,000"
09/01/2020,"0.820","0.850","0.820","0.830","3,217,000"
08/28/2020,"0.830","0.830","0.810","0.820","1,555,000"
08/27/2020,"0.830","0.830","0.810","0.810","2,405,000"
08/26/2020,"0.800","0.820","0.780","0.820","2,978,000"
08/25/2020,"0.810","0.820","0.780","0.800","2,677,000"
08/24/2020,"0.850","0.870","0.800","0.810","5,171,000"
08/20/2020,"0.870","0.880","0.820","0.830","3,919,000"
08/19/2020,"0.860","0.880","0.850","0.870","2,204,000"
08/18/2020,"0.860","0.870","0.850","0.870","1,776,000"
08/17/2020,"0.840","0.880","0.830","0.840","9,892,000"
08/14/2020,"0.820","0.850","0.820","0.840","5,164,000"
08/13/2020,"0.800","0.820","0.800","0.820","1,826,000"
08/12/2020,"0.820","0.820","0.780","0.800","2,280,000"
08/11/2020,"0.800","0.820","0.770","0.820","3,823,000"
08/10/2020,"0.770","0.810","0.770","0.800","4,479,000"
08/07/2020,"0.740","0.770","0.740","0.760","956,000"
08/06/2020,"0.770","0.770","0.730","0.750","1,805,000"
08/05/2020,"0.780","0.780","0.740","0.760","5,459,000"
08/04/2020,"0.750","0.820","0.750","0.780","8,628,000"
08/03/2020,"0.730","0.770","0.730","0.760","2,527,000"
07/30/2020,"0.770","0.770","0.740","0.750","647,000"
07/29/2020,"0.710","0.770","0.710","0.760","1,369,000"
07/28/2020,"0.740","0.740","0.710","0.710","2,441,000"
07/27/2020,"0.760","0.790","0.730","0.740","7,525,000"
07/24/2020,"0.730","0.760","0.720","0.740","728,000"
07/23/2020,"0.750","0.750","0.730","0.730","510,000"
