Date,Open,High,Low,Close,Volume
12/27/2024,"11.02","11.20","11.00","11.20","500"
12/26/2024,"10.60","10.60","10.60","10.60","100"
12/20/2024,"11.36","11.38","11.36","11.38","13,300"
12/17/2024,"11.20","11.48","11.20","11.40","7,500"
12/16/2024,"11.00","11.00","11.00","11.00","13,300"
12/13/2024,"11.18","11.18","11.00","11.00","3,000"
12/12/2024,"11.16","11.18","11.16","11.18","3,500"
12/11/2024,"11.08","11.18","11.00","11.00","21,400"
12/10/2024,"11.18","11.18","11.18","11.18","100"
12/05/2024,"10.30","11.00","10.02","11.00","9,800"
12/04/2024,"10.58","10.58","10.50","10.58","1,500"
12/02/2024,"10.80","10.80","10.40","10.50","27,300"
11/29/2024,"11.10","11.10","11.10","11.10","200"
11/28/2024,"11.38","11.38","11.10","11.10","300"
11/27/2024,"10.86","10.86","10.80","10.80","2,700"
11/25/2024,"11.54","11.54","10.84","10.84","400"
11/21/2024,"10.82","11.60","10.82","11.60","200"
11/19/2024,"10.82","10.82","10.82","10.82","900"
11/18/2024,"11.62","11.62","10.64","10.64","15,200"
11/15/2024,"11.62","11.62","11.62","11.62","25,500"
11/13/2024,"10.64","10.64","10.62","10.62","300"
11/12/2024,"10.48","10.48","10.48","10.48","400"
11/07/2024,"11.10","11.10","11.00","11.00","2,100"
11/06/2024,"11.34","11.50","11.00","11.10","36,300"
11/05/2024,"10.80","11.00","10.80","11.00","9,500"
11/04/2024,"10.80","10.98","10.80","10.98","3,500"
10/31/2024,"10.76","10.80","10.76","10.80","10,800"
10/30/2024,"10.76","10.76","10.58","10.58","11,500"
10/29/2024,"10.82","10.82","10.76","10.76","1,500"
10/28/2024,"10.50","10.50","10.20","10.22","4,700"
10/24/2024,"10.90","10.90","10.90","10.90","100"
10/18/2024,"10.84","10.90","10.84","10.90","2,500"
10/17/2024,"10.60","10.60","10.40","10.40","1,700"
10/16/2024,"10.80","10.84","10.80","10.84","1,200"
10/15/2024,"10.28","10.28","10.28","10.28","100"
10/14/2024,"10.86","10.86","10.28","10.28","1,400"
10/11/2024,"10.22","10.22","10.22","10.22","100"
10/09/2024,"10.90","10.90","10.90","10.90","100"
10/08/2024,"10.30","10.40","10.30","10.30","1,600"
09/27/2024,"10.88","10.88","10.88","10.88","100"
09/24/2024,"10.86","10.86","10.86","10.86","300"
09/23/2024,"10.88","10.88","10.82","10.86","3,400"
09/20/2024,"10.90","10.90","10.90","10.90","2,000"
09/19/2024,"10.50","10.90","10.50","10.90","300"
09/18/2024,"10.20","10.20","10.20","10.20","1,000"
09/17/2024,"10.20","10.20","10.20","10.20","1,200"
09/16/2024,"10.10","10.94","10.10","10.16","2,000"
09/13/2024,"10.10","10.10","10.10","10.10","100"
09/12/2024,"10.10","10.10","10.10","10.10","300"
09/11/2024,"10.50","10.50","10.50","10.50","100"
09/10/2024,"10.98","10.98","10.00","10.00","5,600"
09/09/2024,"10.14","10.14","10.00","10.00","9,000"
09/06/2024,"11.00","11.00","11.00","11.00","300"
09/03/2024,"10.50","11.00","10.50","11.00","1,400"
09/02/2024,"11.00","11.00","10.00","10.00","8,000"
08/30/2024,"11.00","11.00","11.00","11.00","4,600"
08/29/2024,"11.00","11.00","11.00","11.00","2,000"
08/27/2024,"11.50","11.50","10.92","10.92","10,000"
08/22/2024,"12.10","12.10","11.00","12.10","3,200"
08/20/2024,"11.02","11.02","11.02","11.02","100"
08/15/2024,"10.98","11.02","10.98","11.02","700"
08/14/2024,"11.02","11.02","11.02","11.02","300"
08/13/2024,"11.98","11.98","11.98","11.98","300"
08/12/2024,"11.70","11.70","11.70","11.70","1,300"
08/08/2024,"12.00","12.00","12.00","12.00","800"
08/07/2024,"12.34","12.34","12.34","12.34","100"
08/06/2024,"12.52","12.52","12.52","12.52","100"
08/02/2024,"11.00","11.00","10.98","10.98","2,100"
08/01/2024,"11.00","12.70","11.00","11.00","3,900"
07/30/2024,"10.98","10.98","10.98","10.98","200"
07/29/2024,"10.96","10.96","10.96","10.96","2,000"
07/25/2024,"11.78","11.78","11.78","11.78","1,100"
07/23/2024,"12.00","12.00","12.00","12.00","100"
07/22/2024,"12.00","12.00","12.00","12.00","200"
07/19/2024,"11.00","12.48","10.98","12.48","1,700"
07/18/2024,"12.48","12.48","12.48","12.48","800"
07/17/2024,"12.44","12.50","12.44","12.50","1,700"
07/16/2024,"12.50","12.50","12.44","12.44","800"
07/15/2024,"11.50","12.78","11.50","11.50","5,100"
07/11/2024,"11.50","11.50","11.50","11.50","13,800"
07/09/2024,"11.50","11.50","11.50","11.50","100"
07/08/2024,"10.90","10.90","10.90","10.90","2,000"
07/05/2024,"12.74","12.74","12.70","12.70","200"
07/04/2024,"12.00","12.00","12.00","12.00","100"
07/03/2024,"12.00","12.00","12.00","12.00","100"
07/01/2024,"12.76","12.76","12.76","12.76","300"
06/28/2024,"10.92","10.92","10.90","10.90","1,600"
06/27/2024,"12.28","12.28","10.92","10.92","200"
06/26/2024,"12.30","12.30","12.30","12.30","15,400"
06/25/2024,"10.82","10.82","10.82","10.82","2,500"
06/24/2024,"11.00","11.00","10.82","10.82","3,100"
06/21/2024,"10.78","10.78","10.78","10.78","100"
06/18/2024,"12.78","12.78","12.78","12.78","500"
06/14/2024,"12.70","12.70","12.70","12.70","100"
06/13/2024,"12.80","12.80","12.80","12.80","1,100"
06/07/2024,"12.30","12.30","12.30","12.30","1,300"
06/04/2024,"12.80","12.80","12.80","12.80","1,100"
06/03/2024,"10.72","10.74","10.72","10.74","1,000"
05/31/2024,"12.70","12.70","12.70","12.70","100"
05/28/2024,"12.10","12.10","12.10","12.10","100"
05/27/2024,"12.86","12.86","11.90","12.00","4,100"
05/22/2024,"10.78","10.78","10.64","10.64","6,700"
05/21/2024,"13.02","13.02","13.02","13.02","1,000"
05/20/2024,"13.00","13.14","13.00","13.14","7,500"
05/17/2024,"11.52","11.52","11.52","11.52","500"
05/15/2024,"10.80","11.98","10.80","11.98","4,100"
05/14/2024,"10.70","10.70","10.70","10.70","400"
05/13/2024,"10.56","10.64","10.56","10.64","1,300"
05/10/2024,"10.98","11.20","10.98","11.20","10,200"
05/09/2024,"10.54","10.98","10.54","10.98","3,500"
05/07/2024,"11.00","11.00","10.56","10.56","1,000"
04/30/2024,"10.80","11.00","10.80","11.00","11,800"
04/26/2024,"10.54","11.00","10.54","11.00","500"
04/25/2024,"10.54","11.00","10.54","10.54","3,700"
04/24/2024,"11.00","11.00","11.00","11.00","900"
04/23/2024,"12.00","12.00","12.00","12.00","1,500"
04/22/2024,"12.00","12.02","12.00","12.02","7,200"
04/19/2024,"12.00","12.00","12.00","12.00","1,000"
04/18/2024,"10.50","12.02","10.50","12.02","3,500"
04/17/2024,"10.50","10.50","10.50","10.50","2,400"
04/16/2024,"10.86","11.00","10.50","10.50","35,400"
04/15/2024,"10.60","10.60","10.60","10.60","3,200"
04/12/2024,"10.56","10.56","10.56","10.56","1,800"
04/11/2024,"12.02","12.02","11.90","11.90","1,000"
04/03/2024,"12.50","12.50","12.02","12.02","23,500"
04/02/2024,"12.04","12.20","12.04","12.20","200"
04/01/2024,"12.60","12.60","12.20","12.20","900"
03/26/2024,"12.50","12.50","12.20","12.20","23,600"
03/25/2024,"12.50","12.50","12.50","12.50","4,500"
03/22/2024,"12.54","12.54","12.54","12.54","18,600"
03/21/2024,"12.58","12.58","12.54","12.54","16,700"
03/20/2024,"12.88","12.88","12.58","12.58","12,800"
03/19/2024,"12.90","12.90","12.90","12.90","500"
03/18/2024,"12.56","12.90","12.56","12.90","800"
03/15/2024,"12.90","12.90","12.90","12.90","1,100"
03/14/2024,"12.58","13.08","12.54","12.90","5,700"
03/13/2024,"12.80","12.84","12.80","12.84","5,800"
03/12/2024,"12.82","13.18","12.80","12.80","22,500"
03/11/2024,"13.00","13.00","12.88","13.00","9,000"
03/08/2024,"13.00","13.00","13.00","13.00","4,200"
03/07/2024,"13.02","13.02","13.02","13.02","17,000"
03/06/2024,"13.26","13.26","12.98","13.02","12,200"
03/05/2024,"13.02","13.20","13.00","13.02","362,300"
03/04/2024,"13.30","13.30","13.00","13.24","7,400"
03/01/2024,"13.06","13.20","13.00","13.00","20,200"
02/29/2024,"13.10","13.10","13.00","13.02","4,300"
02/28/2024,"13.10","13.10","13.10","13.10","4,400"
02/27/2024,"13.12","13.12","13.10","13.10","5,100"
02/26/2024,"13.12","13.50","13.12","13.12","5,400"
02/23/2024,"13.40","13.52","13.12","13.12","146,000"
02/22/2024,"13.30","13.50","12.10","13.40","257,500"
02/21/2024,"13.40","13.40","13.30","13.30","319,600"
02/20/2024,"18.00","19.04","18.00","19.00","132,600"
02/19/2024,"18.86","18.90","18.00","18.06","111,700"
02/16/2024,"18.76","18.92","18.76","18.88","91,700"
02/15/2024,"18.98","18.98","18.56","18.76","66,600"
02/14/2024,"19.00","19.30","18.40","18.90","94,200"
02/13/2024,"21.00","21.00","18.54","19.00","132,700"
02/12/2024,"21.40","22.40","20.05","21.10","376,800"
02/08/2024,"17.80","21.90","17.80","21.20","348,200"
02/07/2024,"17.50","18.00","17.00","17.50","54,300"
02/06/2024,"15.00","17.50","15.00","17.50","52,600"
02/05/2024,"13.00","15.00","12.80","15.00","120,600"
02/02/2024,"12.90","13.00","12.90","13.00","14,700"
02/01/2024,"12.90","12.90","12.90","12.90","100"
