Date,Open,High,Low,Close,Volume
12/29/2020,"15.26","15.26","14.64","14.64","7,600"
12/28/2020,"15.30","15.30","15.28","15.28","1,500"
12/23/2020,"14.64","15.34","14.64","14.68","4,000"
12/22/2020,"14.64","15.48","14.64","14.64","9,000"
12/21/2020,"15.22","15.22","15.00","15.22","4,700"
12/18/2020,"15.20","16.30","15.20","15.22","10,100"
12/17/2020,"16.20","16.20","15.20","15.20","36,000"
12/16/2020,"17.00","17.00","15.72","16.30","14,400"
12/15/2020,"16.30","17.00","16.30","16.46","72,600"
12/14/2020,"15.10","15.72","15.10","15.66","24,600"
12/11/2020,"14.58","15.30","14.58","15.00","11,100"
12/10/2020,"14.36","14.56","14.34","14.56","7,400"
12/09/2020,"14.90","15.00","14.50","14.50","22,800"
12/07/2020,"15.20","15.20","14.86","14.90","23,500"
12/04/2020,"15.30","15.30","15.00","15.00","21,500"
12/03/2020,"15.50","16.28","15.00","15.30","33,000"
12/02/2020,"15.70","15.70","15.14","15.50","17,100"
12/01/2020,"15.56","15.70","15.56","15.70","8,900"
11/27/2020,"15.98","17.80","15.32","15.98","52,600"
11/26/2020,"15.60","15.80","15.10","15.80","20,400"
11/25/2020,"16.40","16.40","15.30","15.80","30,400"
11/24/2020,"16.20","16.42","15.16","16.40","50,100"
11/23/2020,"17.26","17.26","16.08","16.70","36,900"
11/20/2020,"17.80","17.80","17.02","17.28","62,900"
11/19/2020,"18.00","18.00","17.00","17.80","159,800"
11/18/2020,"19.80","20.75","19.10","20.40","133,500"
11/17/2020,"20.95","20.95","18.50","19.88","118,300"
11/16/2020,"23.00","24.10","19.60","20.45","275,100"
11/13/2020,"19.20","23.80","19.10","22.80","391,900"
11/11/2020,"16.20","19.20","16.20","19.00","291,600"
11/10/2020,"15.10","16.60","15.10","16.00","110,000"
11/09/2020,"12.50","13.40","12.20","13.40","8,700"
11/06/2020,"12.20","12.40","12.00","12.40","2,500"
11/05/2020,"12.20","12.20","12.20","12.20","3,500"
11/04/2020,"12.20","12.20","12.20","12.20","2,300"
11/03/2020,"11.90","12.02","11.90","12.02","13,800"
10/30/2020,"11.20","11.60","11.20","11.60","5,000"
10/29/2020,"11.20","11.20","11.02","11.20","5,900"
10/28/2020,"11.20","11.40","11.20","11.20","1,400"
10/27/2020,"11.42","11.42","11.40","11.40","5,500"
10/26/2020,"11.50","11.50","11.42","11.42","11,000"
10/23/2020,"11.44","11.50","11.40","11.42","17,200"
10/22/2020,"11.52","11.52","11.50","11.50","3,000"
10/21/2020,"12.26","12.26","11.44","11.50","14,600"
10/20/2020,"11.80","11.80","11.50","11.50","10,300"
10/15/2020,"12.00","12.00","11.80","11.80","900"
10/14/2020,"11.56","11.56","11.56","11.56","100"
10/13/2020,"11.56","11.56","11.56","11.56","200"
10/12/2020,"11.58","11.58","11.56","11.56","1,000"
10/09/2020,"12.48","12.48","12.48","12.48","1,000"
10/08/2020,"11.52","11.52","11.52","11.52","1,000"
10/07/2020,"11.54","11.54","11.54","11.54","800"
10/06/2020,"11.54","11.54","11.54","11.54","2,500"
10/05/2020,"11.90","11.90","11.52","11.52","3,300"
10/02/2020,"11.42","12.00","11.42","12.00","11,600"
10/01/2020,"12.00","12.00","12.00","12.00","100"
09/30/2020,"12.00","12.00","12.00","12.00","1,600"
09/29/2020,"12.00","12.00","12.00","12.00","8,300"
09/25/2020,"12.46","12.46","12.44","12.44","2,700"
09/23/2020,"12.00","12.00","11.52","11.52","500"
09/22/2020,"12.50","12.50","12.00","12.00","1,100"
09/21/2020,"11.50","12.98","11.50","12.00","17,400"
09/17/2020,"11.40","11.40","11.40","11.40","1,000"
09/16/2020,"11.44","11.44","11.40","11.40","1,000"
09/15/2020,"11.50","11.50","11.50","11.50","500"
09/14/2020,"11.46","11.50","11.46","11.50","2,000"
09/11/2020,"11.46","11.46","11.46","11.46","1,000"
09/10/2020,"11.46","11.46","11.46","11.46","1,000"
09/07/2020,"11.46","11.46","11.44","11.46","5,800"
09/03/2020,"12.00","12.00","12.00","12.00","5,000"
09/02/2020,"12.00","12.00","11.44","11.44","5,300"
09/01/2020,"12.00","12.00","12.00","12.00","1,900"
08/28/2020,"12.00","12.00","12.00","12.00","100"
08/27/2020,"12.16","12.16","12.00","12.00","3,900"
08/26/2020,"12.36","12.36","11.32","12.18","3,600"
08/25/2020,"11.90","11.92","11.30","11.30","4,700"
08/24/2020,"11.40","11.40","11.30","11.30","4,200"
08/20/2020,"12.98","12.98","11.10","11.40","29,900"
08/19/2020,"11.96","13.00","11.12","12.98","1,400"
08/18/2020,"11.10","13.46","11.10","12.00","71,200"
08/17/2020,"10.84","11.20","10.84","11.20","10,700"
08/14/2020,"11.00","11.00","11.00","11.00","1,000"
08/10/2020,"10.90","11.00","10.90","11.00","16,700"
08/07/2020,"11.00","11.00","11.00","11.00","2,600"
07/28/2020,"11.48","11.48","11.48","11.48","200"
07/27/2020,"11.00","11.50","11.00","11.50","15,400"
07/24/2020,"11.00","11.00","11.00","11.00","5,800"
07/23/2020,"11.12","11.12","11.02","11.02","1,300"
07/21/2020,"11.10","11.10","11.00","11.00","2,000"
07/20/2020,"11.12","11.12","11.10","11.12","2,300"
07/17/2020,"11.12","11.14","11.12","11.14","2,100"
07/16/2020,"11.50","11.50","11.14","11.14","2,000"
07/15/2020,"11.50","11.50","11.50","11.50","2,700"
07/14/2020,"11.50","11.50","11.02","11.12","2,000"
