Date,Open,High,Low,Close,Volume
12/31/2021,"26.00","26.00","25.85","26.00","11,900"
12/29/2021,"26.00","26.05","25.90","26.05","197,500"
12/28/2021,"25.85","26.00","25.85","26.00","112,700"
12/27/2021,"25.80","26.00","25.80","26.00","113,700"
12/24/2021,"25.95","26.00","25.95","26.00","90,200"
12/23/2021,"25.90","25.95","25.85","25.95","175,900"
12/22/2021,"25.95","25.95","25.80","25.95","135,600"
12/21/2021,"25.90","25.95","25.85","25.95","201,200"
12/20/2021,"25.75","25.95","25.75","25.90","401,400"
12/17/2021,"25.90","25.90","25.85","25.90","106,400"
12/16/2021,"25.75","25.90","25.65","25.90","97,900"
12/15/2021,"25.80","25.80","25.65","25.80","87,000"
12/14/2021,"25.95","25.95","25.50","25.75","141,400"
12/13/2021,"25.70","25.95","25.45","25.95","245,500"
12/10/2021,"25.65","25.70","25.55","25.70","129,000"
12/09/2021,"25.60","25.65","25.55","25.65","194,200"
12/07/2021,"25.45","25.60","25.20","25.60","221,100"
12/06/2021,"25.30","25.45","25.00","25.45","123,200"
12/03/2021,"25.00","25.30","24.70","25.30","38,400"
12/02/2021,"24.50","25.25","24.50","25.00","146,600"
12/01/2021,"25.15","25.15","24.75","24.80","213,900"
11/29/2021,"25.40","25.40","25.10","25.15","172,200"
11/26/2021,"25.50","25.50","25.30","25.40","321,200"
11/25/2021,"25.30","25.80","25.25","25.30","258,500"
11/24/2021,"25.25","25.30","25.15","25.30","125,500"
11/23/2021,"25.20","25.30","25.15","25.25","102,500"
11/22/2021,"25.30","25.40","25.15","25.15","214,600"
11/19/2021,"25.30","25.35","25.20","25.30","320,000"
11/18/2021,"25.30","25.40","25.10","25.20","35,400"
11/17/2021,"25.15","25.30","25.10","25.30","46,600"
11/16/2021,"25.30","25.30","25.00","25.25","113,600"
11/15/2021,"25.20","25.45","25.20","25.40","57,400"
11/12/2021,"25.50","25.50","25.10","25.20","143,500"
11/11/2021,"25.50","26.50","25.00","25.00","968,800"
11/10/2021,"25.00","25.20","25.00","25.10","130,100"
11/09/2021,"24.70","24.95","24.70","24.95","799,400"
11/08/2021,"24.50","24.75","24.45","24.70","237,100"
11/05/2021,"24.45","24.55","24.45","24.55","267,100"
11/04/2021,"24.10","24.45","24.10","24.45","231,300"
11/03/2021,"24.10","24.20","24.05","24.15","35,700"
11/02/2021,"24.15","24.15","24.00","24.15","23,400"
10/29/2021,"24.10","24.20","23.90","24.15","130,100"
10/28/2021,"24.40","24.40","24.10","24.35","33,600"
10/27/2021,"24.40","24.45","24.15","24.40","1,039,000"
10/26/2021,"24.40","24.40","24.20","24.40","20,400"
10/25/2021,"24.45","24.45","24.35","24.40","229,900"
10/22/2021,"24.45","24.45","24.30","24.45","680,900"
10/21/2021,"24.15","24.45","24.15","24.30","421,800"
10/20/2021,"24.30","24.40","24.10","24.40","74,300"
10/19/2021,"24.50","24.50","24.15","24.20","75,500"
10/18/2021,"24.65","24.75","24.00","24.10","76,100"
10/15/2021,"24.10","24.70","24.10","24.65","229,200"
10/14/2021,"24.20","24.40","24.00","24.40","583,300"
10/13/2021,"23.90","24.00","23.75","23.90","292,300"
10/12/2021,"24.00","24.00","23.90","23.90","96,800"
10/11/2021,"23.85","24.00","23.80","23.95","186,700"
10/08/2021,"23.80","23.95","23.80","23.85","73,100"
10/07/2021,"23.95","23.95","23.80","23.80","14,600"
10/06/2021,"23.90","23.95","23.80","23.80","67,200"
10/05/2021,"23.95","23.95","23.90","23.90","23,900"
10/04/2021,"24.00","24.00","23.90","24.00","36,100"
10/01/2021,"24.10","24.15","23.95","24.00","71,400"
09/30/2021,"24.15","24.15","24.05","24.15","47,100"
09/29/2021,"24.15","24.15","23.95","24.00","53,400"
09/28/2021,"24.00","24.10","24.00","24.10","56,400"
09/27/2021,"23.95","24.05","23.95","24.00","72,200"
09/24/2021,"23.95","24.00","23.90","23.95","62,700"
09/23/2021,"24.05","24.05","24.00","24.00","81,100"
09/22/2021,"24.10","24.10","24.00","24.05","297,900"
09/21/2021,"24.05","24.10","24.00","24.10","6,200"
09/20/2021,"24.20","24.20","24.00","24.05","72,100"
09/17/2021,"24.20","24.20","24.05","24.20","116,400"
09/16/2021,"24.40","24.40","24.05","24.20","19,000"
09/15/2021,"24.40","24.40","24.05","24.20","38,500"
09/14/2021,"24.20","24.30","24.10","24.10","113,700"
09/13/2021,"24.40","24.40","24.25","24.40","64,500"
09/10/2021,"24.50","24.50","24.35","24.40","18,900"
09/09/2021,"24.30","24.60","24.30","24.50","88,000"
09/08/2021,"24.15","24.40","24.15","24.30","41,500"
09/07/2021,"24.40","24.40","24.10","24.10","288,800"
09/06/2021,"24.20","24.50","24.20","24.50","30,400"
09/03/2021,"24.50","24.50","24.20","24.20","30,800"
09/02/2021,"24.25","24.35","24.20","24.25","83,500"
09/01/2021,"24.40","24.50","24.15","24.50","106,700"
08/31/2021,"24.35","24.50","24.15","24.50","156,200"
08/27/2021,"24.25","24.35","24.20","24.35","61,300"
08/26/2021,"24.30","24.40","24.25","24.25","73,900"
08/25/2021,"24.30","24.40","24.10","24.10","20,200"
08/24/2021,"24.50","24.70","24.00","24.10","39,400"
08/23/2021,"24.40","24.75","24.40","24.45","31,200"
08/20/2021,"24.50","24.50","24.40","24.40","200"
08/19/2021,"24.25","24.40","24.25","24.40","495,900"
08/18/2021,"24.75","24.75","24.25","24.25","1,600"
08/17/2021,"24.95","24.95","24.25","24.70","21,000"
08/16/2021,"24.20","24.25","24.20","24.25","12,300"
08/13/2021,"24.55","24.55","24.50","24.50","159,200"
08/12/2021,"24.90","24.90","24.55","24.55","7,200"
08/11/2021,"24.90","24.90","24.55","24.90","5,900"
08/10/2021,"24.50","24.95","24.50","24.95","26,900"
08/09/2021,"24.40","24.50","24.00","24.50","24,800"
08/06/2021,"24.20","24.50","24.00","24.30","44,400"
08/05/2021,"24.15","24.20","24.00","24.00","15,900"
