Date,Open,High,Low,Close,Volume
2021-03-29,38.5,40.0,38.05,39.5,422500
2021-03-30,39.1,41.5,39.1,40.8,305300
2021-03-31,40.6,41.0,40.2,40.7,88300
2021-04-05,40.7,41.0,40.7,40.9,159400
2021-04-06,40.9,40.95,40.75,40.9,124400
2021-04-07,41.0,41.3,40.9,41.2,160400
2021-04-08,41.25,42.8,41.25,42.6,255200
2021-04-12,42.8,43.55,42.6,43.45,247400
2021-04-13,43.5,43.5,42.85,43.3,30800
2021-04-14,43.5,45.95,43.3,45.05,175800
2021-04-15,45.9,45.9,44.25,45.3,71000
2021-04-16,45.4,47.5,45.4,47.5,230600
2021-04-19,47.45,47.45,44.05,45.5,166600
2021-04-20,45.5,45.6,45.0,45.25,67000
2021-04-21,45.25,45.9,45.1,45.7,46300
2021-04-22,45.3,45.45,45.2,45.25,36400
2021-04-23,45.05,45.1,44.0,44.0,155500
2021-04-26,44.0,44.8,43.1,43.4,45100
2021-04-27,43.6,44.7,43.05,43.8,28800
2021-04-28,44.0,44.15,43.5,44.15,72900
2021-04-29,43.65,45.9,43.65,44.4,112900
2021-04-30,44.4,45.0,44.2,45.0,58800
2021-05-03,44.15,44.5,43.65,44.3,46700
2021-05-04,44.35,45.0,44.35,44.4,70100
2021-05-05,44.5,44.55,44.4,44.55,44900
2021-05-06,44.45,44.6,44.25,44.25,301700
2021-05-07,44.25,44.25,43.95,44.15,269200
2021-05-10,44.15,45.5,44.1,44.4,353200
2021-05-11,44.45,45.0,44.45,44.5,71300
2021-05-12,44.5,44.6,44.45,44.5,50300
2021-05-14,44.5,44.55,44.0,44.05,58300
2021-05-17,44.0,44.05,43.9,44.05,220800
2021-05-18,44.0,44.05,43.9,43.9,45800
2021-05-19,43.95,43.95,42.9,43.1,81100
2021-05-20,43.1,43.15,42.8,42.8,45900
2021-05-21,42.8,43.0,42.6,42.75,20100
2021-05-24,42.8,42.8,42.15,42.15,36600
2021-05-25,42.1,42.15,41.9,42.0,149000
2021-05-26,41.95,41.95,41.65,41.65,239300
2021-05-27,41.95,42.9,41.45,41.85,346300
2021-05-28,41.9,42.0,41.55,41.8,105700
2021-05-31,41.9,42.6,41.9,42.6,104900
2021-06-01,42.35,42.35,41.95,42.15,131000
2021-06-02,42.15,43.0,42.15,42.9,83500
2021-06-03,43.5,44.7,43.0,44.6,192900
2021-06-04,44.6,45.7,44.6,45.65,144800
2021-06-07,46.0,46.45,45.65,45.85,108600
2021-06-08,46.0,46.0,45.65,45.9,118500
2021-06-09,45.9,47.5,45.9,47.45,131400
2021-06-10,47.5,48.2,46.8,48.15,106300
2021-06-11,48.2,48.3,48.1,48.2,221000
2021-06-14,48.3,50.0,48.15,49.3,115600
2021-06-15,50.0,52.5,49.7,51.5,288800
2021-06-16,52.0,53.2,51.6,53.05,169370
2021-06-17,53.05,53.35,50.25,51.5,151390
2021-06-18,51.5,51.5,49.2,50.25,181740
2021-06-21,50.2,50.2,49.6,50.0,132960
2021-06-22,49.85,51.5,49.85,51.5,89120
2021-06-23,51.95,52.0,51.25,51.5,65100
2021-06-24,51.35,51.5,51.35,51.45,105630
2021-06-25,51.45,51.7,51.45,51.7,30540
2021-06-28,51.7,51.75,51.35,51.35,73110
2021-06-29,51.0,51.65,50.35,51.55,48360
2021-06-30,51.7,53.2,51.6,53.0,166780
2021-07-01,52.15,52.9,52.15,52.8,48520
2021-07-02,52.8,52.8,51.6,51.7,77040
2021-07-05,51.7,51.8,51.65,51.75,612550
2021-07-06,51.7,51.85,51.35,51.5,129050
2021-07-07,51.45,51.6,51.0,51.0,81890
2021-07-08,51.0,51.05,50.6,50.65,122100
2021-07-09,50.6,50.6,48.0,49.0,150660
2021-07-12,49.0,49.1,48.5,49.0,199300
2021-07-13,49.0,49.0,47.5,47.6,85500
2021-07-14,47.5,47.5,46.5,46.8,160800
2021-07-15,46.55,47.0,46.55,47.0,46400
2021-07-16,47.8,47.8,45.1,45.2,398700
2021-07-19,45.2,46.0,45.0,45.1,139600
2021-07-21,45.1,45.1,45.0,45.05,48200
2021-07-22,45.1,45.2,45.0,45.1,22600
2021-07-23,45.1,45.1,45.0,45.0,82800
2021-07-26,45.0,45.0,43.5,45.0,19100
2021-07-27,45.0,45.8,45.0,45.5,17900
2021-07-28,45.5,45.5,44.9,44.9,19800
2021-07-29,44.9,45.45,44.9,45.45,4700
2021-07-30,45.05,45.05,44.35,44.35,44500
2021-08-02,44.4,44.4,43.6,43.6,19600
2021-08-03,43.6,43.8,43.25,43.8,19300
2021-08-04,43.8,43.9,43.55,43.9,67100
2021-08-05,45.0,45.0,43.8,44.0,22400
2021-08-06,44.1,44.1,43.95,44.0,45100
2021-08-09,43.95,44.8,43.95,44.8,19400
2021-08-10,44.95,45.0,44.2,44.65,77000
2021-08-11,44.6,45.2,44.6,45.0,39200
2021-08-12,45.0,45.0,44.05,44.15,4100
2021-08-13,44.1,44.2,43.9,43.9,37700
2021-08-16,43.9,43.95,43.9,43.9,18600
2021-08-17,43.9,43.9,43.55,43.6,26900
2021-08-18,43.55,44.0,43.5,43.6,4400
2021-08-19,43.6,43.6,43.55,43.55,8300
2021-08-20,43.8,43.8,43.8,43.8,400
2021-08-23,43.8,44.75,43.6,43.9,110300
2021-08-24,43.9,43.9,43.7,43.8,29000
2021-08-25,43.8,44.0,43.8,43.8,103700
2021-08-26,44.0,44.0,43.7,43.7,44400
2021-08-27,43.7,43.7,43.6,43.6,31000
2021-08-31,43.6,43.6,43.5,43.5,59200
2021-09-01,43.5,43.5,43.45,43.45,23000
2021-09-02,43.45,43.45,43.25,43.3,57200
2021-09-03,43.25,43.25,43.15,43.15,148700
2021-09-06,43.15,43.3,43.15,43.15,112400
2021-09-07,43.2,43.25,43.15,43.2,26100
2021-09-08,43.2,43.25,43.2,43.2,98500
2021-09-09,43.3,43.3,43.2,43.2,44400
2021-09-10,43.2,43.2,43.2,43.2,10600
2021-09-13,43.2,43.2,43.15,43.15,60200
2021-09-14,43.2,43.2,42.85,42.85,81100
2021-09-15,42.85,42.9,42.1,42.1,78100
2021-09-16,42.05,42.05,41.0,41.0,422000
2021-09-17,41.0,41.0,40.3,40.4,125200
2021-09-20,40.4,40.4,38.55,38.6,231500
2021-09-21,38.6,39.45,38.6,38.65,80000
2021-09-22,38.6,38.95,38.55,38.6,261900
2021-09-23,38.95,39.05,38.6,39.05,253100
2021-09-24,39.3,40.0,39.05,39.85,153100
2021-09-27,40.0,40.0,39.85,40.0,202600
2021-09-28,39.95,39.95,39.1,39.1,84300
2021-09-29,39.1,39.9,38.9,38.9,87600
2021-09-30,38.95,39.0,38.9,39.0,47600
2021-10-01,39.0,39.7,38.9,39.0,77400
2021-10-04,39.6,40.9,39.1,40.6,97700
2021-10-05,40.6,40.6,39.5,40.5,21500
2021-10-06,40.5,42.8,39.9,42.35,75000
2021-10-07,42.9,42.95,41.55,41.55,21000
2021-10-08,42.2,42.35,40.05,40.85,6700
2021-10-11,41.55,41.55,40.85,41.2,5800
2021-10-12,41.55,41.75,41.3,41.3,33300
2021-10-13,42.3,42.3,41.3,41.5,91700
2021-10-14,41.5,44.8,41.5,43.1,267200
2021-10-15,43.4,44.9,43.4,44.65,81000
2021-10-18,44.8,45.05,43.85,44.8,105900
2021-10-19,44.8,44.9,44.55,44.55,26900
2021-10-20,44.55,44.55,42.85,44.0,220400
2021-10-21,44.45,44.45,43.45,43.5,14500
2021-10-22,43.5,43.6,43.45,43.6,29700
2021-10-25,43.55,44.1,43.55,44.0,31200
2021-10-26,44.0,44.3,44.0,44.1,66900
2021-10-27,44.1,44.7,43.85,44.6,10300
2021-10-28,44.05,44.15,44.05,44.15,7600
2021-10-29,44.05,44.5,44.0,44.0,30200
2021-11-02,44.45,44.45,43.85,43.85,1600
2021-11-03,43.85,45.25,43.85,45.25,34100
2021-11-04,45.25,45.25,45.0,45.0,17900
2021-11-05,45.25,45.6,44.3,45.6,49700
2021-11-08,45.6,47.95,45.6,47.85,222800
2021-11-09,47.85,50.0,47.85,49.8,134900
2021-11-10,49.65,49.65,48.2,48.35,30200
2021-11-11,48.25,48.25,47.7,47.7,54500
2021-11-12,47.1,47.7,47.1,47.7,7500
2021-11-15,47.5,48.55,47.5,47.85,33900
2021-11-16,47.95,48.3,47.95,48.3,16700
2021-11-17,48.05,48.5,48.05,48.4,11300
2021-11-18,48.15,48.2,48.0,48.0,58500
2021-11-19,47.9,47.9,47.7,47.8,79500
2021-11-22,47.85,47.9,47.8,47.8,4500
2021-11-23,47.05,48.25,47.05,48.2,23500
2021-11-24,48.25,49.4,48.25,48.5,42300
2021-11-25,48.3,48.5,48.25,48.5,22200
2021-11-26,48.2,48.5,47.7,47.7,8300
2021-11-29,47.3,47.3,44.5,46.0,63000
2021-12-01,44.9,44.9,42.5,42.7,34400
2021-12-02,43.0,43.5,42.5,43.5,7700
2021-12-03,43.1,43.5,43.1,43.5,11200
2021-12-06,43.3,44.45,43.2,44.45,29400
2021-12-07,43.6,44.45,43.5,44.45,5200
2021-12-09,44.45,44.5,44.35,44.5,54700
2021-12-10,44.5,45.0,44.5,45.0,47200
