Date,Open,High,Low,Close,Volume
12/29/2020,"5.77","5.77","5.75","5.75","2,400"
12/17/2020,"5.77","5.77","5.77","5.77","360"
12/15/2020,"5.75","5.75","5.75","5.75","3,840"
12/09/2020,"5.83","5.83","5.83","5.83","3,240"
12/03/2020,"5.83","5.83","5.83","5.83","1,560"
12/02/2020,"5.83","5.83","5.83","5.83","120"
12/01/2020,"5.83","5.83","5.83","5.83","2,400"
11/24/2020,"5.71","5.75","5.71","5.75","6,960"
11/18/2020,"5.83","5.83","5.83","5.83","2,160"
11/17/2020,"5.83","5.83","5.83","5.83","240"
11/16/2020,"5.83","5.83","5.42","5.42","960"
11/11/2020,"5.83","5.83","5.83","5.83","120"
11/10/2020,"5.82","5.82","5.82","5.82","1,200"
11/06/2020,"5.82","5.83","5.82","5.83","2,760"
11/05/2020,"5.82","5.82","5.82","5.82","240"
11/04/2020,"5.82","5.82","5.82","5.82","240"
11/03/2020,"5.41","5.41","5.41","5.41","120"
10/29/2020,"5.41","5.41","5.41","5.41","120"
10/23/2020,"5.41","5.41","5.41","5.41","120"
10/22/2020,"5.42","5.42","5.42","5.42","96,000"
10/21/2020,"5.42","5.42","5.42","5.42","120"
10/19/2020,"5.42","5.42","5.42","5.42","120"
10/13/2020,"5.42","5.42","5.42","5.42","2,280"
10/12/2020,"5.42","5.42","5.42","5.42","1,320"
10/09/2020,"5.41","5.41","5.41","5.41","240"
10/07/2020,"5.42","5.42","5.42","5.42","4,200"
10/01/2020,"5.42","5.42","5.42","5.42","120"
09/30/2020,"5.41","5.41","5.41","5.41","240"
09/29/2020,"5.41","5.41","5.41","5.41","1,200"
09/22/2020,"5.41","5.41","5.41","5.41","360"
09/10/2020,"5.27","5.27","5.27","5.27","1,200"
09/07/2020,"5.25","5.25","5.25","5.25","2,400"
09/04/2020,"5.50","5.50","5.50","5.50","2,400"
09/03/2020,"5.41","5.41","5.41","5.41","1,200"
08/24/2020,"5.25","5.41","5.25","5.41","960"
08/19/2020,"5.33","5.33","5.33","5.33","960"
08/18/2020,"5.25","5.25","5.25","5.25","240"
08/04/2020,"5.41","5.41","5.26","5.26","3,720"
08/03/2020,"5.41","5.41","5.41","5.41","600"
07/22/2020,"5.40","5.40","5.40","5.40","480"
07/21/2020,"5.26","5.26","5.26","5.26","120"
07/20/2020,"5.40","5.40","5.40","5.40","360"
07/17/2020,"5.25","5.25","5.25","5.25","120"
07/14/2020,"5.40","5.40","5.40","5.40","240"
07/13/2020,"5.25","5.25","5.25","5.25","4,200"
07/10/2020,"5.25","5.25","5.25","5.25","6,120"
07/08/2020,"5.40","5.40","5.33","5.33","240"
07/01/2020,"5.25","5.25","5.25","5.25","1,080"
06/30/2020,"5.25","5.25","5.25","5.25","120"
06/29/2020,"5.25","5.25","5.25","5.25","1,920"
06/25/2020,"5.37","5.37","5.37","5.37","240"
06/24/2020,"5.25","5.25","5.25","5.25","2,040"
06/23/2020,"5.30","5.30","5.30","5.30","3,000"
06/22/2020,"5.30","5.30","5.30","5.30","840"
06/19/2020,"5.25","5.25","5.25","5.25","360"
06/18/2020,"5.25","5.25","5.25","5.25","480"
06/17/2020,"5.39","5.39","5.25","5.25","4,800"
06/15/2020,"5.40","5.40","5.16","5.38","1,560"
06/11/2020,"5.08","5.41","5.08","5.40","2,040"
06/10/2020,"5.09","5.10","5.09","5.09","7,800"
06/08/2020,"5.08","5.40","5.08","5.40","840"
06/05/2020,"5.01","5.01","5.01","5.01","1,200"
06/03/2020,"5.20","5.25","5.20","5.25","26,880"
06/02/2020,"5.22","5.22","5.22","5.22","120"
05/29/2020,"4.63","4.67","4.63","4.67","960"
05/28/2020,"4.59","4.59","4.59","4.59","1,200"
05/22/2020,"5.24","5.24","5.24","5.24","240"
05/20/2020,"5.00","5.00","5.00","5.00","2,400"
05/19/2020,"5.00","5.00","5.00","5.00","360"
05/18/2020,"5.24","5.24","5.00","5.00","3,840"
05/15/2020,"5.25","5.25","5.24","5.24","1,080"
05/12/2020,"5.24","5.24","5.02","5.02","1,680"
05/11/2020,"5.03","5.03","5.03","5.03","1,200"
05/08/2020,"5.03","5.03","5.03","5.03","480"
05/06/2020,"5.05","5.05","5.05","5.05","1,200"
05/05/2020,"5.01","5.14","5.01","5.13","1,320"
05/04/2020,"5.22","5.22","5.22","5.22","1,320"
04/30/2020,"5.21","5.22","5.21","5.22","2,400"
04/29/2020,"5.08","5.17","5.08","5.17","3,240"
04/27/2020,"5.41","5.41","5.41","5.41","720"
04/23/2020,"5.21","5.21","5.21","5.21","12,600"
04/22/2020,"5.01","5.02","5.01","5.02","1,080"
04/20/2020,"5.01","5.01","5.01","5.01","600"
04/17/2020,"5.46","5.46","5.42","5.42","1,320"
04/16/2020,"5.39","5.39","5.39","5.39","1,200"
04/15/2020,"5.57","5.57","5.57","5.57","120"
04/14/2020,"5.62","5.62","5.62","5.62","240"
04/13/2020,"5.42","5.42","5.42","5.42","1,800"
04/07/2020,"5.49","5.49","5.49","5.49","1,080"
04/02/2020,"5.06","5.06","5.06","5.06","1,200"
03/31/2020,"5.65","5.67","5.65","5.66","1,560"
03/30/2020,"5.03","5.03","5.03","5.03","7,200"
03/27/2020,"5.02","5.02","5.02","5.02","240"
03/23/2020,"5.75","5.75","5.42","5.42","240"
03/20/2020,"5.55","5.55","4.67","4.67","960"
03/19/2020,"5.00","5.00","4.58","4.58","7,800"
03/16/2020,"5.17","5.17","5.17","5.17","2,400"
03/13/2020,"5.02","5.02","5.00","5.00","20,400"
03/12/2020,"5.08","5.10","5.08","5.08","9,000"
03/11/2020,"5.59","5.59","5.42","5.42","15,720"
03/10/2020,"5.42","5.42","5.42","5.42","14,400"
03/03/2020,"5.43","5.43","5.43","5.43","120"
02/28/2020,"5.43","5.43","5.43","5.43","360"
02/24/2020,"5.43","5.43","5.43","5.43","16,920"
02/19/2020,"5.43","5.43","5.43","5.43","9,960"
02/17/2020,"5.61","5.61","5.61","5.61","360"
02/11/2020,"5.43","5.43","5.43","5.43","1,320"
02/06/2020,"5.43","5.43","5.42","5.42","6,000"
01/31/2020,"5.48","5.48","5.42","5.42","10,440"
01/30/2020,"5.48","5.86","5.42","5.86","12,840"
01/28/2020,"5.87","5.87","5.87","5.87","240"
01/24/2020,"5.87","5.87","5.87","5.87","120"
01/14/2020,"5.87","5.87","5.87","5.87","1,200"
01/03/2020,"5.90","5.90","5.90","5.90","240"
01/02/2020,"5.90","5.90","5.90","5.90","120"
