Date,Open,High,Low,Close,Volume
12/19/2022,"15.30","17.28","15.16","17.10","2,300"
12/16/2022,"16.34","17.28","16.34","17.28","2,400"
12/13/2022,"17.48","17.48","17.48","17.48","600"
12/12/2022,"17.00","17.42","17.00","17.42","600"
12/05/2022,"17.00","17.00","16.88","17.00","2,400"
12/02/2022,"17.40","17.50","17.40","17.50","1,000"
12/01/2022,"17.40","17.40","17.00","17.40","1,800"
11/29/2022,"17.40","17.50","17.40","17.40","2,000"
11/28/2022,"16.10","17.50","16.10","17.50","700"
11/24/2022,"17.60","17.60","17.60","17.60","800"
11/23/2022,"17.70","17.70","17.70","17.70","400"
11/22/2022,"17.00","17.80","17.00","17.60","1,400"
11/21/2022,"17.60","17.60","17.60","17.60","300"
11/18/2022,"17.40","17.40","17.28","17.38","700"
11/17/2022,"16.98","16.98","16.96","16.96","1,900"
11/16/2022,"16.00","16.98","16.00","16.98","2,000"
11/15/2022,"15.92","15.92","15.92","15.92","1,400"
11/14/2022,"15.80","15.96","15.80","15.90","8,100"
11/11/2022,"15.96","15.96","15.96","15.96","600"
11/10/2022,"15.96","15.96","15.96","15.96","300"
11/09/2022,"15.96","15.96","15.96","15.96","500"
11/08/2022,"15.12","15.92","15.12","15.92","1,300"
11/07/2022,"15.18","15.94","15.18","15.94","400"
11/04/2022,"15.94","15.94","15.18","15.94","1,700"
11/03/2022,"15.98","16.00","15.00","15.96","8,300"
10/27/2022,"15.98","16.00","15.58","16.00","2,400"
10/26/2022,"16.00","16.00","16.00","16.00","3,000"
10/25/2022,"16.00","16.00","16.00","16.00","1,000"
10/24/2022,"15.18","15.18","15.00","15.00","2,100"
10/20/2022,"16.00","16.00","16.00","16.00","2,000"
10/19/2022,"16.32","16.32","16.32","16.32","100"
10/17/2022,"15.90","16.30","14.86","16.30","4,100"
10/14/2022,"16.00","16.00","16.00","16.00","300"
10/13/2022,"16.50","16.50","16.50","16.50","100"
10/12/2022,"17.20","17.20","16.50","16.50","2,700"
10/11/2022,"17.24","17.24","16.46","16.46","5,200"
