Date,Open,High,Low,Close,Volume
05/16/2025,"2.500","2.500","2.420","2.420","984,000"
05/15/2025,"2.500","2.520","2.450","2.450","1,070,000"
05/14/2025,"2.500","2.500","2.480","2.490","112,000"
05/13/2025,"2.520","2.520","2.480","2.490","328,000"
05/09/2025,"2.520","2.520","2.500","2.520","55,000"
05/08/2025,"2.510","2.520","2.500","2.520","99,000"
05/07/2025,"2.500","2.530","2.500","2.520","137,000"
05/06/2025,"2.550","2.550","2.500","2.500","170,000"
05/05/2025,"2.510","2.560","2.510","2.530","43,000"
05/02/2025,"2.520","2.560","2.500","2.510","359,000"
