Date,Open,High,Low,Close,Volume
12/31/2021,"32.10","32.10","31.05","31.90","5,557,500"
12/29/2021,"32.10","32.35","32.00","32.10","3,686,000"
12/28/2021,"32.80","32.80","32.10","32.10","3,621,600"
12/27/2021,"33.00","33.00","32.10","32.90","2,274,900"
12/24/2021,"32.95","33.20","32.80","33.00","3,683,100"
12/23/2021,"32.55","32.90","32.50","32.90","3,394,000"
12/22/2021,"32.10","32.90","31.95","32.60","12,885,300"
12/21/2021,"31.90","32.00","31.10","32.00","4,732,700"
12/20/2021,"32.05","32.40","31.55","31.90","3,489,400"
12/17/2021,"30.90","32.20","30.90","32.00","10,880,900"
12/16/2021,"30.85","31.75","30.75","30.90","6,307,500"
12/15/2021,"31.40","31.80","30.75","30.75","8,380,200"
12/14/2021,"31.25","32.15","31.05","31.80","3,645,300"
12/13/2021,"33.00","33.10","31.25","31.25","8,464,100"
12/10/2021,"32.10","33.10","32.00","32.90","7,311,300"
12/09/2021,"31.60","32.35","31.60","32.20","4,993,200"
12/07/2021,"32.40","32.40","31.70","31.85","8,993,600"
12/06/2021,"31.50","32.50","31.50","32.50","12,877,100"
12/03/2021,"30.85","31.70","30.65","31.50","5,256,700"
12/02/2021,"30.65","31.10","30.10","30.80","6,270,900"
12/01/2021,"31.60","31.75","30.60","31.00","14,546,300"
11/29/2021,"29.80","32.00","28.75","32.00","21,277,900"
11/26/2021,"30.45","30.55","30.15","30.15","8,256,000"
11/25/2021,"31.50","31.65","30.20","30.35","23,640,400"
11/24/2021,"32.25","32.35","31.20","31.50","18,549,000"
11/23/2021,"31.60","32.05","31.15","32.00","28,164,400"
11/22/2021,"31.20","32.75","30.50","30.80","32,567,699"
11/19/2021,"31.05","31.75","31.00","31.25","43,170,898"
11/18/2021,"33.95","33.95","31.75","32.30","19,191,500"
11/17/2021,"35.75","35.75","33.65","34.00","16,468,301"
11/16/2021,"36.00","36.40","35.65","35.70","14,033,500"
11/15/2021,"35.50","36.00","34.80","35.95","6,935,800"
11/12/2021,"34.00","36.10","34.00","35.50","20,739,699"
11/11/2021,"34.05","35.10","33.20","35.00","16,249,000"
11/10/2021,"35.00","35.00","33.50","33.90","8,228,100"
11/09/2021,"35.40","35.40","34.60","34.90","6,393,900"
11/08/2021,"33.95","35.70","33.50","35.20","11,275,500"
11/05/2021,"33.40","34.20","33.00","33.20","8,116,300"
11/04/2021,"31.60","33.20","31.20","33.00","9,338,900"
11/03/2021,"31.10","31.95","31.00","31.55","2,446,500"
11/02/2021,"32.00","32.30","30.80","31.10","8,987,800"
10/29/2021,"32.40","32.50","31.55","31.80","8,154,300"
10/28/2021,"33.00","33.00","31.80","32.85","9,939,400"
10/27/2021,"32.00","33.00","31.95","32.95","11,553,000"
10/26/2021,"32.10","32.60","31.10","31.95","6,802,300"
10/25/2021,"31.05","32.40","30.70","32.10","8,490,200"
10/22/2021,"31.30","31.50","30.60","30.90","17,020,400"
10/21/2021,"32.70","32.70","30.50","31.00","23,305,000"
10/20/2021,"32.00","33.00","31.50","32.85","18,976,900"
10/19/2021,"29.50","31.80","29.00","31.00","34,107,102"
10/18/2021,"32.00","32.00","27.90","28.00","41,741,199"
10/15/2021,"32.80","33.70","31.30","31.80","30,533,199"
10/14/2021,"32.40","33.25","31.95","32.15","19,256,400"
10/13/2021,"35.10","35.20","30.60","32.10","47,253,000"
10/12/2021,"36.00","36.50","34.65","34.95","20,272,301"
10/11/2021,"33.20","36.55","32.50","36.00","33,118,801"
10/08/2021,"37.45","37.45","32.75","33.60","67,990,305"
10/07/2021,"43.50","44.00","37.30","37.50","47,841,102"
10/06/2021,"41.80","45.40","41.40","44.00","15,315,100"
10/05/2021,"39.50","42.00","39.30","42.00","10,826,400"
10/04/2021,"40.00","40.65","39.40","40.00","11,384,100"
10/01/2021,"39.85","40.10","39.10","39.95","9,476,400"
09/30/2021,"37.55","40.40","37.30","40.00","29,065,900"
09/29/2021,"37.00","38.10","35.20","38.00","10,570,600"
09/28/2021,"37.60","37.90","36.50","37.15","6,094,500"
09/27/2021,"36.80","38.35","36.80","37.50","10,255,900"
09/24/2021,"35.00","36.90","34.85","36.50","17,455,500"
09/23/2021,"35.00","35.05","34.85","35.00","5,198,400"
09/22/2021,"35.00","35.70","34.50","34.95","11,896,900"
09/21/2021,"33.60","35.00","33.60","35.00","8,310,500"
09/20/2021,"34.40","34.50","33.60","34.45","18,148,500"
09/17/2021,"35.60","36.70","34.50","34.50","77,172,797"
09/16/2021,"34.80","35.50","34.10","35.50","16,297,600"
09/15/2021,"34.90","35.00","34.50","35.00","18,833,900"
09/14/2021,"33.50","34.95","33.45","34.50","13,827,300"
09/13/2021,"32.50","33.35","32.30","33.35","12,897,300"
09/10/2021,"32.00","32.70","32.00","32.30","4,615,600"
09/09/2021,"31.70","32.20","31.65","31.80","4,321,500"
09/08/2021,"32.00","32.30","31.75","31.75","6,892,400"
09/07/2021,"31.75","32.20","31.35","32.00","10,294,100"
09/06/2021,"31.95","31.95","31.35","31.50","9,515,200"
09/03/2021,"32.00","32.00","31.70","31.90","7,853,800"
09/02/2021,"31.95","32.30","31.80","32.00","10,843,100"
09/01/2021,"31.05","32.10","30.90","32.00","15,620,500"
08/31/2021,"31.20","31.20","30.70","31.00","6,706,500"
08/27/2021,"31.20","31.50","30.60","31.30","7,020,700"
08/26/2021,"29.75","31.95","29.75","31.00","22,162,699"
08/25/2021,"30.00","30.00","28.95","29.70","9,611,100"
08/24/2021,"30.45","30.50","29.95","30.00","10,356,100"
08/23/2021,"29.40","30.85","29.35","30.45","18,331,801"
08/20/2021,"27.95","29.40","27.75","29.40","10,790,500"
08/19/2021,"27.20","27.95","26.85","27.95","6,957,900"
08/18/2021,"27.25","27.35","26.80","27.20","4,884,800"
08/17/2021,"27.00","27.30","26.65","27.30","4,326,700"
08/16/2021,"27.00","27.35","26.45","27.00","16,272,500"
08/13/2021,"26.90","29.05","26.30","27.35","102,091,508"
08/12/2021,"27.50","27.55","26.60","26.85","21,720,600"
08/11/2021,"26.95","27.60","26.95","27.35","8,119,700"
08/10/2021,"27.15","28.00","26.50","26.85","29,995,199"
08/09/2021,"26.80","28.35","26.75","27.15","18,394,900"
08/06/2021,"25.10","27.10","25.10","26.65","34,174,102"
08/05/2021,"23.95","23.95","23.70","23.90","5,093,900"
08/04/2021,"23.25","24.00","23.20","23.90","2,541,100"
08/03/2021,"23.10","23.20","22.80","23.20","1,562,700"
08/02/2021,"22.80","23.10","22.75","23.10","1,340,000"
07/30/2021,"22.90","23.15","22.55","22.80","5,418,300"
07/29/2021,"22.80","23.25","22.80","22.90","3,290,300"
07/28/2021,"23.40","23.40","22.80","23.20","2,312,600"
07/27/2021,"23.05","23.50","23.00","23.40","3,767,400"
07/26/2021,"22.90","23.10","22.80","23.00","4,423,500"
07/23/2021,"23.15","23.30","22.85","23.00","3,124,600"
07/22/2021,"23.55","23.60","23.00","23.15","4,561,200"
07/21/2021,"23.55","23.80","22.90","23.60","3,855,000"
07/19/2021,"22.80","23.90","22.70","23.50","5,503,800"
07/16/2021,"23.35","23.65","22.90","22.90","4,152,400"
07/15/2021,"23.90","24.00","23.40","23.40","2,028,500"
07/14/2021,"23.55","24.15","23.50","23.90","5,205,900"
07/13/2021,"23.35","23.85","23.15","23.60","1,605,100"
07/12/2021,"22.70","24.10","22.70","23.35","12,160,100"
07/09/2021,"22.85","22.85","22.25","22.70","4,103,100"
07/08/2021,"22.45","22.70","22.40","22.60","4,148,300"
07/07/2021,"22.90","23.00","22.35","22.40","2,407,600"
07/06/2021,"22.60","23.25","22.60","22.75","4,484,200"
07/05/2021,"22.35","23.00","22.35","22.55","3,334,900"
07/02/2021,"22.30","22.50","22.30","22.35","2,617,100"
07/01/2021,"22.65","22.70","22.25","22.30","2,463,700"
06/30/2021,"22.75","23.00","22.20","22.70","3,340,500"
06/29/2021,"22.15","22.70","22.00","22.70","1,762,700"
06/28/2021,"21.85","22.40","21.70","22.20","3,549,700"
06/25/2021,"22.50","22.50","21.70","21.70","5,250,500"
06/24/2021,"22.70","23.05","22.25","22.60","3,640,500"
06/23/2021,"22.00","22.70","22.00","22.60","2,634,800"
06/22/2021,"22.00","22.45","21.80","22.00","4,651,900"
06/21/2021,"22.00","22.40","21.75","21.75","5,234,600"
06/18/2021,"23.00","23.00","22.25","22.25","3,687,500"
06/17/2021,"22.65","23.45","22.55","23.05","15,644,000"
06/16/2021,"22.10","22.85","21.75","22.65","8,213,100"
06/15/2021,"21.65","22.10","21.60","22.00","6,951,600"
06/14/2021,"21.70","21.90","21.40","21.60","4,978,400"
06/11/2021,"20.20","21.65","20.20","21.45","13,175,300"
06/10/2021,"20.20","20.50","19.96","20.15","4,355,000"
06/09/2021,"20.00","20.30","19.90","20.20","1,872,700"
06/08/2021,"20.25","20.25","19.86","19.86","1,606,700"
06/07/2021,"20.35","20.35","19.98","20.20","2,262,100"
06/04/2021,"20.05","20.35","19.86","20.35","5,725,600"
06/03/2021,"20.05","20.30","19.70","19.76","10,608,500"
06/02/2021,"19.76","20.10","19.72","19.94","2,658,000"
06/01/2021,"19.40","19.74","19.40","19.70","896,700"
05/31/2021,"19.98","20.00","19.04","19.40","12,151,100"
05/28/2021,"19.94","20.00","19.84","20.00","3,540,400"
05/27/2021,"19.62","19.82","19.50","19.80","2,660,300"
05/26/2021,"19.46","19.82","19.42","19.44","3,869,800"
05/25/2021,"19.84","19.84","19.50","19.50","7,378,300"
05/24/2021,"20.15","20.20","19.82","19.90","6,958,000"
05/21/2021,"19.96","20.45","19.82","20.40","11,137,900"
05/20/2021,"19.50","19.96","19.50","19.96","11,653,200"
05/19/2021,"19.36","19.64","19.18","19.50","11,215,800"
05/18/2021,"18.96","19.36","18.84","19.30","10,640,200"
05/17/2021,"18.44","18.90","18.44","18.78","2,514,600"
05/14/2021,"18.80","18.82","18.08","18.50","5,867,500"
05/12/2021,"18.84","19.06","18.80","18.96","5,566,500"
05/11/2021,"18.88","19.10","18.78","18.90","4,641,700"
05/10/2021,"19.00","19.40","18.80","18.82","5,933,300"
05/07/2021,"19.10","19.12","18.70","19.00","8,194,800"
05/06/2021,"19.18","19.26","19.02","19.14","7,518,400"
05/05/2021,"19.14","19.22","19.00","19.16","2,963,300"
05/04/2021,"19.10","19.56","18.80","19.00","8,988,700"
05/03/2021,"18.66","19.18","18.66","19.10","7,900,700"
04/30/2021,"18.80","19.04","18.62","18.66","4,135,800"
04/29/2021,"18.82","18.84","18.54","18.80","2,980,500"
04/28/2021,"18.40","18.62","18.34","18.50","2,909,500"
04/27/2021,"18.50","18.98","18.10","18.26","2,175,800"
04/26/2021,"18.94","19.18","18.34","18.40","3,802,900"
04/23/2021,"18.80","19.08","18.74","18.94","3,013,100"
04/22/2021,"19.20","19.28","18.62","18.80","5,164,600"
04/21/2021,"19.08","19.34","18.90","19.10","6,332,100"
04/20/2021,"18.86","19.18","18.80","19.00","6,917,600"
04/19/2021,"18.48","18.90","18.48","18.80","4,001,400"
04/16/2021,"18.20","18.50","17.98","18.48","2,551,300"
04/15/2021,"18.20","18.40","18.08","18.08","1,650,200"
04/14/2021,"17.80","18.20","17.74","18.10","4,016,600"
04/13/2021,"18.08","18.24","17.58","17.78","5,857,000"
04/12/2021,"18.38","18.42","17.90","18.08","9,856,200"
04/08/2021,"18.46","18.64","18.34","18.40","7,446,100"
04/07/2021,"18.64","19.02","18.32","18.46","4,898,200"
04/06/2021,"18.42","18.68","18.42","18.62","3,828,900"
04/05/2021,"18.54","19.00","18.34","18.40","5,387,300"
03/31/2021,"19.12","19.12","18.70","18.70","7,003,300"
03/30/2021,"19.12","19.20","18.88","19.12","4,736,400"
03/29/2021,"18.56","19.12","18.18","19.12","4,790,800"
03/26/2021,"18.68","18.86","18.62","18.80","1,116,400"
03/25/2021,"18.98","19.00","18.80","18.80","2,771,300"
03/24/2021,"19.04","19.10","18.70","19.00","5,408,800"
03/23/2021,"19.00","19.18","18.74","19.04","9,074,000"
03/22/2021,"18.00","19.06","17.50","19.00","14,109,400"
03/19/2021,"17.86","18.36","17.82","18.30","6,395,600"
03/18/2021,"17.42","17.78","17.30","17.78","3,245,500"
03/17/2021,"17.08","17.48","17.08","17.36","2,275,800"
03/16/2021,"16.78","17.16","16.58","17.08","3,684,500"
03/15/2021,"17.78","17.78","16.76","16.82","4,908,400"
03/12/2021,"17.50","17.50","17.06","17.18","2,185,500"
03/11/2021,"17.60","17.80","17.10","17.18","3,362,300"
03/10/2021,"16.80","17.60","16.80","17.50","5,799,400"
03/09/2021,"17.12","17.12","16.60","16.98","8,345,100"
03/08/2021,"17.18","17.54","17.12","17.12","3,495,600"
03/05/2021,"17.68","17.70","17.14","17.16","4,620,100"
03/04/2021,"18.10","18.10","17.50","17.68","6,666,500"
03/03/2021,"18.50","18.54","18.10","18.10","7,967,300"
03/02/2021,"18.20","18.58","18.18","18.42","5,791,000"
03/01/2021,"17.60","18.18","17.60","18.12","5,844,000"
02/26/2021,"17.58","17.70","17.44","17.50","5,079,500"
02/24/2021,"17.76","17.92","17.40","17.74","7,598,900"
02/23/2021,"17.74","17.82","17.40","17.76","6,961,800"
02/22/2021,"18.26","18.28","17.80","18.00","13,555,300"
02/19/2021,"18.24","18.26","18.02","18.20","6,701,400"
02/18/2021,"18.16","18.50","18.10","18.20","5,242,200"
02/17/2021,"18.84","18.84","18.04","18.14","13,459,000"
02/16/2021,"18.50","19.10","18.14","18.84","11,071,600"
02/15/2021,"20.00","21.20","18.52","18.52","42,172,398"
02/11/2021,"17.70","18.30","17.70","17.74","11,923,000"
02/10/2021,"18.80","18.80","17.50","17.80","15,481,900"
02/09/2021,"18.12","19.32","18.10","18.72","12,411,500"
02/08/2021,"17.16","18.18","17.16","18.12","21,929,500"
02/05/2021,"17.50","17.60","17.06","17.20","16,544,801"
02/04/2021,"16.50","17.64","16.48","17.36","38,282,500"
02/03/2021,"16.42","16.60","16.30","16.50","8,436,300"
02/02/2021,"16.00","16.50","16.00","16.32","7,079,200"
02/01/2021,"15.52","16.10","15.52","16.00","8,327,900"
01/29/2021,"15.60","15.72","15.40","15.54","2,186,100"
01/28/2021,"15.40","15.72","15.38","15.52","1,072,400"
01/27/2021,"15.50","15.72","15.20","15.50","1,553,400"
01/26/2021,"15.90","15.90","15.48","15.50","3,165,400"
01/25/2021,"15.60","16.02","15.58","15.90","6,775,600"
01/22/2021,"15.40","15.58","15.40","15.56","679,000"
01/21/2021,"15.70","15.70","15.48","15.58","5,373,400"
01/20/2021,"15.40","15.70","15.26","15.70","1,676,200"
01/19/2021,"15.64","15.64","15.42","15.46","2,259,300"
01/18/2021,"15.70","15.72","15.60","15.66","2,873,300"
01/15/2021,"15.70","15.80","15.70","15.70","7,536,700"
01/14/2021,"15.70","15.70","15.54","15.66","3,767,900"
01/13/2021,"15.70","15.74","15.50","15.70","4,432,100"
01/12/2021,"15.96","15.96","15.58","15.74","3,198,800"
01/11/2021,"15.72","15.98","15.70","15.96","3,252,200"
01/08/2021,"15.48","15.70","15.40","15.70","5,260,300"
01/07/2021,"14.96","15.40","14.88","15.38","2,694,100"
01/06/2021,"15.00","15.04","14.74","14.84","3,413,200"
01/05/2021,"15.08","15.08","14.78","14.96","3,928,800"
01/04/2021,"14.90","15.08","14.54","15.08","3,512,900"
