Date,Open,High,Low,Close,Volume
05/16/2025,"19.12","19.50","19.00","19.12","3,007,700"
05/15/2025,"18.96","19.30","18.90","19.00","5,824,900"
05/14/2025,"19.00","19.00","18.52","18.52","3,327,600"
05/13/2025,"18.52","18.98","18.52","18.70","3,066,300"
05/09/2025,"18.70","18.94","18.26","18.58","3,763,900"
05/08/2025,"19.30","19.36","18.70","18.70","2,848,500"
05/07/2025,"19.34","19.52","19.02","19.30","4,706,100"
05/06/2025,"18.96","19.38","18.90","19.32","2,290,100"
05/05/2025,"18.80","19.14","18.52","18.96","4,311,000"
05/02/2025,"19.06","19.10","18.70","18.72","6,016,100"
