Date,Open,High,Low,Close,Volume
12/20/2023,"0.120","0.120","0.120","0.120","10,000"
12/19/2023,"0.125","0.125","0.124","0.124","170,000"
12/13/2023,"0.124","0.124","0.124","0.124","20,000"
12/04/2023,"0.125","0.125","0.125","0.125","630,000"
11/24/2023,"0.130","0.130","0.130","0.130","300,000"
11/23/2023,"0.125","0.125","0.125","0.125","10,000"
11/22/2023,"0.125","0.125","0.125","0.125","260,000"
11/15/2023,"0.124","0.124","0.124","0.124","30,000"
10/26/2023,"0.150","0.150","0.150","0.150","10,000"
10/25/2023,"0.150","0.150","0.150","0.150","20,000"
10/05/2023,"0.150","0.150","0.150","0.150","90,000"
10/04/2023,"0.150","0.150","0.150","0.150","50,000"
10/03/2023,"0.150","0.151","0.150","0.150","910,000"
10/02/2023,"0.151","0.151","0.151","0.151","20,000"
09/29/2023,"0.168","0.174","0.150","0.150","700,000"
09/28/2023,"0.150","0.150","0.150","0.150","50,000"
09/25/2023,"0.150","0.150","0.150","0.150","10,000"
09/22/2023,"0.169","0.169","0.150","0.150","440,000"
09/21/2023,"0.150","0.164","0.150","0.163","340,000"
09/20/2023,"0.150","0.150","0.150","0.150","60,000"
09/19/2023,"0.150","0.150","0.150","0.150","2,840,000"
09/18/2023,"0.148","0.156","0.148","0.150","6,030,000"
09/15/2023,"0.138","0.140","0.138","0.140","300,000"
09/12/2023,"0.132","0.137","0.132","0.137","810,000"
09/08/2023,"0.130","0.134","0.100","0.132","3,680,000"
09/06/2023,"0.136","0.136","0.136","0.136","200,000"
09/04/2023,"0.138","0.138","0.138","0.138","170,000"
08/30/2023,"0.139","0.139","0.135","0.137","1,670,000"
08/23/2023,"0.135","0.140","0.135","0.140","610,000"
08/22/2023,"0.137","0.144","0.137","0.144","470,000"
08/18/2023,"0.137","0.137","0.137","0.137","120,000"
08/17/2023,"0.136","0.140","0.136","0.136","300,000"
08/16/2023,"0.140","0.141","0.138","0.138","130,000"
08/15/2023,"0.143","0.143","0.143","0.143","10,000"
08/10/2023,"0.147","0.147","0.136","0.138","1,230,000"
08/08/2023,"0.144","0.144","0.131","0.139","250,000"
08/07/2023,"0.144","0.144","0.130","0.131","240,000"
08/04/2023,"0.131","0.131","0.131","0.131","10,000"
08/03/2023,"0.132","0.142","0.132","0.142","210,000"
08/02/2023,"0.132","0.139","0.131","0.139","390,000"
08/01/2023,"0.145","0.145","0.145","0.145","10,000"
07/31/2023,"0.136","0.147","0.131","0.145","1,110,000"
07/28/2023,"0.136","0.148","0.136","0.148","120,000"
07/27/2023,"0.149","0.150","0.140","0.148","900,000"
07/26/2023,"0.140","0.142","0.130","0.142","1,740,000"
07/25/2023,"0.162","0.162","0.140","0.149","7,320,000"
07/24/2023,"0.162","0.165","0.162","0.165","110,000"
07/21/2023,"0.170","0.170","0.163","0.163","140,000"
07/18/2023,"0.165","0.165","0.162","0.162","940,000"
07/17/2023,"0.165","0.165","0.165","0.165","10,000"
07/11/2023,"0.165","0.165","0.165","0.165","20,000"
07/03/2023,"0.171","0.171","0.171","0.171","30,000"
06/30/2023,"0.164","0.165","0.163","0.165","220,000"
06/23/2023,"0.185","0.185","0.185","0.185","500,000"
06/21/2023,"0.178","0.182","0.178","0.182","260,000"
06/20/2023,"0.178","0.178","0.163","0.163","1,050,000"
06/19/2023,"0.165","0.165","0.162","0.162","380,000"
05/22/2023,"0.171","0.180","0.171","0.180","20,000"
05/15/2023,"0.185","0.185","0.185","0.185","30,000"
05/12/2023,"0.180","0.183","0.180","0.183","600,000"
05/11/2023,"0.180","0.180","0.180","0.180","10,000"
05/08/2023,"0.191","0.191","0.180","0.180","150,000"
05/05/2023,"0.170","0.180","0.170","0.180","20,000"
05/03/2023,"0.160","0.160","0.160","0.160","60,000"
05/02/2023,"0.180","0.190","0.180","0.190","20,000"
04/24/2023,"0.158","0.167","0.158","0.167","140,000"
04/20/2023,"0.180","0.180","0.154","0.154","200,000"
04/19/2023,"0.199","0.199","0.199","0.199","40,000"
04/13/2023,"0.180","0.180","0.180","0.180","40,000"
04/12/2023,"0.199","0.199","0.178","0.199","1,220,000"
04/11/2023,"0.199","0.199","0.199","0.199","20,000"
04/04/2023,"0.199","0.199","0.199","0.199","40,000"
03/30/2023,"0.199","0.199","0.199","0.199","230,000"
03/21/2023,"0.199","0.199","0.199","0.199","200,000"
03/15/2023,"0.199","0.199","0.199","0.199","50,000"
03/14/2023,"0.200","0.200","0.200","0.200","200,000"
03/09/2023,"0.200","0.200","0.200","0.200","400,000"
03/07/2023,"0.200","0.200","0.200","0.200","300,000"
02/28/2023,"0.223","0.223","0.200","0.200","90,000"
02/21/2023,"0.201","0.228","0.201","0.228","160,000"
02/20/2023,"0.201","0.201","0.201","0.201","10,000"
02/16/2023,"0.204","0.204","0.200","0.201","420,000"
02/08/2023,"0.218","0.218","0.218","0.218","40,000"
02/02/2023,"0.200","0.218","0.200","0.218","170,000"
01/30/2023,"0.210","0.229","0.210","0.211","220,000"
01/27/2023,"0.210","0.210","0.200","0.210","630,000"
01/23/2023,"0.210","0.210","0.210","0.210","150,000"
01/20/2023,"0.210","0.210","0.210","0.210","10,000"
01/19/2023,"0.210","0.210","0.210","0.210","240,000"
01/17/2023,"0.202","0.202","0.201","0.201","120,000"
01/13/2023,"0.201","0.209","0.201","0.202","70,000"
01/11/2023,"0.202","0.202","0.202","0.202","250,000"
01/10/2023,"0.211","0.211","0.211","0.211","10,000"
01/06/2023,"0.210","0.212","0.200","0.212","940,000"
01/05/2023,"0.210","0.210","0.209","0.209","80,000"
01/03/2023,"0.212","0.212","0.212","0.212","10,000"
