Date,Open,High,Low,Close,Volume
04/30/2025,"5.99","5.99","5.91","5.91","458,100"
04/29/2025,"6.00","6.01","5.95","5.97","629,700"
04/28/2025,"6.01","6.02","5.95","6.00","2,303,300"
04/25/2025,"6.00","6.01","5.96","5.99","1,290,300"
04/24/2025,"5.98","6.01","5.96","5.96","1,698,000"
04/23/2025,"5.95","6.00","5.90","5.98","957,300"
04/22/2025,"5.75","6.00","5.75","5.90","1,853,100"
04/21/2025,"5.69","5.75","5.68","5.73","1,900,800"
04/16/2025,"5.61","5.68","5.58","5.66","618,400"
04/15/2025,"5.61","5.65","5.58","5.62","800,900"
04/14/2025,"5.41","5.64","5.41","5.61","1,527,100"
04/11/2025,"5.35","5.37","5.23","5.31","592,000"
04/10/2025,"5.20","5.35","5.19","5.35","906,200"
04/08/2025,"5.10","5.20","5.06","5.19","177,300"
04/07/2025,"5.19","5.19","5.01","5.12","616,800"
04/04/2025,"5.18","5.24","5.15","5.23","240,700"
04/03/2025,"5.22","5.24","5.12","5.15","490,000"
04/02/2025,"5.22","5.23","5.18","5.19","961,800"
03/31/2025,"5.23","5.24","5.20","5.22","554,400"
03/28/2025,"5.25","5.25","5.22","5.23","306,100"
03/27/2025,"5.26","5.31","5.24","5.25","3,777,300"
03/26/2025,"5.31","5.31","5.25","5.26","1,222,000"
03/25/2025,"5.28","5.31","5.25","5.31","200,700"
03/24/2025,"5.32","5.32","5.25","5.28","345,800"
03/21/2025,"5.35","5.35","5.29","5.31","547,000"
03/20/2025,"5.38","5.39","5.31","5.35","3,358,200"
03/19/2025,"5.40","5.40","5.34","5.38","213,900"
03/18/2025,"5.40","5.40","5.36","5.40","389,800"
03/17/2025,"5.35","5.43","5.33","5.35","730,300"
03/14/2025,"5.40","5.44","5.31","5.34","445,800"
03/13/2025,"5.40","5.43","5.36","5.40","389,000"
03/12/2025,"5.40","5.40","5.31","5.40","102,200"
03/11/2025,"5.40","5.42","5.31","5.40","174,400"
03/10/2025,"5.40","5.44","5.40","5.44","136,300"
03/07/2025,"5.38","5.40","5.32","5.40","394,500"
03/06/2025,"5.38","5.39","5.31","5.38","22,100"
03/05/2025,"5.26","5.38","5.25","5.38","112,000"
03/04/2025,"5.35","5.35","5.24","5.25","1,741,800"
03/03/2025,"5.38","5.42","5.30","5.35","732,300"
02/28/2025,"5.41","5.41","5.34","5.37","418,700"
02/27/2025,"5.40","5.42","5.30","5.35","140,000"
02/26/2025,"5.35","5.38","5.31","5.38","212,400"
02/25/2025,"5.39","5.39","5.30","5.32","82,500"
02/24/2025,"5.31","5.40","5.30","5.39","356,700"
02/21/2025,"5.40","5.40","5.30","5.30","2,305,200"
02/20/2025,"5.40","5.40","5.35","5.38","296,400"
02/19/2025,"5.40","5.43","5.38","5.40","385,400"
02/18/2025,"5.30","5.39","5.30","5.38","908,400"
02/17/2025,"5.32","5.35","5.30","5.30","438,100"
02/14/2025,"5.29","5.30","5.27","5.30","122,600"
02/13/2025,"5.28","5.28","5.27","5.27","329,600"
02/12/2025,"5.28","5.29","5.27","5.28","710,100"
02/11/2025,"5.29","5.33","5.27","5.29","1,003,500"
02/10/2025,"5.29","5.32","5.29","5.30","390,800"
02/07/2025,"5.30","5.36","5.25","5.29","217,600"
02/06/2025,"5.32","5.39","5.29","5.30","90,800"
02/05/2025,"5.29","5.31","5.27","5.31","325,100"
02/04/2025,"5.23","5.30","5.22","5.25","313,300"
02/03/2025,"5.33","5.33","5.22","5.23","1,674,200"
01/31/2025,"5.38","5.38","5.33","5.35","23,600"
01/30/2025,"5.40","5.40","5.32","5.38","135,400"
01/28/2025,"5.35","5.41","5.30","5.40","235,700"
01/27/2025,"5.38","5.42","5.35","5.38","75,500"
01/24/2025,"5.40","5.42","5.31","5.33","819,900"
01/23/2025,"5.35","5.40","5.32","5.40","1,263,700"
01/22/2025,"5.44","5.46","5.25","5.34","1,079,400"
01/21/2025,"5.48","5.48","5.43","5.45","111,200"
01/20/2025,"5.46","5.48","5.40","5.46","275,100"
01/17/2025,"5.42","5.50","5.42","5.45","52,100"
01/16/2025,"5.40","5.45","5.38","5.42","154,500"
01/15/2025,"5.45","5.49","5.38","5.40","994,000"
01/14/2025,"5.54","5.54","5.40","5.45","651,100"
01/13/2025,"5.57","5.70","5.52","5.55","1,328,900"
01/10/2025,"5.50","5.60","5.50","5.56","706,000"
01/09/2025,"5.53","5.53","5.48","5.50","698,400"
01/08/2025,"5.55","5.60","5.53","5.53","603,500"
01/07/2025,"5.59","5.59","5.52","5.55","773,800"
01/06/2025,"5.52","5.66","5.52","5.58","1,473,100"
01/03/2025,"5.47","5.55","5.43","5.52","997,100"
01/02/2025,"5.38","5.50","5.38","5.47","349,100"
