Date,Open,High,Low,Close,Volume
05/16/2025,"6.27","6.27","6.12","6.20","2,148,200"
05/15/2025,"6.10","6.27","6.09","6.23","2,917,000"
05/14/2025,"6.05","6.08","6.03","6.08","2,537,300"
05/13/2025,"6.02","6.08","6.02","6.05","2,030,700"
05/09/2025,"6.01","6.04","5.90","6.00","1,654,600"
05/08/2025,"6.00","6.01","5.85","6.01","1,157,200"
05/07/2025,"6.04","6.05","6.03","6.04","742,800"
05/06/2025,"5.99","6.04","5.99","6.04","569,100"
05/05/2025,"6.03","6.08","5.99","5.99","1,263,400"
05/02/2025,"5.95","6.01","5.95","6.01","726,900"
