Date,Open,High,Low,Close,Volume
2020-01-02,0.55,0.55,0.53,0.54,1231000
2020-01-03,0.54,0.54,0.53,0.54,515000
2020-01-06,0.53,0.54,0.52,0.54,4194000
2020-01-07,0.53,0.54,0.52,0.54,2274000
2020-01-08,0.53,0.54,0.52,0.54,2290000
2020-01-09,0.52,0.54,0.52,0.54,3178000
2020-01-10,0.53,0.56,0.53,0.56,31636000
2020-01-14,0.55,0.57,0.55,0.56,2987000
2020-01-15,0.55,0.55,0.54,0.55,1095000
2020-01-16,0.55,0.56,0.54,0.55,15963000
2020-01-17,0.54,0.55,0.53,0.55,2429000
2020-01-20,0.54,0.55,0.52,0.53,11383000
2020-01-21,0.53,0.54,0.51,0.53,12892000
2020-01-22,0.52,0.53,0.51,0.53,7105000
2020-01-23,0.51,0.53,0.51,0.53,7782000
2020-01-24,0.52,0.53,0.51,0.53,3340000
2020-01-27,0.52,0.53,0.51,0.52,2194000
2020-01-28,0.53,0.53,0.51,0.53,4513000
2020-01-29,0.52,0.53,0.51,0.52,2690000
2020-01-30,0.51,0.52,0.5,0.52,8012000
2020-01-31,0.52,0.52,0.48,0.49,17060000
2020-02-03,0.48,0.48,0.47,0.48,2470000
2020-02-04,0.48,0.5,0.48,0.5,5000000
2020-02-05,0.5,0.51,0.495,0.5,5899000
2020-02-06,0.5,0.51,0.495,0.5,1912000
2020-02-07,0.5,0.5,0.485,0.5,9988000
2020-02-10,0.495,0.5,0.495,0.495,6087000
2020-02-11,0.49,0.495,0.485,0.49,2320000
2020-02-12,0.48,0.49,0.48,0.485,2320000
2020-02-13,0.475,0.49,0.465,0.47,6150000
2020-02-14,0.475,0.48,0.47,0.47,8140000
2020-02-17,0.475,0.48,0.47,0.475,8490000
2020-02-18,0.475,0.485,0.475,0.48,8720000
2020-02-19,0.485,0.49,0.485,0.49,4090000
2020-02-20,0.495,0.5,0.49,0.5,5680000
2020-02-21,0.5,0.51,0.5,0.51,6913000
2020-02-24,0.5,0.51,0.495,0.51,14207000
2020-02-26,0.49,0.495,0.48,0.485,7392000
2020-02-27,0.48,0.495,0.47,0.48,4850000
2020-02-28,0.48,0.49,0.475,0.485,3300000
2020-03-02,0.475,0.485,0.47,0.485,1270000
2020-03-03,0.48,0.5,0.48,0.5,4620000
2020-03-04,0.49,0.495,0.485,0.485,978000
2020-03-05,0.49,0.5,0.49,0.5,3980000
2020-03-06,0.495,0.495,0.49,0.495,4638000
2020-03-09,0.485,0.485,0.45,0.475,3700000
2020-03-10,0.45,0.485,0.445,0.48,3430000
2020-03-11,0.47,0.485,0.465,0.47,2520000
2020-03-12,0.46,0.46,0.445,0.45,3390000
2020-03-13,0.44,0.44,0.4,0.43,4980000
2020-03-16,0.405,0.42,0.4,0.405,1470000
2020-03-19,0.39,0.395,0.35,0.355,2150000
2020-03-20,0.355,0.365,0.345,0.35,2910000
2020-03-23,0.35,0.35,0.335,0.335,2880000
2020-03-24,0.335,0.34,0.335,0.335,4330000
2020-03-25,0.355,0.355,0.345,0.35,3950000
2020-03-26,0.36,0.37,0.36,0.37,1340000
2020-03-27,0.37,0.38,0.365,0.37,1770000
2020-03-30,0.37,0.375,0.36,0.37,1610000
2020-03-31,0.38,0.38,0.37,0.37,5980000
2020-04-01,0.365,0.375,0.355,0.355,1100000
2020-04-02,0.36,0.36,0.355,0.36,1900000
2020-04-03,0.365,0.365,0.365,0.365,480000
2020-04-06,0.36,0.36,0.36,0.36,490000
2020-04-07,0.365,0.37,0.365,0.37,2810000
2020-04-08,0.375,0.38,0.375,0.375,2420000
2020-04-13,0.375,0.38,0.365,0.37,3980000
2020-04-14,0.365,0.38,0.365,0.375,7230000
2020-04-15,0.38,0.385,0.375,0.375,3670000
2020-04-16,0.375,0.375,0.35,0.355,7690000
2020-04-17,0.355,0.365,0.355,0.365,3060000
2020-04-20,0.365,0.365,0.36,0.365,1890000
2020-04-21,0.365,0.365,0.355,0.36,4030000
2020-04-22,0.36,0.36,0.355,0.355,4640000
2020-04-23,0.355,0.36,0.355,0.36,5310000
2020-04-24,0.365,0.365,0.35,0.35,3580000
2020-04-27,0.355,0.355,0.35,0.355,3140000
2020-04-28,0.35,0.36,0.35,0.355,2830000
2020-04-29,0.355,0.36,0.35,0.36,3550000
2020-04-30,0.355,0.365,0.355,0.365,2240000
2020-05-04,0.36,0.36,0.35,0.36,1840000
2020-05-05,0.36,0.36,0.345,0.355,8010000
2020-05-06,0.35,0.35,0.345,0.345,4070000
2020-05-07,0.35,0.35,0.345,0.345,830000
2020-05-08,0.35,0.35,0.345,0.35,780000
2020-05-11,0.35,0.355,0.35,0.355,2400000
2020-05-12,0.345,0.35,0.345,0.35,1280000
2020-05-13,0.35,0.35,0.345,0.35,3960000
2020-05-14,0.35,0.35,0.35,0.35,620000
2020-05-15,0.35,0.355,0.35,0.35,770000
2020-05-18,0.35,0.35,0.345,0.345,1950000
2020-05-19,0.34,0.355,0.335,0.345,8740000
2020-05-20,0.345,0.345,0.34,0.345,690000
2020-05-21,0.345,0.345,0.34,0.345,960000
2020-05-22,0.345,0.345,0.345,0.345,510000
2020-05-26,0.34,0.34,0.325,0.33,10690000
2020-05-27,0.33,0.34,0.33,0.34,710000
2020-05-28,0.33,0.345,0.33,0.345,3630000
2020-05-29,0.35,0.375,0.35,0.375,14160000
2020-06-01,0.375,0.38,0.37,0.37,4130000
