Date,Open,High,Low,Close,Volume
12/29/2020,"1.820","1.870","1.820","1.870","160,000"
12/28/2020,"1.860","1.860","1.830","1.830","202,000"
12/23/2020,"1.850","1.880","1.850","1.880","30,000"
12/22/2020,"1.940","1.940","1.850","1.880","176,000"
12/21/2020,"1.910","1.990","1.870","1.940","117,000"
12/18/2020,"1.940","1.960","1.920","1.940","142,000"
12/17/2020,"1.900","1.940","1.890","1.940","97,000"
12/16/2020,"1.890","1.900","1.860","1.900","91,000"
12/15/2020,"1.840","1.900","1.840","1.890","118,000"
12/14/2020,"1.870","1.880","1.840","1.840","385,000"
12/11/2020,"1.870","1.870","1.870","1.870","53,000"
12/10/2020,"1.890","1.900","1.870","1.870","218,000"
12/09/2020,"1.900","1.900","1.830","1.870","268,000"
12/07/2020,"1.900","1.930","1.880","1.930","322,000"
12/04/2020,"1.940","1.940","1.940","1.940","41,000"
12/03/2020,"1.880","1.940","1.880","1.940","36,000"
12/02/2020,"1.900","1.920","1.880","1.880","100,000"
12/01/2020,"1.910","1.910","1.890","1.890","301,000"
11/27/2020,"1.900","1.930","1.890","1.930","492,000"
11/26/2020,"1.930","1.930","1.900","1.900","27,000"
11/25/2020,"1.990","1.990","1.930","1.930","87,000"
11/24/2020,"1.900","1.990","1.900","1.960","100,000"
11/23/2020,"1.900","1.900","1.870","1.890","119,000"
11/20/2020,"1.910","1.910","1.880","1.890","385,000"
11/19/2020,"1.910","1.910","1.900","1.900","338,000"
11/18/2020,"1.940","1.990","1.910","1.920","87,000"
11/17/2020,"1.890","1.940","1.890","1.910","78,000"
11/16/2020,"1.940","1.990","1.900","1.900","228,000"
11/13/2020,"1.950","1.950","1.940","1.940","12,000"
11/11/2020,"2.000","2.000","1.970","1.970","32,000"
11/10/2020,"1.950","2.040","1.950","2.020","36,000"
11/09/2020,"1.960","1.990","1.960","1.970","5,000"
11/06/2020,"2.010","2.010","1.970","1.970","95,000"
11/05/2020,"2.080","2.080","2.040","2.040","3,000"
11/04/2020,"1.980","2.080","1.980","2.050","369,000"
11/03/2020,"2.030","2.030","1.980","1.980","25,000"
10/30/2020,"2.000","2.030","2.000","2.030","5,000"
10/29/2020,"2.020","2.020","2.020","2.020","2,000"
10/27/2020,"2.030","2.030","1.980","2.030","29,000"
10/26/2020,"2.020","2.030","2.020","2.030","7,000"
10/23/2020,"2.070","2.070","2.050","2.050","3,000"
10/22/2020,"2.000","2.050","1.990","2.040","214,000"
10/21/2020,"2.030","2.100","1.990","2.060","169,000"
10/20/2020,"1.990","2.040","1.980","2.040","241,000"
