Date,Open,High,Low,Close,Volume
2020-01-02,2.15,2.15,2.09,2.15,159000
2020-01-03,2.15,2.19,2.15,2.19,338000
2020-01-06,2.2,2.2,2.19,2.19,40000
2020-01-07,2.2,2.2,2.12,2.12,243000
2020-01-08,2.12,2.15,2.11,2.15,51000
2020-01-09,2.15,2.15,2.15,2.15,40000
2020-01-10,2.12,2.16,2.12,2.16,126000
2020-01-14,2.16,2.16,2.12,2.16,67000
2020-01-15,2.12,2.16,2.12,2.16,32000
2020-01-16,2.16,2.16,2.12,2.12,58000
2020-01-17,2.12,2.14,2.12,2.14,79000
2020-01-20,2.13,2.15,2.13,2.14,85000
2020-01-21,2.16,2.19,2.16,2.17,227000
2020-01-22,2.17,2.17,2.14,2.15,84000
2020-01-23,2.15,2.15,2.15,2.15,15000
2020-01-24,2.12,2.17,2.12,2.17,31000
2020-01-27,2.14,2.14,2.13,2.13,76000
2020-01-28,2.16,2.16,2.13,2.15,66000
2020-01-29,2.16,2.16,2.16,2.16,30000
2020-01-30,2.16,2.16,2.15,2.15,25000
2020-01-31,2.15,2.15,2.13,2.15,19000
2020-02-03,2.11,2.11,2.09,2.1,220000
2020-02-04,2.09,2.14,2.09,2.14,29000
2020-02-05,2.11,2.11,2.11,2.11,20000
2020-02-06,2.09,2.11,2.09,2.11,65000
2020-02-07,2.11,2.11,2.11,2.11,9000
2020-02-10,2.09,2.15,2.09,2.15,20000
2020-02-11,2.14,2.15,2.14,2.15,30000
2020-02-12,2.15,2.15,2.14,2.14,50000
2020-02-13,2.13,2.14,2.13,2.13,25000
2020-02-14,2.14,2.14,2.13,2.14,25000
2020-02-17,2.12,2.12,2.09,2.12,104000
2020-02-18,2.12,2.12,2.1,2.1,85000
2020-02-19,2.1,2.15,2.1,2.15,62000
2020-02-20,2.13,2.13,2.13,2.13,10000
2020-02-21,2.14,2.15,2.14,2.15,25000
2020-02-24,2.1,2.15,2.09,2.15,52000
2020-02-26,2.06,2.06,2.01,2.05,169000
2020-02-27,2.05,2.05,2.05,2.05,39000
2020-02-28,2.0,2.0,2.0,2.0,5000
2020-03-02,2.0,2.02,1.98,2.02,180000
2020-03-03,2.01,2.07,2.0,2.07,205000
2020-03-04,2.01,2.01,2.0,2.0,60000
2020-03-06,2.01,2.02,1.96,1.96,219000
2020-03-09,1.9,1.9,1.77,1.77,209000
2020-03-10,1.75,1.75,1.73,1.73,113000
2020-03-11,1.75,1.91,1.75,1.78,38000
2020-03-12,1.75,1.8,1.75,1.76,305000
2020-03-13,1.77,1.8,1.75,1.76,337000
2020-03-16,1.76,1.92,1.76,1.92,1618000
2020-03-19,1.92,2.06,1.86,1.88,6445000
2020-03-20,1.75,1.92,1.75,1.92,180000
2020-03-23,1.75,1.9,1.75,1.9,50000
2020-03-25,1.77,1.86,1.77,1.86,11000
2020-03-26,1.84,1.88,1.84,1.84,13000
2020-03-27,1.91,1.91,1.85,1.85,11000
2020-03-30,1.79,1.8,1.75,1.8,66000
2020-03-31,1.8,1.92,1.8,1.92,137000
2020-04-01,1.8,1.92,1.76,1.92,25000
2020-04-02,1.91,1.91,1.91,1.91,25000
2020-04-03,1.91,1.91,1.87,1.87,25000
2020-04-06,1.85,1.91,1.85,1.91,13000
2020-04-07,1.84,1.91,1.8,1.91,15000
2020-04-08,1.85,1.9,1.85,1.9,10000
2020-04-13,1.9,1.91,1.9,1.91,6000
2020-04-14,1.9,1.9,1.83,1.89,28000
2020-04-15,1.81,1.9,1.81,1.9,6000
2020-04-16,1.83,1.83,1.83,1.83,7000
2020-04-17,1.89,1.89,1.85,1.85,15000
2020-04-20,1.82,1.82,1.82,1.82,38000
2020-04-21,1.89,1.89,1.89,1.89,1000
2020-04-22,1.89,1.89,1.89,1.89,3000
2020-04-23,1.78,1.8,1.68,1.79,677000
2020-04-24,1.79,1.79,1.76,1.79,109000
2020-04-28,1.71,1.84,1.7,1.8,164000
2020-04-29,1.73,1.79,1.71,1.75,100000
2020-04-30,1.75,1.75,1.74,1.74,97000
2020-05-04,1.74,1.74,1.74,1.74,5000
2020-05-05,1.75,1.8,1.75,1.8,6000
2020-05-06,1.8,1.8,1.8,1.8,2000
2020-05-08,1.75,1.76,1.75,1.76,15000
2020-05-12,1.73,1.79,1.73,1.79,3000
2020-05-13,1.74,1.76,1.7,1.76,101000
2020-05-14,1.76,1.76,1.76,1.76,1000
2020-05-15,1.75,1.75,1.75,1.75,5000
2020-05-18,1.74,1.74,1.74,1.74,8000
2020-05-19,1.74,1.74,1.74,1.74,6000
2020-05-21,1.72,1.74,1.72,1.74,30000
2020-05-22,1.74,1.74,1.73,1.73,120000
2020-05-26,1.74,1.74,1.72,1.72,10000
2020-05-27,1.73,1.74,1.73,1.74,20000
2020-05-28,1.72,1.74,1.7,1.74,27000
2020-06-01,1.7,1.74,1.7,1.74,36000
2020-06-02,1.74,1.74,1.74,1.74,14000
2020-06-03,1.75,1.77,1.73,1.73,216000
2020-06-04,1.79,1.79,1.79,1.79,3000
2020-06-05,1.77,1.78,1.77,1.77,20000
2020-06-08,1.79,1.8,1.73,1.8,75000
2020-06-09,1.8,1.86,1.8,1.82,130000
2020-06-10,1.88,1.88,1.8,1.8,128000
2020-06-11,1.84,1.84,1.82,1.82,72000
2020-06-15,1.82,1.88,1.82,1.88,98000
2020-06-16,1.89,1.9,1.89,1.9,131000
2020-06-17,1.9,1.98,1.9,1.92,1386000
2020-06-18,1.98,1.98,1.92,1.93,140000
2020-06-19,1.98,1.98,1.96,1.96,3000
2020-06-22,1.95,2.0,1.95,2.0,1050000
2020-06-23,1.93,1.98,1.93,1.98,14000
2020-06-24,1.98,2.0,1.96,1.97,56000
