Date,Open,High,Low,Close,Volume
12/27/2024,"12.52","12.52","12.52","12.52","1,000"
12/23/2024,"12.66","12.66","12.66","12.66","100"
12/20/2024,"12.68","12.70","9.40","10.82","18,900"
12/19/2024,"10.18","12.68","10.18","12.68","2,300"
12/18/2024,"10.14","11.48","10.00","11.00","18,500"
12/17/2024,"9.85","10.18","9.85","10.18","5,000"
12/16/2024,"9.80","9.87","9.79","9.87","2,200"
12/13/2024,"9.88","9.88","9.88","9.88","100"
12/12/2024,"8.11","8.11","8.11","8.11","200"
12/10/2024,"8.73","9.72","8.73","9.72","1,800"
12/09/2024,"8.03","8.03","8.03","8.03","200"
12/06/2024,"8.05","8.76","8.05","8.76","300"
12/05/2024,"8.04","8.04","8.04","8.04","1,600"
12/04/2024,"9.80","9.80","9.80","9.80","100"
12/03/2024,"9.92","9.92","9.90","9.90","1,900"
11/27/2024,"8.04","8.04","8.04","8.04","100"
11/22/2024,"8.03","8.03","8.03","8.03","2,800"
11/20/2024,"8.02","8.02","8.02","8.02","2,500"
11/19/2024,"9.07","9.08","8.00","8.00","9,800"
11/15/2024,"9.05","9.07","9.05","9.07","200"
11/14/2024,"10.80","10.80","10.80","10.80","700"
11/13/2024,"9.05","10.84","9.05","10.84","2,000"
11/12/2024,"9.50","9.98","9.00","9.01","25,000"
11/05/2024,"9.98","9.98","9.98","9.98","100"
10/30/2024,"8.92","8.92","8.92","8.92","100"
10/25/2024,"8.94","8.94","8.93","8.94","2,400"
10/24/2024,"9.98","10.00","9.98","10.00","300"
10/23/2024,"9.00","10.00","9.00","10.00","2,100"
10/22/2024,"8.96","8.96","8.96","8.96","100"
10/21/2024,"8.92","8.92","8.92","8.92","300"
10/17/2024,"8.94","8.95","8.94","8.94","4,100"
10/16/2024,"9.70","9.70","8.94","8.94","1,400"
10/14/2024,"9.31","9.31","9.31","9.31","7,700"
10/11/2024,"8.92","9.31","8.92","9.30","2,700"
10/10/2024,"8.93","8.93","8.93","8.93","2,000"
10/09/2024,"9.10","9.10","8.88","8.91","15,000"
10/08/2024,"9.62","9.62","9.12","9.62","17,200"
10/04/2024,"9.11","10.08","9.09","9.88","3,700"
10/03/2024,"10.10","10.10","10.10","10.10","100"
10/01/2024,"10.40","10.40","10.40","10.40","300"
09/30/2024,"10.70","10.70","9.12","10.68","1,600"
09/27/2024,"8.96","10.92","8.09","10.74","257,600"
09/26/2024,"8.75","9.00","8.00","9.00","23,600"
09/24/2024,"9.20","9.20","8.02","8.11","2,800"
09/20/2024,"9.30","9.30","9.30","9.30","2,000"
09/19/2024,"8.60","9.40","8.60","9.40","14,400"
09/18/2024,"8.89","9.18","8.89","8.99","700"
09/17/2024,"8.89","8.99","8.89","8.89","11,100"
09/16/2024,"9.25","9.88","9.10","9.10","2,500"
09/13/2024,"9.00","9.10","8.92","9.10","115,900"
09/12/2024,"9.01","9.05","8.92","8.92","164,900"
09/11/2024,"9.01","10.50","9.00","9.00","113,700"
09/10/2024,"10.00","10.00","9.12","9.18","19,600"
09/09/2024,"9.97","10.60","9.22","10.00","47,900"
09/06/2024,"9.75","10.30","9.65","9.80","48,800"
09/05/2024,"12.28","13.00","10.00","10.90","24,800"
09/04/2024,"13.42","15.40","11.00","12.78","54,400"
09/03/2024,"13.40","13.40","12.02","13.40","253,800"
09/02/2024,"8.49","8.94","7.00","8.94","449,700"
08/15/2024,"5.96","5.96","5.96","5.96","100"
08/13/2024,"8.50","8.50","8.50","8.50","100"
07/29/2024,"8.01","8.01","8.01","8.01","8,800"
07/25/2024,"8.70","8.70","8.01","8.01","600"
07/08/2024,"8.01","8.01","8.01","8.01","100"
07/05/2024,"8.65","8.65","8.01","8.01","15,100"
06/26/2024,"8.30","8.30","8.30","8.30","100"
06/13/2024,"8.65","8.65","8.65","8.65","300"
05/27/2024,"8.30","8.30","8.30","8.30","100"
05/22/2024,"8.65","8.65","8.65","8.65","2,000"
05/20/2024,"8.70","8.70","8.31","8.31","60,300"
05/17/2024,"8.65","8.65","8.50","8.50","50,100"
05/16/2024,"8.50","8.60","8.50","8.50","208,800"
05/15/2024,"8.50","8.50","8.50","8.50","50,000"
05/13/2024,"8.50","8.50","8.50","8.50","21,400"
05/08/2024,"8.01","8.01","8.01","8.01","700"
04/30/2024,"8.01","8.01","8.01","8.01","1,000"
04/29/2024,"8.49","8.50","8.49","8.50","77,100"
04/25/2024,"8.01","8.01","8.01","8.01","900"
04/24/2024,"8.01","8.01","8.01","8.01","506,400"
04/18/2024,"8.01","8.49","8.01","8.01","506,400"
04/12/2024,"8.01","8.01","8.01","8.01","6,700"
03/22/2024,"8.01","8.01","8.01","8.01","800"
03/21/2024,"8.49","8.49","8.49","8.49","100"
03/20/2024,"8.50","8.50","8.50","8.50","100"
03/13/2024,"8.01","8.01","8.01","8.01","5,000"
03/06/2024,"8.01","8.01","8.01","8.01","100"
03/01/2024,"8.01","8.01","8.01","8.01","1,000"
02/27/2024,"8.02","8.02","8.01","8.01","4,900"
02/23/2024,"8.50","8.50","8.02","8.02","200"
02/21/2024,"8.50","8.50","8.50","8.50","100"
02/15/2024,"8.00","8.00","8.00","8.00","64,100"
02/13/2024,"8.00","8.50","8.00","8.50","1,500"
02/07/2024,"7.99","8.00","7.99","8.00","3,900"
01/30/2024,"7.99","7.99","7.99","7.99","100"
01/04/2024,"8.49","8.49","8.49","8.49","300"
