Date,Open,High,Low,Close,Volume
2022-04-13,1.03,1.19,1.02,1.11,548529000
2022-04-18,1.15,1.17,1.06,1.08,158122000
2022-04-19,1.07,1.1,0.96,0.98,179543016
2022-04-20,0.95,1.02,0.9,1.01,151899016
2022-04-21,1.01,1.03,0.97,1.0,48770000
2022-04-22,1.0,1.01,0.99,1.0,21935000
2022-04-25,0.97,1.0,0.95,1.0,46270000
2022-04-26,1.0,1.01,0.98,1.0,10997000
2022-04-27,1.0,1.01,0.98,1.0,33819000
2022-04-28,0.99,1.06,0.99,1.06,37001000
2022-04-29,1.07,1.08,1.0,1.0,32218000
2022-05-02,1.0,1.02,0.99,1.0,13229000
2022-05-04,1.01,1.02,1.0,1.0,15302000
2022-05-05,1.01,1.04,1.0,1.0,12291000
2022-05-06,1.0,1.02,0.99,1.0,10498000
2022-05-10,0.99,1.0,0.94,0.95,35341000
2022-05-11,0.95,0.99,0.95,0.95,6247000
2022-05-12,0.95,0.96,0.86,0.86,14260000
2022-05-13,0.87,0.91,0.86,0.86,8559000
2022-05-16,0.86,0.91,0.86,0.87,6467000
2022-05-17,0.87,0.89,0.83,0.84,7872000
2022-05-18,0.86,0.89,0.86,0.87,7273000
2022-05-19,0.87,0.87,0.81,0.82,8129000
2022-05-20,0.83,0.9,0.82,0.83,15231000
2022-05-23,0.86,0.87,0.85,0.86,10970000
2022-05-24,0.85,0.86,0.82,0.83,11920000
2022-05-25,0.83,0.85,0.81,0.82,7333000
2022-05-26,0.82,0.84,0.82,0.83,5109000
2022-05-27,0.84,0.84,0.82,0.83,2085000
2022-05-30,0.83,0.84,0.81,0.82,2943000
2022-05-31,0.82,0.86,0.82,0.83,7075000
2022-06-01,0.84,0.84,0.82,0.82,1452000
2022-06-02,0.83,0.84,0.81,0.83,6532000
2022-06-03,0.84,0.85,0.83,0.84,8766000
2022-06-06,0.84,0.9,0.84,0.88,13640000
2022-06-07,0.88,0.91,0.86,0.89,6639000
2022-06-08,0.9,0.91,0.88,0.89,5035000
2022-06-09,0.88,0.91,0.88,0.9,6127000
2022-06-10,0.9,0.9,0.87,0.9,6412000
2022-06-13,0.9,0.9,0.86,0.87,5943000
2022-06-14,0.87,0.88,0.84,0.86,7094000
2022-06-15,0.86,0.9,0.86,0.87,3943000
2022-06-16,0.89,0.93,0.88,0.91,6404000
2022-06-17,0.9,0.92,0.88,0.88,5229000
2022-06-20,0.88,0.91,0.88,0.89,4103000
2022-06-21,0.91,0.91,0.89,0.9,992000
2022-06-22,0.91,0.96,0.91,0.93,17663000
2022-06-23,0.93,0.94,0.88,0.91,4656000
2022-06-24,0.91,0.93,0.9,0.9,820000
2022-06-27,0.92,0.94,0.91,0.93,7506000
2022-06-28,0.93,0.97,0.93,0.95,13047000
2022-06-29,0.95,0.96,0.92,0.93,3763000
2022-06-30,0.95,0.95,0.92,0.93,7142000
2022-07-01,0.94,0.95,0.93,0.93,8626000
2022-07-04,0.94,0.95,0.92,0.93,4764000
2022-07-05,0.93,0.96,0.93,0.95,2699000
2022-07-06,0.95,0.95,0.93,0.93,845000
2022-07-07,0.93,0.95,0.93,0.94,980000
2022-07-08,0.94,0.96,0.93,0.96,2737000
2022-07-11,0.95,0.96,0.93,0.93,6884000
2022-07-12,0.96,0.96,0.93,0.95,4958000
2022-07-13,0.95,0.96,0.92,0.95,4724000
2022-07-14,0.95,0.96,0.94,0.96,1758000
2022-07-15,0.96,0.96,0.94,0.94,2241000
2022-07-18,0.94,0.96,0.94,0.95,1053000
2022-07-19,0.95,0.98,0.95,0.98,2874000
2022-07-20,0.98,1.02,0.97,1.0,11894000
2022-07-21,1.01,1.03,1.0,1.0,9824000
2022-07-22,0.99,0.99,0.98,0.99,2871000
2022-07-25,1.0,1.01,0.98,0.99,1749000
2022-07-26,1.0,1.01,0.99,1.01,7631000
2022-07-27,1.0,1.02,0.99,1.01,1284000
2022-07-28,0.99,1.01,0.99,1.01,2702000
2022-07-29,1.01,1.01,1.0,1.01,1146000
2022-08-01,1.01,1.03,1.01,1.03,3171000
2022-08-02,1.03,1.03,1.01,1.02,2226000
2022-08-03,1.02,1.03,1.01,1.02,1496000
2022-08-04,1.02,1.06,1.01,1.04,8630000
2022-08-05,1.05,1.05,1.02,1.04,5310000
2022-08-08,1.04,1.08,1.03,1.06,12813000
2022-08-09,1.06,1.11,1.05,1.08,17804000
2022-08-10,1.08,1.1,1.06,1.09,11362000
2022-08-11,1.09,1.1,1.08,1.09,4116000
2022-08-12,1.08,1.09,1.07,1.09,3020000
2022-08-15,1.09,1.09,1.07,1.07,5092000
2022-08-16,1.08,1.12,1.08,1.09,16362000
2022-08-17,1.09,1.11,1.08,1.08,5662000
2022-08-18,1.08,1.09,1.06,1.08,9977000
2022-08-19,1.07,1.08,1.06,1.08,11318000
2022-08-22,1.07,1.08,1.06,1.06,3884000
2022-08-23,1.06,1.06,1.03,1.03,18137000
2022-08-24,1.03,1.05,1.02,1.03,4888000
2022-08-25,1.02,1.04,1.02,1.02,1425000
2022-08-26,1.05,1.06,1.03,1.05,6063000
2022-08-30,1.04,1.05,1.03,1.04,1905000
2022-08-31,1.04,1.04,1.0,1.02,12665000
2022-09-01,1.01,1.04,1.01,1.01,35108000
2022-09-02,1.01,1.04,1.01,1.03,3036000
2022-09-05,1.04,1.04,1.02,1.04,294000
2022-09-06,1.04,1.05,1.02,1.05,4150000
2022-09-07,1.04,1.06,1.04,1.05,2649000
2022-09-08,1.05,1.07,1.03,1.07,3043000
2022-09-09,1.07,1.07,1.05,1.06,493000
2022-09-12,1.05,1.06,1.05,1.06,2369000
2022-09-13,1.06,1.06,1.04,1.04,3098000
2022-09-14,1.03,1.06,1.03,1.04,2203000
2022-09-15,1.04,1.05,1.03,1.05,2851000
2022-09-16,1.04,1.05,1.04,1.05,629000
2022-09-19,1.04,1.04,1.02,1.04,2591000
2022-09-20,1.05,1.05,1.03,1.03,1034000
2022-09-21,1.03,1.03,1.0,1.01,7559000
2022-09-22,1.0,1.01,0.98,1.01,10742000
2022-09-23,1.01,1.01,0.98,0.99,652000
2022-09-27,0.98,1.0,0.91,0.92,10083000
2022-09-28,0.95,0.95,0.88,0.89,528000
2022-09-29,0.94,0.94,0.91,0.92,231000
2022-09-30,0.87,0.91,0.86,0.91,464000
2022-10-03,0.86,0.89,0.84,0.85,1563000
2022-10-04,0.91,0.94,0.9,0.93,1764000
2022-10-05,0.95,0.95,0.93,0.95,868000
2022-10-06,0.95,0.95,0.9,0.94,83000
2022-10-07,0.9,0.9,0.9,0.9,245000
2022-10-10,0.93,0.93,0.89,0.9,95000
2022-10-11,0.92,0.92,0.87,0.87,412000
2022-10-12,0.9,0.9,0.84,0.87,1480000
2022-10-13,0.85,0.88,0.84,0.84,728000
2022-10-14,0.86,0.87,0.84,0.85,1345000
2022-10-17,0.85,0.87,0.84,0.87,489000
2022-10-18,0.87,0.87,0.84,0.86,3283000
2022-10-19,0.85,0.86,0.84,0.85,909000
2022-10-20,0.85,0.86,0.83,0.84,450000
2022-10-21,0.83,0.85,0.82,0.83,446000
2022-10-24,0.83,0.85,0.83,0.83,527000
2022-10-25,0.83,0.85,0.81,0.83,754000
2022-10-26,0.83,0.85,0.82,0.83,2668000
2022-10-27,0.85,0.86,0.82,0.84,374000
2022-10-28,0.84,0.85,0.83,0.84,746000
2022-11-02,0.84,0.85,0.83,0.85,180000
2022-11-03,0.85,0.85,0.83,0.84,508000
2022-11-04,0.84,0.85,0.83,0.83,273000
2022-11-07,0.83,0.86,0.83,0.85,279000
2022-11-08,0.85,0.87,0.85,0.87,537000
2022-11-09,0.87,0.88,0.85,0.88,109000
2022-11-10,0.88,0.88,0.85,0.85,517000
2022-11-11,0.86,0.88,0.85,0.87,567000
2022-11-14,0.87,0.88,0.86,0.86,344000
2022-11-15,0.86,0.87,0.86,0.86,307000
2022-11-16,0.86,0.91,0.85,0.9,690000
2022-11-17,0.9,0.9,0.88,0.88,2417000
2022-11-18,0.86,0.87,0.86,0.87,485000
2022-11-21,0.87,0.91,0.87,0.88,651000
2022-11-22,0.88,0.89,0.87,0.87,282000
2022-11-23,0.9,0.91,0.87,0.9,373000
2022-11-24,0.9,0.91,0.89,0.89,222000
2022-11-25,0.91,0.91,0.89,0.9,137000
2022-11-28,0.91,0.92,0.9,0.91,433000
2022-11-29,0.92,0.92,0.89,0.89,1993000
2022-12-01,0.92,0.95,0.91,0.91,231000
2022-12-02,0.92,0.92,0.91,0.91,1673000
2022-12-05,0.9,0.93,0.89,0.93,1380000
2022-12-06,0.93,0.95,0.92,0.92,909000
2022-12-07,0.91,0.93,0.91,0.93,991000
2022-12-09,0.93,0.94,0.92,0.92,261000
2022-12-12,0.92,0.94,0.91,0.94,491000
2022-12-13,0.91,0.94,0.91,0.91,675000
2022-12-14,0.91,0.93,0.91,0.92,124000
2022-12-15,0.92,0.92,0.91,0.91,1710000
2022-12-16,0.91,0.95,0.91,0.95,317000
2022-12-19,0.94,0.94,0.92,0.93,114000
2022-12-20,0.93,0.93,0.93,0.93,1000
2022-12-21,0.94,0.94,0.91,0.92,219000
2022-12-22,0.91,0.94,0.91,0.94,199000
2022-12-23,0.94,0.94,0.91,0.94,135000
2022-12-27,0.92,0.96,0.92,0.96,836000
