Date,Open,High,Low,Close,Volume
12/27/2024,"10.08","10.28","10.08","10.20","4,600"
12/26/2024,"10.14","10.42","10.10","10.12","48,400"
12/23/2024,"10.46","10.46","10.10","10.14","35,800"
12/20/2024,"10.40","10.46","9.98","10.46","389,700"
12/19/2024,"10.30","10.42","9.90","10.42","526,500"
12/18/2024,"10.46","10.46","10.10","10.40","59,800"
12/17/2024,"10.34","10.54","10.26","10.46","99,200"
12/16/2024,"10.32","10.66","10.32","10.38","334,400"
12/13/2024,"10.46","10.56","10.08","10.56","398,200"
12/12/2024,"10.36","10.46","10.02","10.46","252,000"
12/11/2024,"10.10","10.48","9.90","10.36","195,400"
12/10/2024,"10.28","10.40","9.94","10.30","399,400"
12/09/2024,"10.04","10.30","9.84","10.30","343,100"
12/06/2024,"9.92","10.10","9.65","10.06","282,900"
12/05/2024,"9.53","10.00","9.40","9.92","301,000"
12/04/2024,"9.40","9.70","9.30","9.70","92,600"
12/03/2024,"9.68","9.68","9.40","9.40","90,300"
12/02/2024,"9.68","9.68","9.20","9.68","23,700"
11/29/2024,"9.21","9.69","9.00","9.69","152,000"
11/28/2024,"8.95","9.40","8.95","9.21","119,700"
11/27/2024,"9.40","9.40","9.02","9.02","98,600"
11/26/2024,"9.45","9.55","9.30","9.35","112,000"
11/25/2024,"9.55","9.60","9.44","9.60","11,300"
11/22/2024,"9.70","9.70","9.41","9.55","50,000"
11/21/2024,"9.70","9.70","9.50","9.70","58,100"
11/20/2024,"9.77","9.77","9.64","9.70","38,400"
11/19/2024,"9.64","9.80","9.60","9.77","104,800"
11/18/2024,"9.70","9.71","9.42","9.64","75,800"
11/15/2024,"9.48","9.90","9.45","9.71","13,800"
11/14/2024,"9.69","9.69","9.01","9.50","256,100"
11/13/2024,"9.80","9.95","9.60","9.69","57,800"
11/12/2024,"10.00","10.00","9.63","9.80","32,000"
11/11/2024,"9.96","10.00","9.76","9.99","136,600"
11/08/2024,"9.85","10.00","9.75","9.95","57,000"
11/07/2024,"10.00","10.00","9.65","9.85","120,200"
11/06/2024,"10.20","10.22","9.98","10.00","115,600"
11/05/2024,"10.20","10.26","10.10","10.24","64,000"
11/04/2024,"10.40","10.40","10.20","10.30","97,000"
10/31/2024,"10.00","10.44","9.95","10.44","104,100"
10/30/2024,"10.00","10.10","9.95","10.00","63,200"
10/29/2024,"10.50","10.50","9.74","10.10","373,100"
10/28/2024,"10.64","10.64","10.46","10.60","48,800"
10/25/2024,"10.82","10.88","10.54","10.64","276,600"
10/24/2024,"10.76","10.88","10.34","10.82","296,400"
10/23/2024,"10.84","10.90","10.60","10.78","167,400"
10/22/2024,"10.82","10.98","10.74","10.84","320,500"
10/21/2024,"10.78","10.90","10.78","10.84","242,300"
10/18/2024,"10.30","10.74","10.30","10.74","677,400"
10/17/2024,"10.40","10.40","10.18","10.28","83,300"
10/16/2024,"10.24","10.40","10.20","10.40","169,400"
10/15/2024,"10.38","10.38","10.22","10.30","81,000"
10/14/2024,"10.32","10.44","10.22","10.38","155,300"
10/11/2024,"10.44","10.44","10.12","10.30","40,600"
10/10/2024,"10.12","10.46","10.08","10.46","144,600"
10/09/2024,"10.44","10.50","10.04","10.12","365,800"
10/08/2024,"10.48","10.58","10.40","10.44","76,300"
10/07/2024,"10.26","10.56","10.26","10.48","225,100"
10/04/2024,"10.20","10.40","10.18","10.26","185,000"
10/03/2024,"10.40","10.48","10.10","10.20","206,700"
10/02/2024,"10.04","10.60","10.04","10.30","661,000"
10/01/2024,"9.70","10.04","9.70","10.04","894,300"
09/30/2024,"9.38","9.70","9.38","9.62","169,200"
09/27/2024,"9.39","9.46","9.30","9.38","799,100"
09/26/2024,"9.42","9.46","9.30","9.35","178,000"
09/25/2024,"9.65","9.80","9.49","9.49","291,200"
09/24/2024,"9.76","9.81","9.60","9.65","490,700"
09/23/2024,"9.77","9.85","9.50","9.65","744,300"
09/20/2024,"9.48","9.88","9.48","9.77","647,800"
09/19/2024,"9.49","9.49","9.15","9.42","250,600"
09/18/2024,"8.84","9.10","8.84","9.10","192,700"
09/17/2024,"8.70","8.88","8.70","8.83","202,500"
09/16/2024,"8.83","8.84","8.70","8.70","258,500"
09/13/2024,"8.89","8.91","8.71","8.83","238,300"
09/12/2024,"8.99","8.99","8.86","8.90","218,700"
09/11/2024,"9.16","9.27","8.80","9.00","363,900"
09/10/2024,"9.65","9.65","9.15","9.16","436,800"
09/09/2024,"9.50","9.65","9.42","9.53","125,300"
09/06/2024,"9.51","9.64","9.45","9.54","483,000"
09/05/2024,"9.52","9.65","9.52","9.64","46,700"
09/04/2024,"9.70","9.70","9.51","9.52","141,600"
09/03/2024,"10.00","10.00","9.80","9.81","63,500"
09/02/2024,"9.60","10.00","9.60","9.90","263,300"
08/30/2024,"9.52","9.53","9.50","9.52","123,900"
08/29/2024,"9.53","9.53","9.50","9.52","280,100"
08/28/2024,"9.84","9.86","9.51","9.53","384,600"
08/27/2024,"10.00","10.00","9.82","9.82","227,100"
08/22/2024,"10.10","10.20","10.00","10.00","537,600"
08/21/2024,"10.40","10.40","10.10","10.10","398,700"
08/20/2024,"10.46","10.70","10.40","10.40","190,900"
08/19/2024,"10.38","10.70","10.34","10.46","236,200"
08/16/2024,"10.38","10.40","10.30","10.36","54,800"
08/15/2024,"10.38","10.50","10.24","10.36","152,100"
08/14/2024,"10.64","10.64","10.06","10.38","300,800"
08/13/2024,"10.62","10.98","10.54","10.66","81,900"
08/12/2024,"10.82","11.28","10.62","10.62","86,100"
08/09/2024,"11.30","11.30","10.80","10.80","357,000"
08/08/2024,"11.16","11.32","10.94","11.30","376,400"
08/07/2024,"11.06","11.28","11.00","11.16","104,400"
08/06/2024,"10.34","11.16","10.34","11.06","396,300"
08/05/2024,"10.90","11.00","10.38","10.40","146,200"
08/02/2024,"10.40","11.26","10.36","11.00","758,800"
08/01/2024,"10.38","10.74","10.36","10.40","261,000"
07/31/2024,"10.36","10.78","10.36","10.46","181,700"
07/30/2024,"10.80","10.80","10.10","10.38","939,500"
07/29/2024,"11.00","11.00","10.76","10.80","184,900"
07/26/2024,"10.80","11.10","10.74","11.10","501,500"
07/25/2024,"11.30","11.30","10.80","10.88","286,200"
07/23/2024,"11.50","11.64","10.60","11.30","2,552,400"
07/22/2024,"11.80","11.92","11.80","11.92","160,500"
07/19/2024,"11.94","12.00","11.90","11.92","97,300"
07/18/2024,"12.10","12.20","11.94","11.94","654,800"
07/17/2024,"12.36","12.50","12.18","12.20","664,900"
07/16/2024,"12.44","12.44","12.20","12.36","672,600"
07/15/2024,"12.50","12.52","12.30","12.40","394,500"
07/12/2024,"12.50","12.60","12.32","12.60","758,500"
07/11/2024,"12.48","12.56","12.40","12.48","628,300"
07/10/2024,"12.42","12.56","12.38","12.44","733,800"
07/09/2024,"12.04","12.46","11.90","12.40","733,200"
07/08/2024,"11.90","12.10","11.78","12.04","570,500"
07/05/2024,"11.98","11.98","11.78","11.90","169,400"
07/04/2024,"11.92","12.06","11.80","11.88","166,200"
07/03/2024,"11.70","12.00","11.66","11.92","234,000"
07/02/2024,"11.86","11.88","11.60","11.68","319,900"
07/01/2024,"12.10","12.12","11.86","11.90","232,600"
06/28/2024,"12.10","12.28","12.06","12.10","247,200"
06/27/2024,"12.08","12.30","12.00","12.28","927,500"
06/26/2024,"12.06","12.20","11.80","12.10","1,279,000"
06/25/2024,"11.40","12.06","11.40","12.06","907,500"
06/24/2024,"10.94","11.42","10.84","11.30","602,100"
06/21/2024,"11.08","11.30","10.82","10.90","481,600"
06/20/2024,"11.76","11.90","11.10","11.16","665,000"
06/19/2024,"11.82","12.20","11.80","11.80","449,900"
06/18/2024,"11.56","11.80","11.40","11.80","194,500"
06/14/2024,"11.50","11.56","11.30","11.54","196,500"
06/13/2024,"11.64","11.88","11.52","11.56","225,800"
