Date,Open,High,Low,Close,Volume
12/29/2023,"93.05","93.05","92.95","93.00","13,210"
12/28/2023,"94.55","94.55","92.15","93.00","28,800"
12/27/2023,"94.50","94.65","94.50","94.50","12,240"
12/22/2023,"94.00","94.50","94.00","94.45","18,420"
12/21/2023,"94.00","94.00","93.95","94.00","26,150"
12/20/2023,"94.00","94.00","93.95","93.95","4,650"
12/19/2023,"93.50","94.00","93.50","94.00","9,270"
12/18/2023,"93.40","93.50","93.40","93.50","21,660"
12/15/2023,"92.00","93.20","92.00","92.80","14,260"
12/14/2023,"92.00","92.00","92.00","92.00","460"
12/13/2023,"92.00","92.00","91.70","91.70","2,460"
12/12/2023,"92.00","92.00","92.00","92.00","3,360"
12/11/2023,"92.00","92.00","91.70","92.00","6,390"
12/07/2023,"92.00","92.00","91.55","91.55","440"
12/06/2023,"92.00","92.90","92.00","92.50","1,810"
12/05/2023,"92.00","92.00","91.20","92.00","1,750"
12/04/2023,"91.15","92.00","91.00","92.00","640"
12/01/2023,"91.30","91.30","91.15","91.15","2,500"
11/30/2023,"92.00","92.00","91.05","91.05","12,100"
11/29/2023,"91.45","91.45","91.45","91.45","100"
11/28/2023,"91.95","91.95","90.05","90.05","10,670"
11/24/2023,"92.00","92.00","90.00","90.00","35,460"
11/23/2023,"92.60","93.00","92.00","92.00","9,540"
11/20/2023,"93.00","93.10","91.00","91.05","18,810"
11/17/2023,"92.25","92.25","92.00","92.25","960"
11/16/2023,"92.10","92.10","91.80","92.00","3,070"
11/15/2023,"92.20","92.20","90.05","92.20","800"
11/13/2023,"90.00","93.45","90.00","90.00","22,910"
11/10/2023,"90.00","90.00","89.50","90.00","15,460"
11/09/2023,"90.85","90.85","89.95","90.00","5,670"
11/08/2023,"90.95","90.95","89.70","90.00","3,080"
11/07/2023,"91.00","91.00","89.60","90.00","17,120"
11/06/2023,"91.00","91.00","91.00","91.00","6,450"
11/03/2023,"90.00","90.00","90.00","90.00","500"
10/31/2023,"90.95","90.95","90.95","90.95","230"
10/27/2023,"90.00","90.00","90.00","90.00","37,700"
10/26/2023,"89.90","90.00","88.50","88.50","17,360"
10/25/2023,"90.10","90.10","89.90","90.00","18,520"
10/24/2023,"92.05","92.05","90.00","90.00","113,730"
10/23/2023,"90.00","90.05","90.00","90.00","9,220"
10/20/2023,"90.20","90.20","90.00","90.00","99,710"
10/19/2023,"91.00","93.00","90.00","90.00","62,450"
10/18/2023,"92.00","92.00","91.00","91.00","82,580"
10/17/2023,"92.50","92.50","91.75","91.75","55,300"
10/13/2023,"93.00","93.40","92.50","93.40","350"
10/12/2023,"93.45","93.45","93.45","93.45","90"
10/11/2023,"93.00","93.00","92.05","92.30","54,960"
10/10/2023,"93.00","93.50","92.15","92.15","48,900"
10/09/2023,"92.50","92.50","91.80","92.50","57,080"
10/06/2023,"93.00","93.00","92.50","92.50","6,950"
10/05/2023,"93.00","93.00","92.50","93.00","5,600"
10/04/2023,"93.00","93.00","93.00","93.00","430"
10/03/2023,"94.00","94.00","93.50","93.50","15,060"
10/02/2023,"94.00","94.00","93.90","94.00","3,730"
09/29/2023,"93.75","93.75","92.15","92.15","2,530"
09/28/2023,"93.00","93.00","92.50","92.75","8,980"
09/27/2023,"94.00","94.85","93.80","94.85","15,730"
09/26/2023,"94.00","94.00","93.00","94.00","19,390"
09/25/2023,"93.90","94.00","93.00","93.00","204,610"
09/22/2023,"93.90","93.90","93.90","93.90","760"
09/21/2023,"93.00","93.90","93.00","93.90","139,510"
09/20/2023,"93.00","93.00","93.00","93.00","35,430"
09/19/2023,"93.00","93.00","92.95","93.00","137,530"
09/18/2023,"93.00","93.00","92.90","93.00","78,730"
09/15/2023,"93.00","93.00","93.00","93.00","1,920"
09/14/2023,"93.00","93.00","92.85","92.85","58,690"
09/13/2023,"93.00","93.00","93.00","93.00","40,400"
09/12/2023,"93.50","93.60","93.00","93.00","80,440"
09/11/2023,"93.90","93.90","93.50","93.50","69,060"
09/08/2023,"94.00","94.00","94.00","94.00","20"
09/07/2023,"94.00","94.00","94.00","94.00","1,540"
09/06/2023,"93.00","93.00","92.95","93.00","112,810"
09/05/2023,"93.00","93.00","92.95","93.00","780"
09/04/2023,"92.55","93.00","92.55","92.90","139,230"
09/01/2023,"92.90","93.00","92.85","93.00","10,660"
08/31/2023,"92.95","93.00","92.95","92.95","24,470"
08/30/2023,"92.95","92.95","92.65","92.95","7,890"
08/29/2023,"93.00","93.00","92.50","92.60","20,150"
08/25/2023,"93.00","93.00","93.00","93.00","12,160"
08/24/2023,"93.00","93.00","93.00","93.00","46,390"
08/23/2023,"93.00","93.00","93.00","93.00","21,450"
08/22/2023,"94.00","94.00","92.50","92.50","20,040"
08/18/2023,"93.00","93.00","92.80","92.85","5,060"
08/17/2023,"94.00","94.00","94.00","94.00","230"
08/16/2023,"94.00","94.00","94.00","94.00","140"
08/15/2023,"93.00","93.00","93.00","93.00","14,130"
08/14/2023,"93.00","93.05","93.00","93.00","11,260"
08/11/2023,"93.00","93.00","93.00","93.00","20,870"
08/10/2023,"93.00","93.00","93.00","93.00","6,360"
08/09/2023,"93.00","93.00","92.95","93.00","19,270"
08/08/2023,"93.00","93.00","92.85","93.00","8,070"
08/07/2023,"93.00","93.00","92.80","93.00","24,260"
08/04/2023,"93.00","93.00","92.50","92.80","13,710"
08/03/2023,"93.00","93.00","93.00","93.00","3,070"
08/02/2023,"94.00","94.00","92.00","92.00","62,450"
08/01/2023,"93.75","94.00","93.00","93.00","115,060"
07/31/2023,"94.50","94.50","93.05","94.00","28,500"
07/28/2023,"94.00","94.50","94.00","94.50","20,750"
07/27/2023,"95.20","95.20","93.75","94.00","30,930"
07/26/2023,"95.45","95.45","95.45","95.45","100"
07/25/2023,"95.50","95.50","94.00","94.00","166,530"
07/24/2023,"95.85","95.85","95.50","95.50","920"
07/21/2023,"94.50","95.85","93.75","95.85","59,190"
07/20/2023,"95.10","95.85","94.05","95.85","42,260"
07/19/2023,"95.00","96.00","93.75","95.95","160,700"
07/18/2023,"96.85","96.90","96.50","96.90","7,260"
07/17/2023,"96.90","97.00","96.50","96.75","18,290"
07/14/2023,"96.35","96.95","96.00","96.50","24,910"
07/13/2023,"95.95","96.50","95.95","96.45","14,910"
07/12/2023,"94.20","96.00","93.50","96.00","36,570"
07/11/2023,"95.00","96.00","95.00","96.00","44,440"
07/10/2023,"95.40","95.50","95.40","95.50","1,870"
07/07/2023,"95.00","95.95","94.90","95.50","11,500"
07/06/2023,"94.00","95.00","92.50","95.00","33,490"
07/05/2023,"94.00","94.50","92.80","92.80","15,530"
07/04/2023,"94.00","94.00","93.05","94.00","11,480"
07/03/2023,"94.00","94.00","94.00","94.00","9,570"
06/30/2023,"94.00","94.50","94.00","94.00","11,880"
06/29/2023,"95.80","95.80","94.00","94.00","10,910"
06/27/2023,"96.00","96.00","95.80","95.80","220"
06/26/2023,"96.20","97.00","96.20","96.90","11,120"
06/23/2023,"96.10","96.90","96.10","96.90","56,030"
06/22/2023,"96.95","96.95","96.40","96.60","4,520"
06/21/2023,"96.95","97.00","96.20","96.95","7,950"
06/20/2023,"96.00","96.95","96.00","96.95","18,440"
06/19/2023,"96.00","96.00","95.85","96.00","17,090"
06/16/2023,"95.95","95.95","95.95","95.95","100"
06/15/2023,"93.15","93.30","93.15","93.30","1,550"
06/14/2023,"93.30","93.30","93.10","93.15","4,180"
06/13/2023,"93.40","93.40","93.00","93.30","29,370"
06/09/2023,"94.05","94.05","93.35","94.00","7,890"
06/08/2023,"94.60","95.00","94.00","94.00","11,380"
06/07/2023,"95.00","95.05","95.00","95.00","11,940"
06/06/2023,"95.00","95.00","95.00","95.00","1,660"
06/05/2023,"95.00","95.00","95.00","95.00","6,340"
06/02/2023,"96.00","96.00","96.00","96.00","150"
06/01/2023,"96.00","96.00","96.00","96.00","100"
05/31/2023,"96.00","96.00","96.00","96.00","100"
05/26/2023,"96.00","96.00","93.50","96.00","26,950"
05/25/2023,"96.00","96.00","96.00","96.00","10"
05/23/2023,"96.00","96.00","96.00","96.00","2,000"
05/22/2023,"96.00","96.00","94.75","96.00","18,770"
05/19/2023,"96.00","96.00","96.00","96.00","510"
05/18/2023,"96.00","96.00","94.75","94.75","12,800"
05/17/2023,"94.75","95.00","94.75","94.75","33,260"
05/16/2023,"94.75","94.75","94.75","94.75","25,610"
05/15/2023,"95.00","95.00","94.10","94.10","11,150"
05/12/2023,"95.00","95.50","94.80","95.00","2,690"
05/10/2023,"96.00","96.00","94.70","94.75","11,570"
05/09/2023,"96.00","96.00","96.00","96.00","60"
05/04/2023,"96.00","96.00","96.00","96.00","2,610"
05/03/2023,"97.00","97.00","96.00","96.00","13,100"
05/02/2023,"95.20","97.45","95.00","97.45","38,100"
04/28/2023,"96.90","97.00","95.00","97.00","15,760"
04/27/2023,"92.60","96.90","92.60","96.90","6,760"
04/26/2023,"96.85","96.85","96.85","96.85","100"
04/25/2023,"96.00","96.95","95.95","96.95","25,960"
04/24/2023,"92.10","96.00","92.10","95.95","66,730"
04/20/2023,"95.50","95.95","95.50","95.95","5,300"
