Date,Open,High,Low,Close,Volume
12/27/2024,"2.700","2.860","2.700","2.850","1,773,000"
12/19/2024,"2.570","2.700","2.570","2.700","10,000"
12/18/2024,"2.500","2.560","2.490","2.560","24,000"
12/17/2024,"2.500","2.500","2.500","2.500","8,000"
12/16/2024,"2.500","2.500","2.500","2.500","21,000"
12/13/2024,"2.510","2.510","2.510","2.510","1,000"
12/12/2024,"2.520","2.560","2.500","2.500","104,000"
12/11/2024,"2.530","2.770","2.530","2.770","2,000"
12/09/2024,"2.810","2.820","2.810","2.820","8,000"
12/02/2024,"2.530","2.800","2.510","2.800","101,000"
11/29/2024,"2.530","2.820","2.510","2.820","1,657,000"
11/27/2024,"2.560","2.770","2.520","2.770","13,000"
11/26/2024,"2.540","2.890","2.480","2.890","105,000"
11/22/2024,"2.940","2.940","2.940","2.940","7,000"
11/18/2024,"2.800","2.990","2.800","2.990","3,000"
11/15/2024,"2.700","2.950","2.700","2.950","118,000"
11/14/2024,"2.700","2.990","2.700","2.990","21,000"
11/12/2024,"3.000","3.000","3.000","3.000","50,000"
11/11/2024,"2.800","3.000","2.800","3.000","261,000"
11/07/2024,"2.990","3.300","2.990","3.300","86,000"
11/06/2024,"2.990","3.000","2.990","3.000","50,000"
11/05/2024,"2.850","2.900","2.850","2.900","50,000"
11/04/2024,"2.740","2.860","2.740","2.860","633,000"
10/30/2024,"2.630","2.740","2.630","2.740","26,000"
10/28/2024,"2.650","2.650","2.650","2.650","2,000"
10/25/2024,"2.800","2.800","2.570","2.580","44,000"
10/24/2024,"2.840","2.840","2.570","2.580","151,000"
10/23/2024,"2.620","2.700","2.530","2.700","1,078,000"
10/22/2024,"2.630","2.850","2.610","2.620","236,000"
10/21/2024,"2.620","2.790","2.620","2.790","2,468,000"
10/18/2024,"2.640","2.640","2.640","2.640","56,000"
10/17/2024,"2.640","2.640","2.630","2.640","80,000"
10/15/2024,"2.790","2.790","2.790","2.790","2,000"
10/10/2024,"2.770","2.800","2.770","2.800","32,000"
10/09/2024,"2.760","2.770","2.760","2.770","3,000"
10/08/2024,"2.800","2.800","2.550","2.570","104,000"
10/03/2024,"2.770","2.770","2.750","2.770","93,000"
10/02/2024,"2.790","2.790","2.790","2.790","1,000"
10/01/2024,"2.600","2.750","2.530","2.750","143,000"
09/30/2024,"2.600","2.750","2.600","2.750","4,000"
09/27/2024,"2.600","2.600","2.600","2.600","10,000"
09/26/2024,"2.530","2.530","2.530","2.530","5,000"
09/25/2024,"2.680","2.680","2.500","2.530","29,000"
09/23/2024,"2.680","2.680","2.680","2.680","35,000"
09/20/2024,"2.880","2.880","2.880","2.880","5,000"
09/18/2024,"2.870","2.880","2.870","2.880","20,000"
09/11/2024,"2.500","2.900","2.500","2.900","5,000"
08/29/2024,"2.500","2.970","2.500","2.970","33,000"
08/27/2024,"2.500","2.510","2.500","2.500","22,000"
08/22/2024,"2.500","2.500","2.500","2.500","10,000"
08/21/2024,"2.970","2.970","2.970","2.970","1,000"
08/20/2024,"2.420","2.970","2.410","2.970","14,000"
08/09/2024,"2.980","2.980","2.980","2.980","2,000"
08/07/2024,"2.510","2.510","2.510","2.510","1,000"
08/05/2024,"2.590","2.590","2.510","2.510","40,000"
08/02/2024,"2.550","2.600","2.550","2.600","4,000"
07/29/2024,"2.830","2.840","2.830","2.840","3,000"
07/26/2024,"2.990","2.990","2.990","2.990","18,000"
07/23/2024,"2.860","3.000","2.840","3.000","62,000"
07/19/2024,"2.850","3.000","2.850","2.860","171,000"
07/18/2024,"2.900","2.900","2.840","2.840","301,000"
07/17/2024,"2.960","2.960","2.900","2.900","450,000"
07/16/2024,"2.990","3.000","2.970","3.000","232,000"
07/15/2024,"2.990","2.990","2.990","2.990","2,000"
07/12/2024,"2.980","2.990","2.980","2.990","34,000"
07/11/2024,"3.010","3.050","2.980","2.990","248,000"
07/10/2024,"3.050","3.190","3.010","3.190","165,000"
07/09/2024,"3.040","3.040","3.040","3.040","4,000"
07/08/2024,"3.050","3.050","3.040","3.040","33,000"
07/05/2024,"3.150","3.230","2.990","3.230","158,000"
07/04/2024,"3.370","3.370","3.370","3.370","47,000"
07/03/2024,"3.390","3.390","3.370","3.370","103,000"
07/02/2024,"3.410","3.410","3.400","3.400","100,000"
07/01/2024,"3.430","3.430","3.420","3.420","112,000"
06/28/2024,"3.430","3.500","3.430","3.500","10,000"
06/26/2024,"3.440","3.440","3.430","3.430","10,000"
06/25/2024,"3.460","3.460","3.440","3.440","100,000"
06/24/2024,"3.460","3.460","3.460","3.460","10,000"
06/21/2024,"3.460","3.460","3.460","3.460","121,000"
06/19/2024,"3.490","3.490","3.480","3.480","30,000"
06/18/2024,"3.490","3.490","3.490","3.490","21,000"
06/14/2024,"3.500","3.510","3.490","3.490","18,000"
06/13/2024,"3.560","3.560","3.490","3.490","50,000"
06/11/2024,"3.550","3.570","3.550","3.570","1,549,000"
06/10/2024,"3.800","3.800","3.800","3.800","1,000"
06/06/2024,"3.780","3.780","3.780","3.780","5,000"
06/05/2024,"3.510","3.880","3.510","3.880","110,000"
06/04/2024,"3.840","3.840","3.840","3.840","270,000"
05/30/2024,"3.840","3.880","3.840","3.880","10,000"
05/29/2024,"3.800","3.850","3.800","3.850","111,000"
05/28/2024,"3.820","3.850","3.820","3.850","30,000"
05/27/2024,"3.470","3.500","3.470","3.500","90,000"
05/24/2024,"3.480","3.480","3.480","3.480","3,563,000"
05/23/2024,"3.520","3.520","3.480","3.480","14,715,000"
05/22/2024,"3.540","3.540","3.500","3.500","20,000"
05/21/2024,"3.600","3.690","3.600","3.690","14,000"
05/20/2024,"3.700","3.700","3.680","3.700","28,000"
05/17/2024,"3.650","3.740","3.600","3.740","29,000"
05/16/2024,"3.610","3.770","3.600","3.740","37,000"
05/15/2024,"3.650","3.650","3.610","3.610","30,000"
05/14/2024,"3.700","3.700","3.690","3.690","178,000"
05/13/2024,"3.650","3.980","3.610","3.850","140,000"
05/10/2024,"3.500","3.730","3.500","3.730","6,000"
05/09/2024,"3.600","3.740","3.600","3.740","52,000"
05/08/2024,"3.550","3.840","3.500","3.820","58,000"
05/07/2024,"3.500","3.770","3.490","3.770","114,000"
05/06/2024,"3.100","3.760","3.100","3.500","51,000"
05/02/2024,"3.920","3.990","3.920","3.980","12,000"
04/30/2024,"3.400","4.000","3.400","3.990","955,000"
04/29/2024,"3.270","3.500","3.260","3.500","482,000"
