Date,Open,High,Low,Close,Volume
12/31/2021,"5.110","5.120","5.050","5.050","2,478,500"
12/29/2021,"5.090","5.120","5.070","5.110","5,689,700"
12/28/2021,"5.050","5.140","5.010","5.080","4,895,600"
12/27/2021,"5.090","5.090","4.980","5.040","7,937,700"
12/24/2021,"5.160","5.160","5.040","5.090","5,772,100"
12/23/2021,"5.150","5.180","5.100","5.160","3,609,900"
12/22/2021,"5.290","5.290","5.010","5.180","5,576,800"
12/21/2021,"5.180","5.390","5.170","5.290","6,479,200"
12/20/2021,"5.100","5.250","5.000","5.180","9,529,500"
12/17/2021,"5.950","6.110","5.510","5.510","13,068,100"
12/16/2021,"5.700","5.850","5.600","5.850","3,346,000"
12/15/2021,"5.870","5.960","5.520","5.600","6,068,300"
12/14/2021,"5.960","5.990","5.800","5.870","4,259,800"
12/13/2021,"6.220","6.230","5.900","5.900","6,281,000"
12/10/2021,"5.970","6.260","5.930","6.230","9,543,300"
12/09/2021,"5.800","6.040","5.800","5.940","3,223,000"
12/07/2021,"6.150","6.230","5.750","5.770","7,148,500"
12/06/2021,"5.730","6.150","5.730","6.110","10,667,800"
12/03/2021,"5.540","5.750","5.540","5.720","6,077,200"
12/02/2021,"5.250","5.550","5.200","5.500","5,767,400"
12/01/2021,"5.400","5.400","5.200","5.250","4,914,500"
11/29/2021,"5.490","5.570","5.110","5.410","6,978,300"
11/26/2021,"5.990","5.990","5.600","5.610","9,976,800"
11/25/2021,"6.130","6.160","6.000","6.000","6,439,400"
11/24/2021,"6.070","6.320","6.000","6.110","13,142,300"
11/23/2021,"5.600","6.110","5.500","6.040","20,883,400"
11/22/2021,"5.100","5.600","5.070","5.570","14,202,300"
11/19/2021,"5.450","5.540","5.080","5.160","11,632,200"
11/18/2021,"5.600","5.650","5.240","5.420","28,258,199"
11/17/2021,"5.900","5.900","5.600","5.600","20,360,100"
11/16/2021,"6.020","6.030","5.810","5.950","17,696,100"
11/15/2021,"6.300","6.300","6.000","6.040","18,952,000"
11/12/2021,"6.700","6.710","6.200","6.330","15,470,900"
11/11/2021,"6.700","6.730","6.650","6.700","3,009,700"
11/10/2021,"6.650","6.700","6.630","6.640","3,908,300"
11/09/2021,"6.750","6.760","6.620","6.620","4,715,800"
11/08/2021,"6.620","6.780","6.620","6.700","3,633,000"
11/05/2021,"6.720","6.720","6.600","6.620","7,113,800"
11/04/2021,"7.000","7.020","6.650","6.700","10,094,900"
11/03/2021,"6.810","6.990","6.800","6.850","7,830,800"
11/02/2021,"7.040","7.040","6.810","6.810","15,189,200"
10/29/2021,"7.100","7.150","7.010","7.040","4,525,500"
10/28/2021,"7.150","7.250","7.070","7.160","2,746,500"
10/27/2021,"7.150","7.300","7.090","7.100","4,807,200"
10/26/2021,"7.340","7.390","7.150","7.150","4,764,900"
10/25/2021,"7.330","7.500","7.230","7.340","5,261,200"
10/22/2021,"7.200","7.500","7.140","7.320","8,516,500"
10/21/2021,"7.000","7.240","7.000","7.150","5,977,000"
10/20/2021,"7.050","7.100","7.000","7.010","9,422,200"
10/19/2021,"7.100","7.150","7.070","7.090","3,908,000"
10/18/2021,"7.250","7.250","7.050","7.090","8,160,100"
10/15/2021,"7.380","7.420","7.270","7.280","6,817,600"
10/14/2021,"7.410","7.440","7.340","7.360","3,361,700"
10/13/2021,"7.600","7.700","7.310","7.410","5,423,700"
10/12/2021,"7.520","7.720","7.520","7.600","6,274,600"
10/11/2021,"7.440","7.570","7.300","7.510","6,553,400"
10/08/2021,"7.390","7.560","7.350","7.440","4,347,100"
10/07/2021,"7.760","7.850","7.370","7.370","8,772,900"
10/06/2021,"7.130","7.750","7.110","7.740","13,355,800"
10/05/2021,"7.300","7.300","7.100","7.130","8,242,800"
10/04/2021,"7.370","7.550","7.280","7.300","6,842,900"
10/01/2021,"7.350","7.450","7.250","7.360","3,964,800"
09/30/2021,"7.390","7.490","7.340","7.350","4,513,400"
09/29/2021,"7.540","7.550","7.350","7.390","6,111,400"
09/28/2021,"7.530","7.570","7.350","7.540","8,634,200"
09/27/2021,"7.700","7.790","7.510","7.520","7,833,300"
09/24/2021,"7.850","7.950","7.650","7.660","8,050,100"
09/23/2021,"7.930","8.070","7.820","7.830","5,039,700"
09/22/2021,"7.690","7.950","7.690","7.880","6,154,400"
09/21/2021,"7.530","7.740","7.350","7.660","12,747,300"
09/20/2021,"8.200","8.250","7.510","7.810","16,919,900"
09/17/2021,"8.120","8.260","8.090","8.170","7,318,400"
09/16/2021,"8.300","8.300","8.080","8.120","4,625,100"
09/15/2021,"8.310","8.450","8.040","8.240","15,317,300"
09/14/2021,"8.810","8.860","8.300","8.300","12,369,900"
09/13/2021,"8.780","8.820","8.550","8.720","9,677,100"
09/10/2021,"8.820","8.940","8.790","8.790","5,448,400"
09/09/2021,"8.850","8.950","8.810","8.820","2,671,300"
09/08/2021,"8.820","8.970","8.680","8.840","6,377,600"
09/07/2021,"8.700","9.050","8.700","8.790","19,760,199"
09/06/2021,"8.500","8.660","8.440","8.620","4,439,800"
09/03/2021,"8.800","8.880","8.550","8.600","9,666,800"
09/02/2021,"8.420","8.810","8.390","8.700","8,949,100"
09/01/2021,"8.150","8.490","8.150","8.390","6,467,000"
08/31/2021,"8.450","8.450","8.150","8.320","16,052,000"
08/27/2021,"9.000","9.140","8.450","8.600","26,269,100"
08/26/2021,"8.300","9.000","8.300","8.960","44,930,602"
08/25/2021,"7.800","8.180","7.800","8.180","10,093,500"
08/24/2021,"8.000","8.000","7.750","7.800","3,284,500"
08/23/2021,"7.850","8.100","7.760","7.860","6,944,600"
08/20/2021,"7.560","7.820","7.560","7.810","4,648,900"
08/19/2021,"7.720","7.950","7.520","7.560","7,459,400"
08/18/2021,"7.450","7.720","7.350","7.650","5,370,900"
08/17/2021,"7.500","7.680","7.340","7.450","10,972,200"
08/16/2021,"7.690","8.070","7.560","7.630","7,022,400"
08/13/2021,"7.820","7.880","7.520","7.760","7,939,100"
08/12/2021,"8.100","8.200","7.820","7.830","7,998,800"
08/11/2021,"8.290","8.430","8.000","8.100","17,367,400"
08/10/2021,"7.410","8.250","7.410","8.240","24,728,400"
08/09/2021,"7.120","7.560","7.010","7.360","10,489,900"
08/06/2021,"7.160","7.180","7.010","7.120","10,038,700"
08/05/2021,"7.380","7.440","7.100","7.150","5,534,400"
08/04/2021,"7.050","7.500","7.040","7.350","12,348,500"
08/03/2021,"6.680","7.000","6.660","7.000","8,444,400"
08/02/2021,"6.800","6.860","6.600","6.680","8,986,000"
07/30/2021,"7.100","7.280","6.800","6.910","11,537,400"
07/29/2021,"7.170","7.300","6.950","7.100","5,510,800"
07/28/2021,"7.560","7.650","7.130","7.170","6,831,000"
07/27/2021,"6.980","7.500","6.960","7.500","11,675,600"
07/26/2021,"7.420","7.430","6.860","6.980","22,694,199"
07/23/2021,"7.910","7.910","7.360","7.440","16,638,100"
07/22/2021,"7.750","8.030","7.750","7.930","5,364,000"
07/21/2021,"8.020","8.020","7.730","7.740","8,707,800"
