Date,Open,High,Low,Close,Volume
2020-01-02,3.52,4.01,3.52,3.88,12931000
2020-01-03,4.0,4.0,3.76,3.78,5000000
2020-01-06,3.75,3.75,3.53,3.63,3431000
2020-01-07,3.63,3.7,3.49,3.7,3866000
2020-01-08,3.7,3.74,3.58,3.64,2190000
2020-01-09,3.64,3.71,3.6,3.68,1378000
2020-01-10,3.75,3.78,3.7,3.73,1678000
2020-01-14,3.75,4.03,3.75,4.0,12480000
2020-01-15,4.0,4.1,3.92,4.1,6845000
2020-01-16,4.15,4.2,3.8,3.8,13730000
2020-01-17,3.81,3.92,3.66,3.92,5031000
2020-01-20,3.95,4.0,3.84,3.84,2831000
2020-01-21,3.88,3.91,3.77,3.8,1914000
2020-01-22,3.79,3.8,3.68,3.75,1864000
2020-01-23,3.72,3.82,3.69,3.81,1329000
2020-01-24,3.82,3.93,3.8,3.88,1691000
2020-01-27,3.92,3.92,3.7,3.77,1723000
2020-01-28,3.76,3.76,3.6,3.62,2648000
2020-01-29,3.62,3.88,3.53,3.8,3375000
2020-01-30,4.01,4.14,3.5,3.62,23611000
2020-01-31,3.61,3.61,3.2,3.36,8924000
2020-02-03,3.21,3.35,3.17,3.3,3388000
2020-02-04,3.3,3.42,3.05,3.06,12578000
2020-02-05,3.06,3.17,2.79,3.02,43663000
2020-02-06,3.05,3.05,2.73,2.74,47706000
2020-02-07,2.74,2.74,2.24,2.43,123156000
2020-02-10,2.42,2.55,2.05,2.11,104424000
2020-02-11,2.07,2.3,2.07,2.23,111633000
2020-02-12,2.31,2.37,1.94,1.98,173819016
2020-02-13,2.0,2.07,1.79,1.84,92620000
2020-02-14,1.8,1.93,1.76,1.9,42900000
2020-02-17,1.96,2.06,1.87,2.0,79420000
2020-02-18,2.04,2.07,1.8,1.82,100125000
2020-02-19,1.84,1.91,1.82,1.86,27420000
2020-02-20,1.87,1.93,1.76,1.82,41784000
2020-02-21,1.8,1.8,1.65,1.68,97677000
2020-02-24,1.66,1.68,1.56,1.59,19721000
2020-02-26,1.54,1.72,1.51,1.7,225392984
2020-02-27,1.73,1.74,1.64,1.69,22873000
2020-02-28,1.68,1.71,1.6,1.63,19290000
2020-03-02,1.6,1.63,1.51,1.54,19043000
2020-03-03,1.58,1.63,1.52,1.52,18248000
2020-03-04,1.54,1.72,1.53,1.72,52434000
2020-03-05,1.75,1.77,1.67,1.71,26519000
2020-03-06,1.69,1.69,1.55,1.58,41468000
2020-03-09,1.52,1.53,1.38,1.41,35073000
2020-03-10,1.3,1.41,1.28,1.39,16310000
2020-03-11,1.43,1.49,1.38,1.42,9754000
2020-03-12,1.34,1.35,1.11,1.11,52171000
2020-03-13,1.04,1.2,1.0,1.18,37813000
2020-03-16,1.16,1.22,1.06,1.15,17394000
2020-03-19,1.08,1.09,1.0,1.06,24156000
2020-03-20,1.04,1.14,1.03,1.14,16830000
2020-03-23,1.1,1.14,1.05,1.11,11351000
2020-03-24,1.12,1.21,1.12,1.19,13979000
2020-03-25,1.25,1.32,1.21,1.29,25085000
2020-03-26,1.34,1.45,1.32,1.44,40247000
2020-03-27,1.49,1.67,1.33,1.53,74392000
2020-03-30,1.55,1.59,1.44,1.53,36531000
2020-03-31,1.6,1.7,1.56,1.7,60459000
2020-04-01,1.75,1.78,1.57,1.6,100339000
2020-04-02,1.52,1.62,1.5,1.58,36402000
2020-04-03,1.59,1.63,1.55,1.58,17041000
2020-04-06,1.6,1.68,1.6,1.68,22832000
2020-04-07,1.72,1.78,1.65,1.66,46406000
2020-04-08,1.67,1.7,1.63,1.7,17710000
2020-04-13,1.72,1.87,1.7,1.85,70016000
2020-04-14,1.88,2.01,1.87,1.97,87311000
2020-04-15,2.04,2.06,1.91,1.94,53157000
