Date,Open,High,Low,Close,Volume
12/31/2021,"8.85","9.45","8.80","9.45","1,605,800"
12/29/2021,"8.70","9.06","8.64","9.00","3,387,700"
12/28/2021,"8.79","8.90","8.50","8.80","9,182,400"
12/27/2021,"8.83","8.95","8.78","8.79","1,529,000"
12/24/2021,"9.36","9.36","8.78","9.03","501,100"
12/23/2021,"9.30","9.39","9.12","9.35","838,300"
12/22/2021,"9.25","9.31","9.12","9.30","1,948,700"
12/21/2021,"9.30","9.31","9.06","9.22","4,829,600"
12/20/2021,"9.02","9.34","9.02","9.30","3,609,800"
12/17/2021,"9.00","9.24","8.82","9.10","3,124,300"
12/16/2021,"9.00","9.07","8.90","9.00","630,300"
12/15/2021,"9.00","9.12","8.85","9.00","14,021,500"
12/14/2021,"9.10","9.10","8.98","9.02","3,165,000"
12/13/2021,"9.02","9.10","8.80","9.10","2,737,700"
12/10/2021,"9.00","9.00","8.70","9.00","4,703,500"
12/09/2021,"8.88","9.10","8.88","8.99","2,846,500"
12/07/2021,"8.70","8.88","8.70","8.80","3,836,000"
12/06/2021,"8.55","8.76","8.51","8.70","1,693,700"
12/03/2021,"8.70","8.74","8.50","8.55","691,800"
12/02/2021,"8.50","8.75","8.41","8.70","3,532,600"
12/01/2021,"8.70","8.72","8.32","8.50","5,894,600"
11/29/2021,"8.50","8.73","8.15","8.70","9,367,000"
11/26/2021,"8.98","8.98","8.70","8.76","4,188,400"
11/25/2021,"8.95","9.10","8.94","9.06","2,735,900"
11/24/2021,"9.20","9.24","8.92","8.94","1,574,300"
11/23/2021,"9.10","9.28","8.97","9.28","6,850,600"
11/22/2021,"8.90","9.09","8.89","9.00","9,591,400"
11/19/2021,"8.67","8.99","8.52","8.90","15,062,500"
11/18/2021,"8.60","8.67","8.50","8.63","2,476,500"
11/17/2021,"8.58","8.60","8.46","8.60","2,747,000"
11/16/2021,"8.65","8.66","8.50","8.56","3,272,400"
11/15/2021,"8.54","8.70","8.52","8.65","420,000"
11/12/2021,"8.71","8.75","8.50","8.68","746,800"
11/11/2021,"8.65","8.79","8.65","8.71","1,494,700"
11/10/2021,"8.64","8.88","8.49","8.59","33,078,398"
11/09/2021,"8.40","8.66","8.32","8.49","6,736,200"
11/08/2021,"8.49","8.50","8.40","8.40","907,100"
11/05/2021,"8.25","8.48","8.24","8.48","5,464,900"
11/04/2021,"8.42","8.43","8.12","8.19","2,911,300"
11/03/2021,"8.40","8.41","8.36","8.41","2,288,700"
11/02/2021,"8.41","8.42","8.30","8.40","5,064,100"
10/29/2021,"8.22","8.44","8.15","8.44","9,764,800"
10/28/2021,"8.30","8.34","8.22","8.22","901,300"
10/27/2021,"8.29","8.36","8.21","8.31","774,300"
10/26/2021,"8.31","8.36","8.20","8.26","1,425,200"
10/25/2021,"8.27","8.35","8.27","8.32","1,655,400"
10/22/2021,"8.39","8.41","8.15","8.24","1,741,100"
10/21/2021,"8.37","8.40","8.37","8.39","6,950,400"
10/20/2021,"8.38","8.45","8.35","8.37","2,573,200"
