Date,Open,High,Low,Close,Volume
04/28/2025,"1.080","1.130","1.080","1.130","31,000"
04/25/2025,"1.080","1.130","1.080","1.130","45,000"
04/23/2025,"1.140","1.140","1.080","1.140","11,000"
04/22/2025,"1.080","1.100","1.080","1.100","7,000"
04/16/2025,"1.090","1.120","1.080","1.120","38,000"
04/15/2025,"1.090","1.120","1.080","1.120","75,000"
04/14/2025,"1.080","1.120","1.060","1.120","58,000"
04/07/2025,"1.090","1.140","1.080","1.140","26,000"
03/25/2025,"1.100","1.140","1.090","1.130","11,000"
03/24/2025,"1.110","1.110","1.080","1.080","60,000"
03/13/2025,"1.150","1.150","1.150","1.150","1,000"
03/06/2025,"1.140","1.140","1.140","1.140","1,000"
03/04/2025,"1.140","1.140","1.140","1.140","5,000"
03/03/2025,"1.070","1.150","1.070","1.100","61,000"
02/28/2025,"1.100","1.150","1.060","1.150","163,000"
02/26/2025,"1.120","1.150","1.100","1.150","98,000"
02/19/2025,"1.140","1.190","1.140","1.190","27,000"
02/18/2025,"1.140","1.140","1.140","1.140","15,000"
02/14/2025,"1.140","1.140","1.140","1.140","1,000"
02/13/2025,"1.090","1.140","1.090","1.140","20,000"
02/12/2025,"1.120","1.130","1.120","1.130","6,399,000"
02/10/2025,"1.090","1.130","1.080","1.130","45,000"
02/07/2025,"1.090","1.130","1.090","1.130","6,000"
02/06/2025,"1.100","1.130","1.100","1.130","15,000"
02/04/2025,"1.100","1.130","1.090","1.130","33,000"
02/03/2025,"1.130","1.130","1.120","1.130","20,000"
01/24/2025,"1.130","1.140","1.090","1.140","17,000"
01/23/2025,"1.080","1.080","1.080","1.080","20,000"
01/16/2025,"1.090","1.150","1.090","1.150","8,000"
01/15/2025,"1.120","1.130","1.120","1.130","8,000"
01/10/2025,"1.100","1.140","1.100","1.140","69,000"
01/09/2025,"1.120","1.150","1.100","1.150","65,000"
01/08/2025,"1.190","1.190","1.100","1.160","37,000"
01/07/2025,"1.220","1.220","1.100","1.100","22,000"
