Date,Open,High,Low,Close,Volume
12/29/2020,"2.340","2.600","2.340","2.600","155,000"
12/28/2020,"2.340","2.350","2.340","2.350","14,000"
12/23/2020,"2.240","2.350","2.240","2.350","44,000"
12/22/2020,"2.300","2.300","2.240","2.240","124,000"
12/21/2020,"2.300","2.300","2.110","2.240","121,000"
12/17/2020,"2.250","2.300","2.000","2.300","165,000"
12/16/2020,"2.350","2.400","2.250","2.250","81,000"
12/15/2020,"2.150","2.250","2.150","2.250","6,651,000"
12/14/2020,"2.050","2.110","2.050","2.110","821,000"
12/11/2020,"2.050","2.050","2.030","2.030","29,000"
12/10/2020,"2.040","2.040","1.980","2.000","62,000"
12/09/2020,"2.030","2.050","2.030","2.040","36,000"
12/07/2020,"2.000","2.000","1.980","1.980","23,000"
12/04/2020,"2.000","2.030","1.980","2.030","164,000"
12/03/2020,"1.950","1.950","1.950","1.950","14,000"
12/02/2020,"2.170","2.170","1.990","1.990","9,501,000"
12/01/2020,"2.000","2.200","1.900","2.000","467,000"
11/27/2020,"1.820","1.820","1.820","1.820","5,000"
11/26/2020,"1.700","1.850","1.700","1.710","81,000"
11/25/2020,"1.650","1.650","1.650","1.650","3,000"
11/24/2020,"1.700","1.700","1.700","1.700","7,000"
11/23/2020,"1.700","1.700","1.700","1.700","12,000"
11/20/2020,"1.700","1.700","1.650","1.650","18,000"
11/17/2020,"1.750","1.750","1.700","1.700","26,000"
11/16/2020,"1.700","1.750","1.700","1.740","54,000"
11/11/2020,"1.620","1.620","1.610","1.610","17,000"
11/09/2020,"1.600","1.600","1.580","1.600","48,000"
11/05/2020,"1.700","1.880","1.700","1.710","36,000"
11/03/2020,"1.620","1.800","1.500","1.800","35,000"
10/29/2020,"1.720","1.720","1.720","1.720","4,000"
10/28/2020,"1.630","1.700","1.630","1.700","36,000"
10/27/2020,"1.680","1.680","1.680","1.680","41,000"
10/26/2020,"1.760","1.760","1.700","1.700","76,000"
10/23/2020,"1.940","1.940","1.700","1.780","169,000"
10/22/2020,"1.830","2.240","1.800","1.900","1,105,000"
10/21/2020,"1.580","1.600","1.580","1.600","2,000"
10/20/2020,"1.820","1.820","1.500","1.500","34,000"
