Date,Open,High,Low,Close,Volume
12/26/2024,"2.210","2.210","2.210","2.210","1,000"
12/23/2024,"2.690","2.690","2.690","2.690","4,500,000"
12/16/2024,"2.500","2.600","2.500","2.600","60,000"
12/12/2024,"2.490","2.490","2.490","2.490","40,000"
12/11/2024,"2.490","2.490","2.490","2.490","12,000"
12/10/2024,"2.000","2.050","1.950","2.050","25,000"
12/06/2024,"2.010","2.010","2.000","2.000","12,000"
11/26/2024,"2.500","2.500","2.500","2.500","1,000"
11/22/2024,"2.470","2.470","2.470","2.470","1,000"
11/21/2024,"2.170","2.170","2.150","2.150","40,000"
11/20/2024,"2.170","2.170","2.170","2.170","35,000"
11/19/2024,"2.550","2.560","2.200","2.200","39,000"
11/18/2024,"2.480","2.480","2.150","2.150","4,000"
11/06/2024,"2.560","2.560","2.560","2.560","10,000"
11/05/2024,"2.480","2.480","2.480","2.480","1,000"
11/04/2024,"2.890","2.890","2.880","2.880","23,000"
10/31/2024,"2.880","2.880","2.880","2.880","11,000"
10/30/2024,"2.920","2.920","2.920","2.920","19,000"
10/29/2024,"2.910","2.910","2.910","2.910","9,000"
10/25/2024,"3.440","3.440","2.890","2.970","26,000"
10/24/2024,"3.050","3.450","3.050","3.450","12,000"
10/23/2024,"3.540","3.540","3.010","3.440","57,000"
10/22/2024,"3.540","3.540","3.200","3.540","50,000"
10/21/2024,"2.380","3.580","2.380","3.000","189,000"
10/18/2024,"1.990","2.400","1.840","2.400","135,000"
10/17/2024,"1.600","1.600","1.600","1.600","1,000"
10/15/2024,"1.580","1.580","1.580","1.580","1,000"
10/11/2024,"1.580","1.580","1.580","1.580","2,000"
10/09/2024,"1.580","1.580","1.580","1.580","1,000"
10/08/2024,"1.800","1.800","1.800","1.800","1,000"
10/07/2024,"1.800","1.800","1.800","1.800","2,000"
10/04/2024,"1.700","1.700","1.700","1.700","9,000"
10/03/2024,"1.680","1.680","1.680","1.680","8,000"
10/02/2024,"1.600","1.600","1.600","1.600","2,000"
10/01/2024,"1.960","1.960","1.960","1.960","3,000"
09/23/2024,"1.970","1.970","1.960","1.960","19,000"
09/20/2024,"2.040","2.040","1.970","1.970","3,000"
09/19/2024,"1.570","1.570","1.570","1.570","2,000,000"
09/13/2024,"1.570","1.570","1.570","1.570","1,000"
09/11/2024,"1.990","1.990","1.990","1.990","1,000"
09/10/2024,"2.040","2.040","2.040","2.040","1,000"
09/03/2024,"1.560","1.560","1.560","1.560","4,000"
09/02/2024,"1.600","1.600","1.570","1.600","10,000"
08/22/2024,"1.550","1.550","1.550","1.550","9,000"
08/20/2024,"1.900","1.900","1.900","1.900","9,000"
08/14/2024,"2.050","2.050","2.050","2.050","1,000"
08/05/2024,"2.040","2.040","2.040","2.040","1,000"
08/01/2024,"1.910","2.050","1.910","2.050","2,000"
07/31/2024,"1.910","1.910","1.900","1.910","18,000"
07/30/2024,"2.050","2.050","1.910","1.910","22,000"
07/29/2024,"1.900","1.900","1.900","1.900","3,000"
07/18/2024,"2.000","2.080","2.000","2.080","3,000"
07/17/2024,"2.220","2.220","2.220","2.220","1,000"
07/16/2024,"1.930","1.940","1.930","1.930","9,000"
07/11/2024,"2.320","2.320","1.930","1.930","4,000"
07/10/2024,"1.940","2.150","1.930","2.150","53,000"
07/09/2024,"2.080","2.080","1.880","1.880","91,000"
07/02/2024,"2.340","2.340","2.330","2.330","4,000"
07/01/2024,"2.080","2.080","2.080","2.080","1,000"
06/27/2024,"2.240","2.400","2.240","2.400","2,000"
06/25/2024,"2.260","2.260","2.260","2.260","1,000"
06/24/2024,"2.110","2.110","2.100","2.100","11,000"
06/20/2024,"2.350","2.350","2.350","2.350","1,000"
06/18/2024,"2.360","2.360","2.090","2.360","14,000"
06/14/2024,"2.430","2.430","2.070","2.070","2,000"
06/13/2024,"2.060","2.060","2.060","2.060","3,000"
06/07/2024,"2.220","2.520","2.220","2.490","9,000"
06/06/2024,"2.060","2.060","2.060","2.060","1,000"
06/03/2024,"2.050","2.050","2.050","2.050","1,000"
05/31/2024,"2.060","2.060","2.060","2.060","1,000"
05/27/2024,"2.220","2.220","2.220","2.220","1,000"
05/17/2024,"2.220","2.220","2.220","2.220","1,000"
05/10/2024,"2.220","2.220","2.220","2.220","1,000"
05/06/2024,"2.490","2.490","2.490","2.490","1,000"
04/30/2024,"2.090","2.090","2.090","2.090","6,000"
04/24/2024,"2.060","2.060","2.060","2.060","1,000"
04/17/2024,"2.500","2.500","2.500","2.500","1,000"
04/16/2024,"2.070","2.070","2.070","2.070","32,000"
04/08/2024,"2.490","2.490","2.490","2.490","1,000"
04/05/2024,"2.090","2.230","2.090","2.230","11,000"
