Date,Open,High,Low,Close,Volume
12/29/2022,"2.820","2.820","2.800","2.800","1,096,000"
12/28/2022,"2.830","2.850","2.800","2.800","159,000"
12/27/2022,"2.880","2.930","2.850","2.850","27,000"
12/23/2022,"2.870","2.900","2.800","2.860","2,172,000"
12/22/2022,"2.870","2.880","2.860","2.860","54,000"
12/21/2022,"2.830","2.880","2.830","2.870","522,000"
12/20/2022,"2.950","2.950","2.950","2.950","6,000"
12/19/2022,"2.960","2.960","2.870","2.950","137,000"
12/16/2022,"2.930","2.930","2.920","2.920","115,000"
12/15/2022,"2.900","2.970","2.900","2.970","64,000"
12/14/2022,"2.900","2.970","2.850","2.950","83,000"
12/13/2022,"2.900","2.900","2.840","2.840","2,220,000"
12/12/2022,"2.900","2.900","2.880","2.900","1,098,000"
12/09/2022,"2.960","3.000","2.900","2.900","1,556,000"
12/07/2022,"2.940","2.980","2.940","2.960","1,227,000"
12/06/2022,"3.110","3.110","2.900","2.940","1,037,000"
12/05/2022,"3.190","3.190","3.090","3.090","1,435,000"
12/02/2022,"3.180","3.190","3.150","3.190","65,000"
12/01/2022,"3.150","3.180","3.140","3.180","61,000"
11/29/2022,"3.220","3.220","3.120","3.140","450,000"
11/28/2022,"3.210","3.250","3.210","3.250","21,000"
11/25/2022,"3.200","3.250","3.190","3.250","73,000"
11/24/2022,"3.230","3.230","3.200","3.200","31,000"
11/23/2022,"3.170","3.250","3.170","3.230","45,000"
11/22/2022,"3.250","3.250","3.190","3.190","21,000"
11/21/2022,"3.280","3.280","3.250","3.250","26,000"
11/18/2022,"3.200","3.200","3.180","3.180","64,000"
11/17/2022,"3.230","3.260","3.200","3.200","218,000"
11/16/2022,"3.170","3.250","3.150","3.150","219,000"
11/15/2022,"3.200","3.200","3.180","3.180","118,000"
11/14/2022,"3.200","3.200","3.180","3.180","51,000"
11/11/2022,"3.200","3.300","3.140","3.300","60,000"
11/10/2022,"3.200","3.200","3.200","3.200","16,000"
11/07/2022,"3.240","3.240","3.240","3.240","5,000"
11/04/2022,"3.200","3.300","3.200","3.300","4,000"
11/03/2022,"3.210","3.210","3.200","3.200","32,000"
11/02/2022,"3.200","3.220","3.200","3.220","93,000"
10/28/2022,"3.200","3.200","3.200","3.200","25,000"
10/27/2022,"3.170","3.200","3.170","3.200","60,000"
10/26/2022,"3.130","3.300","3.130","3.200","125,000"
10/25/2022,"3.140","3.140","3.130","3.130","6,000"
10/24/2022,"3.190","3.230","3.120","3.120","2,019,000"
10/21/2022,"3.180","3.190","3.150","3.190","49,000"
10/20/2022,"3.200","3.220","3.140","3.170","919,000"
10/19/2022,"3.290","3.290","3.160","3.170","374,000"
10/18/2022,"3.340","3.340","3.210","3.310","210,000"
10/17/2022,"3.360","3.360","3.200","3.230","11,000"
10/14/2022,"3.210","3.260","3.200","3.200","239,000"
10/13/2022,"3.230","3.240","3.230","3.230","36,000"
10/12/2022,"3.260","3.260","3.230","3.260","15,000"
10/11/2022,"3.200","3.260","3.200","3.260","31,000"
10/10/2022,"3.270","3.270","3.200","3.200","261,000"
10/07/2022,"3.250","3.320","3.250","3.260","51,000"
10/06/2022,"3.390","3.390","3.200","3.250","100,000"
10/05/2022,"3.230","3.300","3.230","3.250","169,000"
10/04/2022,"3.200","3.270","3.180","3.210","144,000"
10/03/2022,"3.270","3.270","3.120","3.160","456,000"
09/30/2022,"3.420","3.430","3.280","3.310","358,000"
09/29/2022,"3.380","3.500","3.370","3.500","420,000"
09/28/2022,"3.500","3.500","3.300","3.400","672,000"
09/27/2022,"3.600","3.600","3.400","3.500","1,303,000"
09/23/2022,"3.550","3.660","3.550","3.600","533,000"
09/22/2022,"3.600","3.600","3.420","3.550","823,000"
09/21/2022,"3.740","3.740","3.540","3.600","530,000"
09/20/2022,"3.700","3.850","3.630","3.670","2,529,000"
09/19/2022,"3.580","3.700","3.470","3.690","841,000"
09/16/2022,"3.560","3.600","3.500","3.530","631,000"
09/15/2022,"3.440","3.570","3.440","3.550","890,000"
09/14/2022,"3.400","3.460","3.400","3.440","534,000"
09/13/2022,"3.400","3.500","3.350","3.480","612,000"
09/12/2022,"3.380","3.400","3.370","3.400","199,000"
09/09/2022,"3.400","3.410","3.350","3.410","73,000"
09/08/2022,"3.380","3.450","3.380","3.450","84,000"
09/07/2022,"3.380","3.400","3.360","3.370","159,000"
09/06/2022,"3.400","3.410","3.350","3.390","623,000"
09/05/2022,"3.490","3.490","3.410","3.410","189,000"
09/02/2022,"3.420","3.450","3.350","3.450","509,000"
09/01/2022,"3.350","3.430","3.350","3.380","348,000"
08/31/2022,"3.510","3.590","3.350","3.350","2,638,000"
08/30/2022,"3.550","3.620","3.460","3.510","2,724,000"
08/26/2022,"3.540","3.730","3.460","3.730","2,316,000"
08/25/2022,"3.380","3.500","3.380","3.450","1,607,000"
08/24/2022,"3.400","3.580","3.360","3.400","1,169,000"
08/23/2022,"3.390","3.390","3.300","3.340","1,317,000"
08/22/2022,"3.370","3.370","3.280","3.300","829,000"
08/19/2022,"3.400","3.400","3.280","3.370","1,215,000"
08/18/2022,"3.400","3.480","3.310","3.310","533,000"
08/17/2022,"3.450","3.450","3.330","3.330","632,000"
08/16/2022,"3.450","3.450","3.300","3.430","482,000"
08/15/2022,"3.300","3.400","3.270","3.340","354,000"
08/12/2022,"3.300","3.350","3.260","3.270","1,259,000"
08/11/2022,"3.370","3.700","3.200","3.350","2,963,000"
08/10/2022,"3.400","3.470","3.320","3.370","90,000"
08/09/2022,"3.360","3.360","3.310","3.320","33,000"
08/08/2022,"3.340","3.400","3.340","3.360","29,000"
08/05/2022,"3.480","3.480","3.320","3.340","25,000"
08/04/2022,"3.300","3.490","3.300","3.490","84,000"
08/03/2022,"3.300","3.310","3.300","3.300","171,000"
08/02/2022,"3.280","3.300","3.280","3.300","15,000"
08/01/2022,"3.400","3.400","3.260","3.270","179,000"
07/29/2022,"3.390","3.490","3.320","3.400","160,000"
07/28/2022,"3.320","3.490","3.320","3.390","66,000"
07/27/2022,"3.300","3.320","3.300","3.320","30,000"
07/26/2022,"3.400","3.450","3.300","3.350","144,000"
07/25/2022,"3.500","3.500","3.350","3.350","72,000"
07/22/2022,"3.350","3.430","3.350","3.350","67,000"
07/21/2022,"3.530","3.530","3.300","3.330","187,000"
07/20/2022,"3.310","3.490","3.270","3.310","296,000"
07/19/2022,"3.430","3.430","3.300","3.350","65,000"
07/18/2022,"3.360","3.590","3.260","3.330","121,000"
07/15/2022,"3.270","3.320","3.240","3.320","154,000"
07/14/2022,"3.620","3.620","3.310","3.320","240,000"
07/13/2022,"3.640","3.640","3.450","3.450","282,000"
07/12/2022,"3.500","3.660","3.500","3.640","65,000"
07/11/2022,"3.600","3.730","3.470","3.490","463,000"
