Date,Open,High,Low,Close,Volume
2020-01-02,9.8,9.8,9.47,9.55,22100
2020-01-03,9.79,9.79,9.41,9.41,166800
2020-01-06,9.41,9.56,9.36,9.37,161900
2020-01-07,9.4,9.4,9.31,9.31,105500
2020-01-08,9.31,9.31,9.06,9.06,370200
2020-01-09,9.05,9.49,9.05,9.05,226600
2020-01-10,9.1,9.1,9.01,9.07,672100
2020-01-14,9.07,9.3,8.95,8.95,202300
2020-01-15,9.11,9.18,9.0,9.0,55200
2020-01-16,9.0,9.0,8.8,8.8,614600
2020-01-17,8.77,9.01,8.77,9.0,444200
2020-01-20,9.0,9.02,8.99,9.02,129700
2020-01-21,9.39,9.39,9.05,9.12,56800
2020-01-22,9.12,9.12,8.8,8.88,77200
2020-01-23,9.05,9.1,8.88,8.88,100900
2020-01-24,8.88,9.1,8.88,9.09,6600
2020-01-27,9.09,9.09,8.94,8.95,37600
2020-01-28,8.99,8.99,8.86,8.86,64300
2020-01-29,9.23,9.23,8.87,9.0,51800
2020-01-30,9.0,9.0,8.88,8.88,122900
2020-01-31,8.88,8.88,8.4,8.4,154700
2020-02-03,8.42,8.5,8.4,8.4,56200
2020-02-04,8.88,8.88,8.36,8.38,608300
2020-02-05,8.36,8.4,8.32,8.4,56500
2020-02-06,8.51,8.99,8.5,8.55,3733100
2020-02-07,8.55,8.92,8.55,8.8,720900
2020-02-10,8.6,8.6,8.46,8.53,3230300
2020-02-11,8.6,9.08,8.6,9.08,561700
2020-02-12,9.08,9.08,8.83,9.0,25300
2020-02-13,8.83,8.89,8.71,8.74,1117000
2020-02-14,8.46,8.7,8.31,8.31,240800
2020-02-17,8.7,8.84,8.31,8.43,5328900
2020-02-18,8.45,8.64,8.45,8.45,170600
2020-02-19,8.42,8.99,8.42,8.87,6300
2020-02-20,8.99,8.99,8.5,8.5,502900
2020-02-21,8.56,8.86,8.52,8.63,2066000
2020-02-24,8.51,8.51,8.5,8.5,156800
2020-02-26,8.3,8.5,8.0,8.2,638800
2020-02-27,8.3,8.3,8.2,8.2,485400
2020-02-28,8.4,8.4,7.95,7.95,610100
2020-03-02,7.95,8.0,7.9,7.9,47500
2020-03-03,7.91,7.91,7.9,7.9,74000
2020-03-04,7.82,7.82,7.71,7.8,512200
2020-03-05,7.73,8.39,7.7,7.75,167200
2020-03-06,7.72,8.0,7.5,7.7,59300
2020-03-09,7.68,7.68,7.0,7.0,103000
2020-03-10,7.1,7.1,6.8,7.0,65900
2020-03-11,6.73,7.2,6.73,7.2,51700
2020-03-12,7.21,7.21,6.02,6.1,96200
2020-03-13,6.02,6.15,5.8,6.15,108900
2020-03-16,6.2,6.45,5.8,6.45,50000
2020-03-19,6.89,6.89,5.51,6.0,60600
2020-03-20,5.6,5.8,5.5,5.68,106800
2020-03-23,5.69,5.69,5.3,5.6,15000
2020-03-24,5.6,5.6,5.45,5.5,22600
2020-03-25,5.52,6.0,5.45,5.47,789100
2020-03-26,5.5,6.03,5.5,5.5,870200
2020-03-27,5.7,5.7,5.3,5.34,374000
2020-03-30,5.34,5.34,5.0,5.01,200400
2020-03-31,5.3,5.31,5.05,5.1,1163600
2020-04-01,5.22,5.31,5.19,5.19,191500
2020-04-02,5.19,5.19,5.1,5.11,125500
2020-04-03,5.1,5.18,5.03,5.03,693700
2020-04-06,5.2,5.47,5.13,5.17,268600
2020-04-07,5.46,5.49,5.3,5.39,1157100
2020-04-08,5.5,5.5,5.2,5.4,1306800
2020-04-13,5.4,5.64,5.35,5.4,912900
2020-04-14,5.4,5.63,5.4,5.55,1537200
2020-04-15,5.72,5.77,5.42,5.5,5314900
2020-04-16,5.6,5.72,5.47,5.49,995300
2020-04-17,5.58,5.68,5.5,5.5,1834800
2020-04-20,5.51,5.7,5.51,5.56,2904800
2020-04-21,5.62,5.72,5.38,5.4,2072900
2020-04-22,5.39,5.4,5.1,5.24,2210300
2020-04-23,5.32,5.4,5.18,5.24,3028900
2020-04-24,5.12,5.24,5.05,5.08,5018600
2020-04-27,5.1,5.24,5.02,5.04,3342400
2020-04-28,5.19,5.8,5.19,5.27,6507600
2020-04-29,5.5,5.5,5.29,5.3,5617800
2020-04-30,5.44,5.44,5.3,5.37,1097900
2020-05-04,5.28,5.28,5.11,5.11,3423200
2020-05-05,5.21,5.5,5.16,5.39,2599100
2020-05-06,5.4,5.4,5.23,5.35,2606600
2020-05-07,5.38,5.38,5.23,5.24,3530700
2020-05-08,5.24,5.34,5.22,5.25,394700
2020-05-11,5.34,5.5,5.27,5.29,3278500
2020-05-12,5.41,5.46,5.31,5.32,1124100
2020-05-13,5.38,5.38,5.2,5.2,3191300
2020-05-14,5.27,5.27,5.06,5.09,1184200
2020-05-15,5.19,5.26,5.14,5.2,383900
2020-05-18,5.19,5.19,4.75,4.86,3012700
2020-05-19,4.94,5.08,4.9,5.06,359000
2020-05-20,5.07,5.19,5.06,5.06,307800
2020-05-21,5.12,5.12,4.93,4.98,369500
2020-05-22,5.09,5.09,4.86,4.89,492000
2020-05-26,4.85,4.87,4.41,4.43,1349000
2020-05-27,4.45,4.55,4.38,4.41,530000
2020-05-28,4.42,4.6,4.31,4.42,1500000
2020-05-29,4.46,4.48,4.42,4.46,1295000
2020-06-01,4.48,4.74,4.45,4.62,2617000
2020-06-02,4.7,4.82,4.7,4.8,1713000
2020-06-03,4.93,5.35,4.91,5.32,2583000
2020-06-04,5.57,5.58,5.0,5.29,3021300
2020-06-05,5.29,5.51,5.04,5.5,2832300
2020-06-08,5.75,5.94,5.5,5.72,3188700
2020-06-09,5.75,5.89,5.45,5.67,1940000
2020-06-10,5.67,5.67,5.43,5.45,1925700
2020-06-11,5.43,5.43,5.15,5.36,1247900
2020-06-15,5.28,5.28,5.05,5.1,1903000
2020-06-16,5.13,5.4,5.13,5.26,532700
2020-06-17,5.34,5.35,5.18,5.18,707900
2020-06-18,5.18,5.18,5.01,5.03,5707800
2020-06-19,5.1,5.17,5.0,5.08,1180100
2020-06-22,5.08,5.08,4.99,5.0,3649100
2020-06-23,5.02,5.19,5.02,5.17,843800
2020-06-24,5.21,5.24,4.97,5.07,1043600
2020-06-25,5.05,5.09,5.0,5.06,539800
2020-06-26,5.06,5.09,4.98,5.02,663200
2020-06-29,5.0,5.15,4.98,5.02,653200
2020-06-30,5.1,5.1,5.01,5.02,332100
2020-07-01,5.05,5.1,5.01,5.1,529300
2020-07-02,5.12,5.29,5.1,5.29,1679200
2020-07-03,5.31,5.32,5.15,5.18,1014300
2020-07-06,5.18,5.25,5.17,5.2,416200
2020-07-07,5.2,5.25,5.16,5.25,706100
2020-07-08,5.26,5.38,5.15,5.37,1230000
2020-07-09,5.39,5.5,5.35,5.5,2314400
2020-07-10,5.55,5.58,5.2,5.37,1032700
2020-07-13,5.37,5.37,5.16,5.18,591800
2020-07-14,5.1,5.1,5.05,5.06,708300
2020-07-15,5.05,5.09,5.0,5.05,667500
2020-07-16,5.05,5.09,5.02,5.02,284300
2020-07-17,5.03,5.07,5.02,5.04,139500
2020-07-20,5.03,5.14,5.03,5.05,238000
