Date,Open,High,Low,Close,Volume
12/29/2022,"20.25","20.70","20.25","20.60","322,500"
12/28/2022,"20.70","20.75","20.35","20.65","343,700"
12/27/2022,"20.75","20.75","20.40","20.70","1,449,800"
12/23/2022,"20.60","20.80","20.55","20.80","773,000"
12/22/2022,"20.65","20.65","20.25","20.65","602,300"
12/21/2022,"20.50","20.70","20.45","20.65","1,154,000"
12/20/2022,"20.10","20.50","19.98","20.50","4,156,400"
12/19/2022,"19.88","20.20","19.88","20.20","310,600"
12/16/2022,"20.30","20.50","19.90","19.96","2,114,400"
12/15/2022,"20.50","20.55","20.25","20.30","5,720,600"
12/14/2022,"20.35","20.55","20.35","20.50","5,136,600"
12/13/2022,"20.35","20.50","20.35","20.40","9,175,100"
12/12/2022,"20.40","20.45","20.30","20.35","3,917,200"
12/09/2022,"20.20","20.40","20.20","20.35","4,782,400"
12/07/2022,"20.15","20.25","20.00","20.20","3,804,300"
12/06/2022,"20.35","20.35","20.05","20.15","5,777,100"
12/05/2022,"20.40","20.40","20.05","20.15","2,021,200"
12/02/2022,"20.35","20.40","20.25","20.40","2,153,000"
12/01/2022,"20.20","20.30","20.05","20.25","3,280,800"
11/29/2022,"20.15","20.15","20.00","20.10","1,393,500"
11/28/2022,"19.86","20.20","19.86","20.10","1,489,200"
11/25/2022,"19.76","19.86","19.70","19.82","6,326,200"
11/24/2022,"19.90","19.90","19.74","19.76","7,746,800"
11/23/2022,"19.98","19.98","19.86","19.90","6,001,300"
11/22/2022,"20.05","20.05","19.88","20.00","3,084,600"
11/21/2022,"20.00","20.10","20.00","20.10","177,900"
11/18/2022,"20.15","20.30","20.05","20.05","2,126,400"
11/17/2022,"20.25","20.30","20.20","20.30","2,506,000"
11/16/2022,"20.30","20.45","20.20","20.25","2,927,100"
11/15/2022,"20.30","20.40","20.05","20.30","460,100"
11/14/2022,"20.60","20.60","20.05","20.30","4,304,100"
11/11/2022,"20.20","20.60","20.20","20.60","3,345,400"
11/10/2022,"20.00","20.25","19.86","20.10","6,935,000"
11/09/2022,"19.74","20.00","19.74","19.80","4,478,500"
11/08/2022,"19.90","19.90","19.64","19.66","592,400"
11/07/2022,"19.80","19.90","19.72","19.90","4,958,600"
11/04/2022,"19.64","19.72","19.58","19.72","3,066,600"
11/03/2022,"19.76","19.80","19.60","19.62","3,440,400"
11/02/2022,"19.58","19.74","19.36","19.50","3,162,400"
10/28/2022,"19.70","19.70","19.34","19.58","1,392,800"
