Date,Open,High,Low,Close,Volume
12/29/2020,"2.390","2.390","2.310","2.340","874,000"
12/28/2020,"2.540","2.540","2.350","2.390","1,124,000"
12/23/2020,"2.640","2.640","2.450","2.550","553,000"
12/22/2020,"2.580","2.600","2.290","2.600","1,999,000"
12/21/2020,"2.610","2.620","2.550","2.560","838,000"
12/18/2020,"2.600","2.630","2.550","2.550","1,292,000"
12/17/2020,"2.650","2.650","2.600","2.600","1,384,000"
12/16/2020,"2.710","2.710","2.650","2.650","1,160,000"
12/15/2020,"2.640","2.740","2.600","2.720","1,054,000"
12/14/2020,"2.720","2.720","2.620","2.650","1,981,000"
12/11/2020,"2.830","2.900","2.630","2.720","3,059,000"
12/10/2020,"2.640","2.810","2.620","2.800","4,936,000"
12/09/2020,"2.620","2.640","2.560","2.620","1,895,000"
12/07/2020,"2.610","2.610","2.520","2.600","1,550,000"
12/04/2020,"2.640","2.660","2.590","2.610","782,000"
12/03/2020,"2.690","2.690","2.550","2.640","887,000"
12/02/2020,"2.680","2.700","2.550","2.570","1,396,000"
12/01/2020,"2.700","2.840","2.600","2.640","2,419,000"
11/27/2020,"2.560","2.670","2.480","2.650","1,962,000"
11/26/2020,"2.610","2.760","2.420","2.540","2,830,000"
11/25/2020,"2.710","2.850","2.530","2.650","2,992,000"
11/24/2020,"3.000","3.020","2.710","2.760","7,568,000"
11/23/2020,"2.490","3.170","2.490","2.900","20,336,000"
11/20/2020,"2.150","2.300","2.150","2.290","2,364,000"
11/19/2020,"2.170","2.190","2.080","2.140","1,084,000"
11/18/2020,"2.110","2.130","2.060","2.130","1,198,000"
11/17/2020,"2.200","2.220","2.150","2.160","1,369,000"
11/16/2020,"2.150","2.240","2.120","2.140","4,247,000"
11/13/2020,"1.970","2.100","1.950","2.100","3,868,000"
11/11/2020,"1.960","2.000","1.920","1.960","1,451,000"
11/10/2020,"2.000","2.060","1.920","1.960","1,940,000"
11/09/2020,"1.930","1.930","1.860","1.880","772,000"
11/06/2020,"1.950","1.960","1.920","1.930","514,000"
11/05/2020,"1.890","1.950","1.860","1.940","737,000"
11/04/2020,"1.920","1.920","1.900","1.900","275,000"
11/03/2020,"1.930","1.930","1.880","1.920","158,000"
10/30/2020,"1.900","1.920","1.880","1.920","322,000"
10/29/2020,"1.940","1.940","1.870","1.910","325,000"
10/28/2020,"1.950","1.950","1.880","1.920","416,000"
10/27/2020,"1.990","1.990","1.870","1.930","923,000"
10/26/2020,"1.920","1.970","1.920","1.970","871,000"
10/23/2020,"1.880","1.930","1.880","1.910","1,001,000"
10/22/2020,"1.860","1.900","1.850","1.870","305,000"
10/21/2020,"1.860","1.880","1.810","1.860","286,000"
10/20/2020,"1.850","1.880","1.810","1.850","357,000"
10/19/2020,"1.890","1.890","1.820","1.830","676,000"
10/16/2020,"1.870","1.880","1.830","1.880","307,000"
10/15/2020,"1.850","1.880","1.810","1.870","465,000"
10/14/2020,"1.840","1.850","1.800","1.820","197,000"
10/13/2020,"1.800","1.850","1.800","1.840","351,000"
10/12/2020,"1.860","1.870","1.800","1.800","236,000"
10/09/2020,"1.870","1.870","1.820","1.860","162,000"
10/08/2020,"1.790","1.890","1.790","1.870","973,000"
10/07/2020,"1.780","1.830","1.770","1.830","88,000"
10/06/2020,"1.820","1.820","1.780","1.780","641,000"
10/05/2020,"1.890","1.890","1.820","1.820","769,000"
10/02/2020,"1.850","1.910","1.820","1.890","389,000"
10/01/2020,"1.900","1.900","1.850","1.860","628,000"
09/30/2020,"1.850","1.930","1.850","1.910","777,000"
09/29/2020,"1.860","1.950","1.860","1.870","388,000"
09/28/2020,"1.860","1.900","1.860","1.860","145,000"
09/25/2020,"1.880","1.900","1.850","1.900","345,000"
09/24/2020,"1.960","1.960","1.860","1.910","320,000"
09/23/2020,"1.950","2.040","1.900","1.960","1,356,000"
09/22/2020,"1.850","2.000","1.780","1.920","1,368,000"
09/21/2020,"1.850","1.860","1.800","1.820","819,000"
09/18/2020,"1.930","2.000","1.880","1.880","543,000"
09/17/2020,"1.980","2.060","1.920","1.940","1,046,000"
09/16/2020,"1.870","1.970","1.850","1.970","1,431,000"
09/15/2020,"1.840","1.890","1.830","1.850","61,000"
09/14/2020,"1.880","1.880","1.840","1.850","123,000"
09/11/2020,"1.850","1.910","1.850","1.880","183,000"
09/10/2020,"1.820","1.880","1.820","1.880","222,000"
09/09/2020,"1.820","1.850","1.810","1.840","254,000"
09/08/2020,"1.860","1.900","1.820","1.830","148,000"
09/07/2020,"1.940","1.940","1.860","1.860","97,000"
09/04/2020,"1.850","1.890","1.830","1.880","325,000"
09/03/2020,"1.840","1.880","1.800","1.850","196,000"
09/02/2020,"1.890","1.890","1.790","1.860","351,000"
09/01/2020,"1.890","1.890","1.800","1.820","80,000"
