Date,Open,High,Low,Close,Volume
12/27/2024,"9.85","9.85","9.80","9.85","203,600"
12/26/2024,"9.66","9.90","9.66","9.85","128,800"
12/23/2024,"9.69","9.80","9.65","9.70","424,600"
12/20/2024,"9.70","9.70","9.56","9.69","282,600"
12/19/2024,"9.80","9.80","9.59","9.70","239,800"
12/18/2024,"9.80","9.90","9.80","9.80","116,300"
12/17/2024,"10.08","10.08","9.80","9.85","196,300"
12/16/2024,"9.97","10.10","9.94","10.10","656,600"
12/13/2024,"9.85","9.92","9.85","9.90","144,400"
12/12/2024,"9.88","9.90","9.82","9.85","193,500"
12/11/2024,"9.89","9.94","9.83","9.85","368,000"
12/10/2024,"9.84","9.85","9.83","9.84","500,500"
12/09/2024,"9.82","9.85","9.82","9.83","302,300"
12/06/2024,"9.85","9.86","9.82","9.85","154,300"
12/05/2024,"9.81","9.90","9.81","9.85","70,500"
12/04/2024,"9.78","9.85","9.75","9.85","18,000"
12/03/2024,"9.82","9.82","9.75","9.75","36,300"
12/02/2024,"9.86","9.89","9.75","9.83","13,700"
11/29/2024,"9.88","9.89","9.74","9.86","187,400"
11/28/2024,"9.70","9.88","9.70","9.80","36,500"
11/27/2024,"9.74","9.76","9.70","9.76","63,000"
11/26/2024,"9.76","9.76","9.70","9.76","37,700"
11/25/2024,"9.60","9.76","9.60","9.76","82,700"
11/22/2024,"9.76","9.76","9.75","9.76","59,400"
11/21/2024,"9.76","9.76","9.48","9.74","188,700"
11/20/2024,"9.88","9.88","9.75","9.76","69,800"
11/19/2024,"9.80","9.88","9.80","9.82","66,900"
11/18/2024,"9.80","9.80","9.70","9.80","71,300"
11/15/2024,"9.69","9.85","9.69","9.80","339,600"
11/14/2024,"9.94","9.94","9.50","9.60","97,000"
11/13/2024,"9.88","9.91","9.77","9.80","251,300"
11/12/2024,"9.95","9.96","9.88","9.88","111,400"
11/11/2024,"9.83","9.92","9.82","9.91","176,900"
11/08/2024,"9.90","10.00","9.78","9.91","195,300"
11/07/2024,"10.12","10.12","9.88","9.94","395,700"
11/06/2024,"10.26","10.26","10.00","10.12","820,900"
11/05/2024,"10.20","10.30","10.20","10.20","218,000"
11/04/2024,"10.20","10.20","10.10","10.18","333,600"
10/31/2024,"10.24","10.24","10.00","10.16","423,700"
10/30/2024,"9.87","10.42","9.80","10.24","1,060,000"
10/29/2024,"10.02","10.16","9.46","9.87","1,441,300"
10/28/2024,"9.94","10.04","9.94","10.02","238,700"
10/25/2024,"10.00","10.00","9.84","9.95","45,300"
10/24/2024,"10.00","10.10","9.83","10.10","179,900"
10/23/2024,"10.14","10.14","9.90","10.08","205,700"
10/22/2024,"10.10","10.22","10.08","10.14","773,800"
10/21/2024,"10.16","10.26","10.02","10.10","610,900"
10/18/2024,"9.82","10.22","9.82","10.16","3,182,000"
10/17/2024,"9.80","9.80","9.78","9.80","423,200"
10/16/2024,"9.80","9.80","9.70","9.79","150,200"
10/15/2024,"9.70","9.80","9.63","9.80","124,300"
10/14/2024,"9.60","9.88","9.60","9.70","303,700"
10/11/2024,"9.80","9.80","9.50","9.69","413,400"
10/10/2024,"9.70","9.80","9.70","9.79","187,100"
10/09/2024,"9.88","9.95","9.60","9.70","556,600"
10/08/2024,"9.86","10.00","9.86","9.88","1,298,700"
10/07/2024,"9.80","10.02","9.75","9.90","984,100"
10/04/2024,"9.75","9.84","9.75","9.80","313,300"
10/03/2024,"9.85","9.85","9.66","9.75","378,100"
10/02/2024,"9.84","9.89","9.70","9.82","302,300"
10/01/2024,"9.76","9.90","9.66","9.84","160,000"
09/30/2024,"9.62","9.90","9.60","9.76","312,100"
09/27/2024,"9.69","9.75","9.62","9.66","118,100"
09/26/2024,"9.54","9.74","9.52","9.69","304,600"
09/25/2024,"9.80","9.80","9.55","9.58","515,600"
09/24/2024,"9.80","10.20","9.80","9.80","1,817,900"
09/23/2024,"9.36","9.82","9.36","9.75","2,981,900"
09/20/2024,"9.15","9.43","9.11","9.36","391,100"
09/19/2024,"9.00","9.13","9.00","9.13","96,200"
