Date,Open,High,Low,Close,Volume
04/30/2025,"0.730","0.730","0.710","0.730","91,000"
04/29/2025,"0.740","0.740","0.710","0.730","361,000"
04/28/2025,"0.720","0.740","0.710","0.740","2,804,000"
04/25/2025,"0.720","0.720","0.700","0.720","615,000"
04/24/2025,"0.690","0.720","0.690","0.720","4,240,000"
04/23/2025,"0.680","0.690","0.670","0.690","639,000"
04/22/2025,"0.680","0.690","0.670","0.680","509,000"
04/21/2025,"0.690","0.710","0.670","0.670","1,544,000"
04/16/2025,"0.690","0.700","0.690","0.700","110,000"
04/15/2025,"0.700","0.700","0.690","0.700","306,000"
04/14/2025,"0.690","0.700","0.670","0.700","405,000"
04/11/2025,"0.670","0.700","0.670","0.690","1,791,000"
04/10/2025,"0.720","0.720","0.660","0.660","5,443,000"
04/08/2025,"0.680","0.720","0.680","0.700","873,000"
04/07/2025,"0.730","0.730","0.680","0.680","4,589,000"
04/04/2025,"0.730","0.740","0.720","0.730","1,015,000"
04/03/2025,"0.710","0.740","0.710","0.730","558,000"
04/02/2025,"0.770","0.770","0.720","0.720","3,161,000"
03/31/2025,"0.760","0.780","0.750","0.780","153,000"
03/28/2025,"0.800","0.800","0.760","0.760","318,000"
03/27/2025,"0.770","0.800","0.770","0.800","2,308,000"
03/26/2025,"0.750","0.780","0.750","0.770","747,000"
03/25/2025,"0.750","0.780","0.750","0.750","706,000"
03/24/2025,"0.780","0.800","0.750","0.750","571,000"
03/21/2025,"0.790","0.800","0.770","0.780","2,551,000"
03/20/2025,"0.790","0.790","0.780","0.780","308,000"
03/19/2025,"0.760","0.790","0.760","0.790","12,905,000"
03/18/2025,"0.760","0.790","0.760","0.760","14,775,000"
03/17/2025,"0.790","0.800","0.760","0.770","263,000"
03/14/2025,"0.750","0.790","0.750","0.780","1,452,000"
03/13/2025,"0.740","0.750","0.730","0.750","650,000"
03/12/2025,"0.790","0.790","0.740","0.740","1,802,000"
03/11/2025,"0.790","0.810","0.790","0.810","2,335,000"
03/10/2025,"0.820","0.820","0.780","0.800","1,068,000"
03/07/2025,"0.810","0.820","0.800","0.820","2,424,000"
03/06/2025,"0.800","0.810","0.790","0.800","2,165,000"
03/05/2025,"0.770","0.800","0.750","0.800","2,709,000"
03/04/2025,"0.730","0.770","0.720","0.770","2,078,000"
03/03/2025,"0.750","0.750","0.720","0.730","1,428,000"
02/28/2025,"0.750","0.750","0.730","0.750","1,665,000"
02/27/2025,"0.770","0.770","0.740","0.750","2,930,000"
02/26/2025,"0.770","0.770","0.750","0.750","2,859,000"
02/25/2025,"0.780","0.780","0.730","0.750","1,064,000"
02/24/2025,"0.770","0.780","0.750","0.780","1,262,000"
02/21/2025,"0.770","0.780","0.740","0.780","1,570,000"
02/20/2025,"0.750","0.770","0.740","0.770","3,051,000"
02/19/2025,"0.780","0.780","0.720","0.750","7,877,000"
02/18/2025,"0.810","0.820","0.780","0.780","2,997,000"
02/17/2025,"0.820","0.820","0.800","0.810","423,000"
02/14/2025,"0.820","0.820","0.800","0.820","554,000"
02/13/2025,"0.810","0.810","0.790","0.810","268,000"
02/12/2025,"0.800","0.820","0.790","0.790","981,000"
02/11/2025,"0.800","0.820","0.790","0.800","266,000"
02/10/2025,"0.800","0.810","0.790","0.800","2,306,000"
02/07/2025,"0.820","0.820","0.810","0.810","1,086,000"
02/06/2025,"0.830","0.840","0.830","0.830","2,215,000"
02/05/2025,"0.820","0.830","0.810","0.820","693,000"
02/04/2025,"0.810","0.820","0.790","0.820","1,208,000"
02/03/2025,"0.820","0.820","0.790","0.800","5,186,000"
01/31/2025,"0.820","0.830","0.810","0.810","1,303,000"
01/30/2025,"0.830","0.830","0.820","0.830","589,000"
01/28/2025,"0.830","0.840","0.830","0.830","666,000"
01/27/2025,"0.850","0.850","0.830","0.830","637,000"
01/24/2025,"0.830","0.840","0.830","0.840","956,000"
01/23/2025,"0.840","0.840","0.820","0.840","513,000"
01/22/2025,"0.840","0.840","0.810","0.840","526,000"
01/21/2025,"0.850","0.850","0.830","0.840","403,000"
01/20/2025,"0.880","0.880","0.850","0.850","718,000"
01/17/2025,"0.840","0.880","0.840","0.880","5,647,000"
01/16/2025,"0.830","0.860","0.830","0.840","2,184,000"
01/15/2025,"0.830","0.840","0.810","0.820","906,000"
01/14/2025,"0.830","0.850","0.830","0.830","835,000"
01/13/2025,"0.850","0.850","0.830","0.830","1,147,000"
01/10/2025,"0.830","0.850","0.820","0.850","2,237,000"
01/09/2025,"0.850","0.850","0.820","0.830","3,915,000"
01/08/2025,"0.880","0.880","0.840","0.850","3,518,000"
01/07/2025,"0.890","0.890","0.860","0.880","4,163,000"
01/06/2025,"0.890","0.900","0.880","0.890","6,327,000"
01/03/2025,"0.890","0.900","0.870","0.890","5,245,000"
01/02/2025,"0.860","0.900","0.850","0.890","10,082,000"
