Date,Open,High,Low,Close,Volume
2022-01-24,0.79,0.89,0.76,0.77,716444938
2022-01-25,0.79,0.79,0.74,0.78,158256984
2022-01-26,0.79,0.94,0.77,0.92,508631000
2022-01-27,0.94,1.02,0.86,0.86,535654000
2022-01-28,0.9,0.92,0.82,0.85,334918031
2022-01-31,0.85,0.87,0.81,0.83,112895000
2022-02-02,0.83,0.9,0.83,0.9,201364000
2022-02-03,0.92,0.96,0.88,0.91,296721000
2022-02-04,0.9,0.93,0.85,0.85,135868984
2022-02-07,0.86,0.91,0.83,0.9,158619016
2022-02-08,0.92,0.94,0.89,0.9,136779016
2022-02-09,0.9,0.91,0.87,0.88,51478000
2022-02-10,0.89,0.91,0.85,0.86,79520000
2022-02-11,0.86,0.87,0.79,0.81,225258000
2022-02-14,0.81,0.82,0.78,0.8,68697000
2022-02-15,0.79,0.82,0.78,0.79,44716000
2022-02-16,0.8,0.86,0.8,0.83,109492000
2022-02-17,0.84,0.85,0.81,0.81,39344000
2022-02-18,0.81,0.83,0.8,0.81,26039000
2022-02-21,0.81,0.81,0.76,0.77,66619000
2022-02-22,0.77,0.79,0.75,0.75,61285000
2022-02-23,0.75,0.78,0.72,0.72,57444000
2022-02-24,0.72,0.73,0.66,0.66,58607000
2022-02-28,0.69,0.72,0.68,0.69,42198000
2022-03-01,0.69,0.71,0.68,0.69,22629000
2022-03-02,0.7,0.7,0.67,0.68,20253000
2022-03-03,0.68,0.69,0.66,0.67,23883000
2022-03-04,0.67,0.67,0.65,0.67,38052000
2022-03-07,0.66,0.66,0.62,0.62,65579000
2022-03-08,0.62,0.62,0.57,0.57,45438000
2022-03-09,0.57,0.61,0.57,0.59,7853000
2022-03-10,0.59,0.63,0.58,0.6,20157000
2022-03-11,0.6,0.61,0.58,0.59,13859000
2022-03-14,0.59,0.59,0.53,0.54,16193000
2022-03-15,0.55,0.55,0.49,0.52,13914000
2022-03-16,0.53,0.59,0.53,0.58,13676000
2022-03-17,0.59,0.61,0.58,0.6,9044000
2022-03-18,0.6,0.61,0.58,0.58,10816000
2022-03-21,0.61,0.61,0.57,0.59,3289000
2022-03-22,0.6,0.6,0.57,0.57,1726000
2022-03-23,0.57,0.6,0.57,0.6,2954000
2022-03-24,0.59,0.65,0.57,0.64,24862000
2022-03-25,0.64,0.64,0.61,0.62,10030000
2022-03-28,0.62,0.66,0.62,0.65,11696000
2022-03-29,0.66,0.67,0.64,0.64,8765000
2022-03-30,0.65,0.66,0.63,0.63,3802000
2022-03-31,0.63,0.64,0.62,0.62,7576000
2022-04-01,0.62,0.62,0.6,0.6,7218000
2022-04-04,0.6,0.65,0.59,0.64,15478000
2022-04-05,0.65,0.65,0.63,0.64,2948000
2022-04-06,0.64,0.64,0.6,0.61,9582000
2022-04-07,0.61,0.62,0.6,0.6,2523000
2022-04-08,0.6,0.62,0.59,0.6,3336000
2022-04-11,0.6,0.61,0.57,0.57,10064000
2022-04-12,0.58,0.58,0.57,0.58,4492000
2022-04-13,0.58,0.58,0.57,0.57,2442000
2022-04-18,0.57,0.58,0.57,0.58,1185000
2022-04-19,0.58,0.58,0.56,0.57,3483000
2022-04-20,0.56,0.57,0.56,0.57,1949000
