Date,Open,High,Low,Close,Volume
2021-08-12,6.97,7.14,6.96,7.02,29690199
2021-08-13,7.05,7.18,7.03,7.16,4225900
2021-08-16,7.2,7.58,7.2,7.4,11781600
2021-08-17,7.45,7.49,7.37,7.4,5917600
2021-08-18,7.4,7.4,7.28,7.31,1544700
2021-08-19,7.35,7.4,7.27,7.3,3904400
2021-08-20,7.35,7.4,7.3,7.3,2207400
2021-08-23,7.32,7.32,7.1,7.15,10103700
2021-08-24,7.2,7.25,7.14,7.14,4666900
2021-08-25,7.15,7.23,7.15,7.2,2104900
2021-08-26,7.25,7.34,7.16,7.25,1426000
2021-08-27,7.25,7.27,7.18,7.19,1303000
2021-08-31,7.18,7.18,7.06,7.06,8437500
2021-09-01,7.2,7.26,7.14,7.18,4126200
2021-09-02,7.19,7.2,7.14,7.16,4932200
2021-09-03,7.2,7.21,7.18,7.19,7145500
2021-09-06,7.23,7.24,7.18,7.24,2926000
2021-09-07,7.25,7.27,7.23,7.25,2043300
2021-09-08,7.27,7.32,7.26,7.26,5284400
2021-09-09,7.3,7.32,7.24,7.26,6735500
2021-09-10,7.26,7.27,7.14,7.21,3870000
2021-09-13,7.21,7.24,7.19,7.24,1273100
2021-09-14,7.23,7.24,7.2,7.24,2357300
2021-09-15,7.25,7.26,7.22,7.25,2650900
2021-09-16,7.24,7.27,7.21,7.21,22598100
2021-09-17,7.25,7.25,7.19,7.23,8457600
2021-09-20,7.22,7.23,7.17,7.19,14463200
2021-09-21,7.2,7.2,7.15,7.19,2621700
2021-09-22,7.2,7.21,7.18,7.19,2287000
2021-09-23,7.22,7.25,7.2,7.21,2000600
2021-09-24,7.21,7.23,7.19,7.21,4633600
2021-09-27,7.22,7.28,7.19,7.2,6089500
2021-09-28,7.25,7.25,7.2,7.2,3482600
2021-09-29,7.22,7.23,7.2,7.2,3606900
2021-09-30,7.21,7.22,7.21,7.22,3633000
2021-10-01,7.24,7.45,7.24,7.32,7210300
2021-10-04,7.42,7.49,7.39,7.46,5760800
2021-10-05,7.47,7.47,7.4,7.45,2487600
2021-10-06,7.44,7.46,7.42,7.42,3242100
2021-10-07,7.4,7.41,7.25,7.25,4428700
2021-10-08,7.33,7.35,7.25,7.3,1409800
2021-10-11,7.3,7.41,7.28,7.3,2630400
2021-10-12,7.32,7.4,7.3,7.35,3950900
2021-10-13,7.4,7.4,7.34,7.35,3440000
2021-10-14,7.39,7.4,7.36,7.37,3813400
2021-10-15,7.37,7.4,7.35,7.4,6388800
2021-10-18,7.4,7.42,7.38,7.41,3270100
2021-10-19,7.4,7.41,7.39,7.4,5943800
2021-10-20,7.4,7.4,7.31,7.31,2886300
2021-10-21,7.32,7.4,7.3,7.31,1562100
2021-10-22,7.31,7.4,7.3,7.32,2322300
2021-10-25,7.31,7.38,7.3,7.31,2488900
2021-10-26,7.32,7.35,7.3,7.3,1510800
2021-10-27,7.3,7.4,7.3,7.37,1177800
2021-10-28,7.28,7.44,7.28,7.4,2675900
2021-10-29,7.45,7.45,7.38,7.4,1645900
2021-11-02,7.4,7.4,7.3,7.4,3265700
2021-11-03,7.4,7.4,7.36,7.4,1087900
2021-11-04,7.4,7.42,7.36,7.41,2330000
2021-11-05,7.36,7.41,7.35,7.35,2097200
2021-11-08,7.4,7.4,7.34,7.34,1037000
2021-11-09,7.35,7.39,7.33,7.39,1893500
2021-11-10,7.39,7.39,7.34,7.36,1479900
2021-11-11,7.36,7.4,7.34,7.4,3873600
2021-11-12,7.4,7.7,7.4,7.68,9675300
2021-11-15,7.7,7.75,7.69,7.7,5165700
2021-11-16,7.7,7.75,7.69,7.73,3378800
2021-11-17,7.73,7.74,7.69,7.7,3772000
2021-11-18,7.7,7.98,7.68,7.98,3370200
2021-11-19,7.93,7.99,7.85,7.97,9538900
2021-11-22,7.9,7.96,7.85,7.85,4593700
2021-11-23,7.94,7.94,7.93,7.94,3184900
2021-11-24,7.94,7.95,7.92,7.94,4514600
2021-11-25,7.94,7.95,7.85,7.92,4132200
2021-11-26,7.93,7.94,7.88,7.93,6584000
2021-11-29,7.85,7.85,7.47,7.65,30855301
2021-12-01,7.83,7.83,7.45,7.56,9968400
2021-12-02,7.56,7.57,7.46,7.57,3705600
2021-12-03,7.6,7.73,7.59,7.72,5651900
2021-12-06,7.72,7.77,7.69,7.75,6831900
2021-12-07,7.77,7.77,7.56,7.59,6065000
2021-12-09,7.59,7.6,7.55,7.55,1731300
2021-12-10,7.6,7.6,7.5,7.57,3340600
2021-12-13,7.6,7.6,7.51,7.58,3414200
2021-12-14,7.55,7.57,7.53,7.54,23388900
2021-12-15,7.51,7.53,7.42,7.42,4103700
2021-12-16,7.42,7.44,7.3,7.4,6069000
2021-12-17,7.4,7.4,7.2,7.2,13515900
2021-12-20,7.39,7.39,7.26,7.31,1156100
2021-12-21,7.39,7.4,7.34,7.4,4963000
2021-12-22,7.4,7.41,7.4,7.4,4166100
2021-12-23,7.39,7.45,7.39,7.4,7629800
2021-12-24,7.4,7.44,7.39,7.4,184500
2021-12-27,7.4,7.4,7.34,7.35,825200
2021-12-28,7.39,7.4,7.35,7.39,962400
2021-12-29,7.39,7.43,7.35,7.4,5878700
2021-12-31,7.4,7.41,7.36,7.4,865700
2022-01-03,7.35,7.4,7.35,7.4,5062700
2022-01-05,7.4,7.4,7.38,7.4,3199200
2022-01-06,7.4,7.45,7.4,7.45,2118400
2022-01-07,7.45,7.51,7.45,7.5,4394300
2022-01-10,7.5,7.6,7.5,7.6,5663500
2022-01-11,7.65,7.7,7.65,7.7,524100
2022-01-12,7.7,7.8,7.68,7.75,1752400
2022-01-13,7.75,7.85,7.75,7.75,4152900
2022-01-14,7.74,7.8,7.74,7.8,3881100
2022-01-17,7.84,7.86,7.8,7.85,14869700
2022-01-18,7.85,7.85,7.6,7.7,3834000
