Date,Open,High,Low,Close,Volume
12/29/2020,"0.670","0.680","0.660","0.660","1,027,000"
12/28/2020,"0.700","0.710","0.670","0.670","1,593,000"
12/23/2020,"0.680","0.700","0.660","0.700","799,000"
12/22/2020,"0.710","0.710","0.660","0.680","1,635,000"
12/21/2020,"0.700","0.720","0.700","0.710","672,000"
12/18/2020,"0.700","0.730","0.700","0.700","1,644,000"
12/17/2020,"0.720","0.740","0.700","0.710","4,390,000"
12/16/2020,"0.740","0.740","0.710","0.720","1,169,000"
12/15/2020,"0.740","0.770","0.710","0.720","2,404,000"
12/14/2020,"0.700","0.750","0.700","0.740","11,144,000"
12/11/2020,"0.690","0.700","0.680","0.690","678,000"
12/10/2020,"0.700","0.700","0.680","0.700","716,000"
12/09/2020,"0.700","0.700","0.680","0.700","608,000"
12/07/2020,"0.680","0.710","0.670","0.700","772,000"
12/04/2020,"0.690","0.690","0.670","0.680","454,000"
12/03/2020,"0.690","0.690","0.680","0.690","97,000"
12/02/2020,"0.690","0.690","0.660","0.660","1,053,000"
12/01/2020,"0.670","0.690","0.660","0.680","621,000"
11/27/2020,"0.670","0.690","0.670","0.690","110,000"
11/26/2020,"0.670","0.700","0.670","0.690","311,000"
11/25/2020,"0.710","0.710","0.670","0.690","540,000"
11/24/2020,"0.720","0.720","0.680","0.700","1,450,000"
11/23/2020,"0.720","0.740","0.700","0.710","1,624,000"
11/20/2020,"0.690","0.730","0.680","0.710","6,694,000"
11/19/2020,"0.660","0.690","0.660","0.690","3,171,000"
11/18/2020,"0.660","0.670","0.660","0.670","314,000"
11/17/2020,"0.660","0.670","0.660","0.670","228,000"
11/16/2020,"0.660","0.670","0.660","0.670","685,000"
11/13/2020,"0.640","0.660","0.630","0.640","924,000"
11/11/2020,"0.640","0.650","0.630","0.650","301,000"
11/10/2020,"0.630","0.660","0.630","0.630","421,000"
11/09/2020,"0.640","0.640","0.620","0.630","666,000"
11/06/2020,"0.650","0.650","0.630","0.640","23,000"
11/05/2020,"0.630","0.640","0.630","0.640","425,000"
11/04/2020,"0.660","0.670","0.620","0.650","1,001,000"
11/03/2020,"0.650","0.660","0.650","0.660","975,000"
10/30/2020,"0.640","0.650","0.630","0.650","883,000"
10/29/2020,"0.640","0.640","0.630","0.630","333,000"
10/28/2020,"0.630","0.640","0.620","0.640","289,000"
10/27/2020,"0.630","0.640","0.630","0.640","22,000"
10/26/2020,"0.630","0.630","0.620","0.630","398,000"
10/23/2020,"0.630","0.630","0.620","0.630","515,000"
10/22/2020,"0.630","0.640","0.630","0.630","145,000"
10/21/2020,"0.630","0.640","0.630","0.640","462,000"
10/20/2020,"0.630","0.630","0.630","0.630","61,000"
10/19/2020,"0.650","0.650","0.640","0.650","172,000"
10/16/2020,"0.620","0.640","0.620","0.630","380,000"
10/15/2020,"0.620","0.630","0.620","0.630","140,000"
10/14/2020,"0.630","0.630","0.620","0.630","571,000"
10/13/2020,"0.630","0.630","0.630","0.630","1,000"
10/12/2020,"0.640","0.640","0.620","0.630","169,000"
10/09/2020,"0.650","0.650","0.620","0.640","213,000"
10/08/2020,"0.620","0.630","0.620","0.630","169,000"
10/07/2020,"0.620","0.640","0.620","0.640","96,000"
10/06/2020,"0.640","0.640","0.620","0.640","1,078,000"
10/05/2020,"0.640","0.650","0.640","0.640","451,000"
10/02/2020,"0.620","0.640","0.620","0.640","500,000"
10/01/2020,"0.650","0.650","0.620","0.640","2,699,000"
09/30/2020,"0.630","0.650","0.630","0.650","348,000"
09/29/2020,"0.630","0.630","0.630","0.630","253,000"
