Date,Open,High,Low,Close,Volume
05/16/2025,"0.640","0.640","0.640","0.640","15,000"
05/15/2025,"0.650","0.650","0.620","0.630","54,000"
05/14/2025,"0.630","0.650","0.630","0.650","74,000"
05/13/2025,"0.640","0.640","0.630","0.630","28,000"
05/09/2025,"0.640","0.640","0.630","0.630","64,000"
05/08/2025,"0.620","0.640","0.590","0.640","1,108,000"
05/07/2025,"0.620","0.640","0.620","0.640","76,000"
05/06/2025,"0.650","0.650","0.620","0.630","133,000"
05/05/2025,"0.630","0.630","0.630","0.630","2,000"
05/02/2025,"0.640","0.640","0.630","0.630","31,000"
