Date,Open,High,Low,Close,Volume
2020-01-02,0.201,0.201,0.196,0.201,60000
2020-01-03,0.202,0.202,0.198,0.202,130000
2020-01-06,0.202,0.203,0.2,0.203,80000
2020-01-07,0.203,0.203,0.198,0.203,30000
2020-01-08,0.201,0.202,0.198,0.198,140000
2020-01-09,0.2,0.2,0.195,0.198,450000
2020-01-10,0.2,0.203,0.196,0.199,370000
2020-01-14,0.202,0.202,0.199,0.199,20000
2020-01-15,0.202,0.24,0.202,0.22,24700000
2020-01-16,0.22,0.223,0.204,0.208,3840000
2020-01-17,0.21,0.22,0.206,0.212,1660000
2020-01-20,0.219,0.223,0.21,0.211,1300000
2020-01-21,0.211,0.211,0.203,0.21,1530000
2020-01-22,0.211,0.223,0.204,0.214,2050000
2020-01-23,0.216,0.216,0.204,0.213,390000
2020-01-24,0.213,0.213,0.203,0.212,1380000
2020-01-27,0.212,0.212,0.204,0.21,1160000
2020-01-28,0.21,0.21,0.201,0.201,770000
2020-01-29,0.21,0.21,0.201,0.201,1150000
2020-01-30,0.21,0.21,0.204,0.206,520000
2020-01-31,0.21,0.21,0.202,0.206,570000
2020-02-03,0.207,0.207,0.2,0.205,650000
2020-02-04,0.207,0.207,0.2,0.203,1710000
2020-02-05,0.206,0.207,0.197,0.197,1130000
2020-02-06,0.203,0.203,0.198,0.199,170000
2020-02-07,0.207,0.207,0.197,0.197,410000
2020-02-10,0.207,0.209,0.198,0.206,280000
2020-02-11,0.209,0.209,0.198,0.205,160000
2020-02-12,0.208,0.208,0.198,0.198,430000
2020-02-13,0.209,0.212,0.198,0.198,960000
2020-02-14,0.21,0.21,0.197,0.197,110000
2020-02-17,0.197,0.207,0.197,0.206,130000
2020-02-18,0.207,0.208,0.2,0.206,440000
2020-02-20,0.198,0.206,0.198,0.206,80000
2020-02-21,0.204,0.204,0.2,0.2,470000
2020-02-24,0.2,0.202,0.199,0.202,480000
2020-02-26,0.198,0.202,0.198,0.202,140000
2020-02-27,0.198,0.202,0.198,0.199,310000
2020-02-28,0.198,0.201,0.196,0.196,760000
2020-03-02,0.196,0.2,0.196,0.198,90000
2020-03-03,0.201,0.201,0.196,0.196,460000
2020-03-04,0.197,0.197,0.195,0.196,100000
2020-03-05,0.196,0.197,0.195,0.197,250000
2020-03-06,0.199,0.199,0.196,0.196,200000
2020-03-09,0.199,0.199,0.194,0.194,290000
2020-03-10,0.193,0.195,0.192,0.195,930000
2020-03-11,0.192,0.195,0.192,0.195,60000
