Date,Open,High,Low,Close,Volume
04/03/2025,"5.12","5.12","5.00","5.12","37,200"
03/24/2025,"3.68","5.98","3.68","5.98","500"
03/21/2025,"5.22","5.22","5.22","5.22","8,000"
03/11/2025,"4.52","4.52","4.52","4.52","100"
03/06/2025,"5.22","5.22","5.22","5.22","300"
02/27/2025,"5.40","5.40","5.22","5.22","2,200"
02/24/2025,"5.23","5.23","5.23","5.23","300"
01/22/2025,"5.80","5.80","5.80","5.80","100"
01/20/2025,"5.90","5.90","5.90","5.90","100"
01/16/2025,"6.00","6.00","6.00","6.00","300"
01/08/2025,"5.99","5.99","5.99","5.99","1,400"
01/06/2025,"5.99","5.99","5.99","5.99","6,000"
01/03/2025,"5.99","5.99","5.99","5.99","6,100"
