Date,Open,High,Low,Close,Volume
12/29/2020,"50.40","50.40","49.40","49.40","78,730"
12/28/2020,"51.00","51.00","50.50","50.50","36,920"
12/23/2020,"52.00","52.00","50.30","51.00","24,830"
12/22/2020,"54.00","54.00","50.00","52.00","44,900"
12/21/2020,"53.00","53.60","53.00","53.40","185,650"
12/18/2020,"51.95","52.10","51.50","52.00","105,270"
12/17/2020,"50.35","51.95","49.95","51.95","89,640"
12/16/2020,"51.00","51.00","50.00","50.35","13,710"
12/15/2020,"50.55","51.00","50.00","50.95","26,350"
12/14/2020,"51.00","52.00","50.50","50.95","28,590"
12/11/2020,"52.70","52.70","50.00","52.00","100,290"
12/10/2020,"53.20","53.20","51.00","51.10","24,060"
12/09/2020,"53.00","53.10","51.00","52.00","18,060"
12/07/2020,"52.30","53.40","52.15","52.90","71,910"
12/04/2020,"49.95","52.25","49.95","52.10","133,060"
12/03/2020,"49.55","51.00","49.00","50.35","27,400"
12/02/2020,"50.70","51.00","49.20","49.55","100,080"
12/01/2020,"51.70","52.00","50.20","50.70","60,200"
11/27/2020,"52.00","52.95","51.50","51.70","10,920"
11/26/2020,"52.60","53.00","51.50","51.70","40,840"
11/25/2020,"52.80","53.00","52.20","53.00","24,630"
11/24/2020,"53.60","54.00","52.00","53.00","51,000"
11/23/2020,"53.50","53.60","52.55","53.00","89,050"
11/20/2020,"51.65","53.50","51.65","53.50","96,870"
11/19/2020,"52.40","52.40","51.50","51.65","114,700"
11/18/2020,"53.45","54.00","52.20","52.40","112,520"
11/17/2020,"51.50","59.00","51.15","53.40","289,030"
11/16/2020,"49.00","50.95","48.50","50.15","199,300"
11/13/2020,"46.40","48.00","46.40","47.75","132,900"
11/11/2020,"49.00","49.00","45.70","46.35","389,800"
11/10/2020,"50.10","50.10","48.00","49.00","90,650"
11/09/2020,"51.00","51.50","49.50","50.00","73,500"
11/06/2020,"50.90","50.90","48.00","49.10","37,820"
11/05/2020,"46.00","51.10","46.00","50.90","169,900"
11/04/2020,"44.80","45.70","44.80","45.70","34,400"
11/03/2020,"45.70","46.00","44.80","45.70","7,600"
10/30/2020,"46.20","46.20","44.80","45.70","48,300"
