Date,Open,High,Low,Close,Volume
2020-01-02,38.0,38.0,37.6,38.0,12600
2020-01-03,38.3,38.4,37.5,38.4,9900
2020-01-06,38.4,38.4,37.1,38.0,21700
2020-01-07,38.0,38.5,37.5,38.5,6400
2020-01-08,38.4,38.4,37.0,38.25,9800
2020-01-09,38.0,38.0,37.5,37.9,4900
2020-01-10,38.0,38.0,37.0,38.0,12600
2020-01-14,37.15,38.8,37.1,38.5,34200
2020-01-15,38.4,38.4,37.15,38.2,17400
2020-01-17,37.2,38.0,37.0,37.85,18600
2020-01-20,37.05,37.1,37.0,37.0,133300
2020-01-21,37.0,37.3,36.95,37.0,71000
2020-01-22,36.95,37.0,36.8,36.95,467900
2020-01-23,37.25,38.0,36.95,37.7,7300
2020-01-24,37.05,37.25,37.0,37.25,151300
2020-01-27,36.85,37.0,36.5,37.0,21100
2020-01-28,36.55,37.1,36.55,37.1,200
2020-01-29,36.6,37.1,36.6,37.1,1200
2020-01-30,36.55,37.15,36.55,37.15,111000
2020-01-31,37.1,37.1,35.5,37.0,31500
2020-02-03,35.0,36.5,35.0,36.5,56900
2020-02-04,36.5,36.5,35.05,36.5,8700
2020-02-05,35.1,36.7,35.1,36.5,15000
2020-02-06,36.45,36.5,36.45,36.5,200
2020-02-07,35.1,36.9,35.1,36.9,200
2020-02-10,36.9,36.9,36.9,36.9,200
2020-02-11,35.55,36.9,35.55,36.9,200
2020-02-12,36.5,36.5,36.5,36.5,800
2020-02-13,35.7,36.45,35.0,36.0,18300
2020-02-14,36.0,36.0,36.0,36.0,400
2020-02-17,34.3,36.5,34.3,35.5,24600
2020-02-18,35.6,35.6,35.0,35.0,14300
2020-02-19,35.0,35.0,35.0,35.0,43500
2020-02-20,36.45,36.45,36.45,36.45,100
2020-02-24,35.0,35.5,35.0,35.5,14700
2020-02-26,35.5,35.5,32.0,33.5,227300
2020-02-27,35.0,35.0,32.2,33.5,21700
2020-02-28,33.5,35.0,33.5,34.95,600
2020-03-03,34.95,36.0,34.95,35.5,25200
2020-03-05,36.25,36.25,36.0,36.0,900
2020-03-06,35.5,36.0,30.55,35.45,5500
2020-03-09,32.35,35.75,32.1,35.7,16400
2020-03-10,32.1,36.75,32.05,36.75,25300
2020-03-11,37.0,37.0,37.0,37.0,300
2020-03-12,36.5,36.5,30.0,33.9,67900
2020-03-13,33.8,33.8,31.9,33.7,9300
2020-03-16,29.1,33.2,29.1,33.2,3900
2020-03-19,33.2,33.2,31.0,32.9,17400
2020-03-20,32.8,32.9,32.0,32.8,9700
2020-03-23,32.8,32.8,25.0,29.95,46300
2020-03-24,29.95,30.0,27.0,30.0,6400
2020-03-25,30.0,30.0,27.8,30.0,165100
2020-03-26,28.5,31.0,28.5,30.05,8300
2020-03-27,31.95,31.95,31.85,31.85,500
2020-03-30,31.95,32.0,28.8,32.0,12100
2020-03-31,32.2,32.5,31.9,32.0,80100
2020-04-01,32.0,32.2,32.0,32.2,1379900
2020-04-02,31.5,32.0,31.1,32.0,377600
2020-04-03,32.9,32.9,32.9,32.9,100
2020-04-06,32.9,32.9,32.0,32.0,451700
2020-04-07,32.0,32.5,31.3,32.0,668000
2020-04-08,31.7,32.0,31.1,32.0,36600
2020-04-13,32.0,32.0,31.0,31.95,52000
2020-04-14,31.05,32.0,31.05,32.0,20400
